epoch: 1, saved best model with score: -20.4,    test_score: -21.0
epoch: 2, score: -20.8,    test_score: -21.0
epoch: 3, score: -20.8,    test_score: -21.0
epoch: 4, score: -20.8,    test_score: -21.0
epoch: 5, score: -19.4,    test_score: -21.0
epoch: 6, score: -19.6,    test_score: -21.0
epoch: 7, score: -18.6,    test_score: -21.0
epoch: 8, saved best model with score: -19.2,    test_score: -19.6
epoch: 9, saved best model with score: -18.0,    test_score: -17.4
epoch: 10, saved best model with score: -17.4,    test_score: -14.8
epoch: 11, score: -16.2,    test_score: -16.2
epoch: 12, score: -16.6,    test_score: -16.2
epoch: 13, saved best model with score: -15.0,    test_score: -13.4
epoch: 14, saved best model with score: -13.6,    test_score: -13.0
epoch: 15, saved best model with score: -14.6,    test_score: -6.6
epoch: 16, score: -12.0,    test_score: -7.4
epoch: 17, saved best model with score: -14.6,    test_score: -2.4
epoch: 18, saved best model with score: -6.8,    test_score: -1.0
epoch: 19, saved best model with score: -6.2,    test_score: 1.0
epoch: 20, saved best model with score: -5.8,    test_score: 7.2
epoch: 21, score: -2.2,    test_score: 3.2
epoch: 22, saved best model with score: -0.4,    test_score: 11.8
epoch: 23, score: 4.8,    test_score: 8.0
epoch: 24, score: 2.8,    test_score: 11.8
epoch: 25, saved best model with score: 8.6,    test_score: 12.2
epoch: 26, score: 12.8,    test_score: 12.0
epoch: 27, saved best model with score: 12.8,    test_score: 19.4
epoch: 28, saved best model with score: 12.0,    test_score: 19.6
epoch: 29, saved best model with score: 16.4,    test_score: 20.8
epoch: 30, score: 18.0,    test_score: 20.6
epoch: 31, score: 17.2,    test_score: 20.4
epoch: 32, score: 18.8,    test_score: 19.8
epoch: 33, score: 19.0,    test_score: 20.4
epoch: 34, score: 19.0,    test_score: 20.6
epoch: 35, score: 19.6,    test_score: 19.4
epoch: 36, score: 20.2,    test_score: 20.8
epoch: 37, score: 13.2,    test_score: 20.6
epoch: 38, score: 15.6,    test_score: 20.6
epoch: 39, saved best model with score: 17.2,    test_score: 21.0
epoch: 40, score: 5.8,    test_score: 19.4
epoch: 41, score: 20.0,    test_score: 20.8
epoch: 42, score: 12.0,    test_score: 19.8
epoch: 43, score: 19.0,    test_score: 20.6
epoch: 44, score: 19.0,    test_score: 21.0
epoch: 45, score: 20.0,    test_score: 21.0
epoch: 46, score: 19.2,    test_score: 21.0
epoch: 47, score: 13.2,    test_score: 21.0
epoch: 48, score: 10.6,    test_score: 19.0
epoch: 49, score: 4.2,    test_score: 19.6
epoch: 50, score: 14.6,    test_score: 21.0
epoch: 51, score: 15.2,    test_score: 21.0
epoch: 52, score: 18.4,    test_score: 21.0
epoch: 53, score: 19.0,    test_score: 21.0
epoch: 54, score: 11.0,    test_score: 21.0
epoch: 55, score: 0.4,    test_score: 12.6
epoch: 56, score: 14.0,    test_score: 18.2
epoch: 57, score: 21.0,    test_score: 20.8
epoch: 58, score: 18.8,    test_score: 21.0
epoch: 59, score: 17.4,    test_score: 21.0
epoch: 60, score: 20.0,    test_score: 21.0
---Execution Time = 9535.93 seconds---
