Step,Value
20480,210.0
40960,100.0
61440,190.0
81920,220.0
102400,220.0
122880,190.0
143360,370.0
163840,280.0
180224,320.0
200704,260.0
221184,180.0
241664,210.0
262144,230.0
282624,280.0
303104,300.0
323584,270.0
344064,410.0
360448,280.0
380928,250.0
401408,300.0
421888,410.0
442368,280.0
462848,440.0
483328,340.0
503808,440.0
520192,550.0
540672,620.0
561152,490.0
581632,490.0
602112,620.0
622592,470.0
643072,620.0
663552,520.0
684032,630.0
700416,750.0
720896,710.0
741376,680.0
761856,900.0
782336,620.0
802816,640.0
823296,790.0
843776,880.0
860160,790.0
880640,1030.0
901120,720.0
921600,980.0
942080,1090.0
962560,820.0
983040,1150.0
1003520,1210.0
1024000,1060.0
1040384,1060.0
1060864,980.0
1081344,990.0
1101824,1020.0
1122304,1160.0
1142784,1190.0
1163264,1030.0
1183744,1080.0
1200128,1230.0
1220608,1160.0
1241088,1240.0
1261568,1350.0
1282048,1400.0
1302528,890.0
1323008,1030.0
1343488,1430.0
1363968,1230.0
1380352,1320.0
1400832,1450.0
1421312,1310.0
1441792,1470.0
1462272,1600.0
1482752,1310.0
1503232,1270.0
1523712,1560.0
1540096,1530.0
1560576,1100.0
1581056,1300.0
1601536,1250.0
1622016,1550.0
1642496,1320.0
1662976,1540.0
1683456,1790.0
1703936,1440.0
1720320,1610.0
1740800,1170.0
1761280,1790.0
1781760,1590.0
1802240,1510.0
1822720,1570.0
1843200,1540.0
1863680,1670.0
1880064,1850.0
1900544,1790.0
1921024,1450.0
1941504,1390.0
1961984,1540.0
1982464,1780.0
2002944,1500.0
2023424,1570.0
2043904,1590.0
2060288,1690.0
2080768,1470.0
2101248,1750.0
2121728,1910.0
2142208,1770.0
2162688,1960.0
2183168,1700.0
2203648,1790.0
2220032,1800.0
2240512,1830.0
2260992,1810.0
2281472,1430.0
2301952,1810.0
2322432,2260.0
2342912,2010.0
2363392,1760.0
2383872,2160.0
2400256,1940.0
2420736,2000.0
2441216,1670.0
2461696,2040.0
2482176,1700.0
2502656,2110.0
2523136,1840.0
2543616,1720.0
2560000,1920.0
2580480,2080.0
2600960,2250.0
2621440,1960.0
2641920,1470.0
2662400,1640.0
2682880,1790.0
2703360,2020.0
2723840,1940.0
2740224,2050.0
2760704,1520.0
2781184,1780.0
2801664,1890.0
2822144,1910.0
2842624,2470.0
2863104,2080.0
2883584,2320.0
2904064,1770.0
2920448,1790.0
2940928,2150.0
2961408,2060.0
2981888,1990.0
3002368,1810.0
3022848,1380.0
3043328,1940.0
3063808,1950.0
3080192,2250.0
3100672,1900.0
3121152,2270.0
3141632,1960.0
3162112,2280.0
3182592,1910.0
3203072,1870.0
3223552,2370.0
3244032,2110.0
3260416,1810.0
3280896,2680.0
3301376,2240.0
3321856,1930.0
3342336,2260.0
3362816,2110.0
3383296,2130.0
3403776,1880.0
3420160,2210.0
3440640,2510.0
3461120,2270.0
3481600,1640.0
3502080,2300.0
3522560,1930.0
3543040,2230.0
3563520,2150.0
3584000,2140.0
3600384,1350.0
3620864,1780.0
3641344,1850.0
3661824,1960.0
3682304,2550.0
3702784,2190.0
3723264,1960.0
3743744,1880.0
3760128,2260.0
3780608,1800.0
3801088,1790.0
3821568,2380.0
3842048,2150.0
3862528,2370.0
3883008,2150.0
3903488,2260.0
3923968,2520.0
3940352,2030.0
3960832,2360.0
3981312,2220.0
4001792,2190.0
4022272,2340.0
4042752,2050.0
4063232,1600.0
4083712,1850.0
4100096,2420.0
4120576,2440.0
4141056,2310.0
4161536,2020.0
4182016,2260.0
4202496,1850.0
4222976,2160.0
4243456,2610.0
4263936,2120.0
4280320,2480.0
4300800,2450.0
4321280,2780.0
4341760,2410.0
4362240,2410.0
4382720,2540.0
