Step,Value
20480,16.0
40960,18.0
61440,22.0
81920,12.0
102400,16.0
122880,14.0
143360,20.0
163840,18.0
180224,14.0
200704,20.0
221184,24.0
241664,20.0
262144,24.0
282624,24.0
303104,22.0
323584,24.0
344064,32.0
360448,40.0
380928,42.0
401408,42.0
421888,66.0
442368,78.0
462848,82.0
483328,102.0
503808,110.0
520192,108.0
540672,130.0
561152,122.0
581632,154.0
602112,172.0
622592,150.0
643072,164.0
663552,158.0
684032,156.0
700416,156.0
720896,178.0
741376,198.0
761856,172.0
782336,196.0
802816,202.0
823296,216.0
843776,228.0
860160,226.0
880640,202.0
901120,250.0
921600,226.0
942080,248.0
962560,220.0
983040,250.0
1003520,232.0
1024000,248.0
1040384,248.0
1060864,262.0
1081344,284.0
1101824,246.0
1122304,266.0
1142784,294.0
1163264,298.0
1183744,298.0
1200128,378.0
1220608,370.0
1241088,430.0
1261568,440.0
1282048,396.0
1302528,478.0
1323008,522.0
1343488,712.0
1363968,724.0
1380352,722.0
1400832,792.0
1421312,758.0
1441792,758.0
1462272,808.0
1482752,772.0
1503232,734.0
1523712,854.0
1540096,854.0
1560576,774.0
1581056,818.0
1601536,886.0
1622016,812.0
1642496,892.0
1662976,890.0
1683456,926.0
1703936,910.0
1720320,824.0
1740800,852.0
1761280,938.0
1781760,844.0
1802240,850.0
1822720,912.0
1843200,846.0
1863680,906.0
1880064,922.0
1900544,964.0
1921024,916.0
1941504,976.0
1961984,1046.0
1982464,982.0
2002944,922.0
2023424,978.0
2043904,962.0
2060288,900.0
2080768,990.0
2101248,1014.0
2121728,1000.0
2142208,1008.0
2162688,1026.0
2183168,1038.0
2203648,1040.0
2220032,962.0
2240512,982.0
2260992,1090.0
2281472,1036.0
2301952,1000.0
2322432,990.0
2342912,1138.0
2363392,1022.0
2383872,1020.0
2400256,1008.0
2420736,1152.0
2441216,1086.0
2461696,1052.0
2482176,1088.0
2502656,1116.0
2523136,1110.0
2543616,1086.0
2560000,1074.0
2580480,922.0
2600960,1116.0
2621440,1094.0
2641920,1108.0
2662400,1024.0
2682880,1060.0
2703360,1028.0
2723840,1178.0
2740224,1156.0
2760704,1172.0
2781184,1166.0
2801664,1112.0
2822144,1080.0
2842624,1154.0
2863104,1184.0
2883584,1082.0
2904064,1158.0
2920448,1148.0
2940928,1150.0
2961408,1058.0
2981888,1108.0
3002368,1192.0
3022848,1028.0
3043328,1104.0
3063808,1040.0
3080192,1048.0
3100672,1138.0
3121152,1186.0
3141632,1172.0
3162112,1084.0
3182592,1038.0
3203072,1140.0
3223552,1144.0
3244032,1174.0
3260416,1174.0
3280896,1072.0
3301376,1118.0
3321856,1248.0
3342336,1188.0
3362816,1126.0
3383296,1120.0
3403776,1228.0
3420160,1148.0
3440640,1226.0
3461120,1164.0
3481600,1014.0
3502080,1120.0
3522560,1122.0
3543040,1052.0
3563520,1188.0
3584000,1118.0
3600384,1188.0
3620864,1150.0
3641344,1122.0
3661824,1180.0
3682304,1118.0
3702784,1112.0
3723264,1192.0
3743744,1166.0
3760128,1150.0
3780608,1184.0
3801088,1142.0
3821568,1166.0
3842048,996.0
3862528,1124.0
3883008,1116.0
3903488,1198.0
3923968,1154.0
3940352,1150.0
3960832,1142.0
3981312,1116.0
4001792,1096.0
4022272,1126.0
4042752,982.0
4063232,1030.0
4083712,1096.0
4100096,1114.0
4120576,1122.0
4141056,1198.0
4161536,1192.0
4182016,1176.0
4202496,1232.0
4222976,1252.0
4243456,1178.0
4263936,1140.0
4280320,1118.0
4300800,1206.0
4321280,1252.0
4341760,1226.0
4362240,1214.0
4382720,1168.0
4403200,1202.0
4423680,1152.0
4440064,1222.0
4460544,1174.0
4481024,1234.0
4501504,1156.0
4521984,1214.0
4542464,1186.0
4562944,1226.0
4583424,1166.0
4603904,1184.0
4620288,1176.0
4640768,1184.0
4661248,1176.0
4681728,1188.0
4702208,1126.0
4722688,1220.0
4743168,1254.0
4763648,1104.0
4780032,1230.0
4800512,1174.0
4820992,1240.0
4841472,1174.0
4861952,1204.0
4882432,1196.0
4902912,1148.0
4923392,1124.0
4943872,1062.0
4960256,1216.0
4980736,1208.0
5001216,1226.0
5021696,1276.0
5042176,1192.0
5062656,1136.0
5083136,1202.0
5103616,1214.0
5120000,1216.0
5140480,1200.0
5160960,1230.0
5181440,1232.0
5201920,1174.0
5222400,1222.0
5242880,1164.0
5263360,1216.0
5283840,1216.0
5300224,992.0
5320704,1198.0
5341184,1206.0
5361664,1230.0
5382144,1186.0
5402624,1250.0
5423104,1236.0
5443584,1222.0
5464064,1264.0
5480448,1206.0
5500928,1184.0
5521408,1202.0
5541888,1244.0
5562368,1252.0
5582848,1208.0
5603328,1248.0
5623808,1260.0
5640192,1252.0
5660672,1208.0
5681152,1240.0
5701632,1256.0
5722112,1258.0
5742592,1222.0
5763072,1202.0
5783552,1162.0
5804032,1218.0
5820416,1128.0
5840896,1184.0
5861376,1234.0
5881856,1254.0
5902336,1258.0
5922816,1250.0
5943296,1282.0
5963776,1252.0
5980160,1238.0
6000640,1134.0
6021120,1226.0
6041600,1204.0
6062080,1232.0
6082560,1278.0
6103040,1286.0
6123520,1206.0
6144000,1176.0
6160384,1048.0
6180864,1230.0
6201344,1252.0
6221824,1246.0
6242304,1268.0
6262784,1274.0
6283264,1162.0
6303744,1194.0
6320128,1200.0
6340608,1272.0
6361088,1272.0
6381568,1272.0
6402048,1228.0
6422528,1236.0
6443008,1256.0
6463488,1260.0
6483968,1202.0
6500352,1192.0
6520832,1140.0
6541312,1212.0
6561792,1162.0
6582272,1180.0
6602752,1188.0
6623232,1214.0
6643712,1134.0
6660096,1242.0
6680576,1080.0
6701056,1270.0
6721536,1182.0
6742016,1224.0
6762496,1164.0
6782976,1162.0
6803456,1142.0
6823936,1128.0
6840320,1124.0
6860800,1178.0
6881280,1262.0
6901760,1238.0
6922240,1208.0
6942720,1202.0
6963200,1254.0
6983680,1250.0
7000064,1272.0
7020544,1210.0
7041024,1254.0
7061504,1208.0
7081984,1222.0
7102464,1220.0
7122944,1210.0
7143424,1182.0
7163904,1250.0
7180288,1238.0
7200768,1214.0
7221248,1192.0
7241728,1242.0
7262208,1178.0
7282688,1248.0
7303168,1284.0
7323648,1274.0
7340032,1258.0
7360512,1246.0
7380992,1250.0
7401472,1224.0
7421952,1248.0
7442432,1204.0
7462912,1228.0
7483392,1168.0
