Step,Value
102400,164.0
200704,265.0
303104,236.0
401408,336.0
503808,588.0
602112,866.0
700416,774.0
802816,658.0
901120,1148.0
1003520,745.0
1101824,1779.0
1200128,704.0
1302528,1283.0
1400832,2610.0
1503232,4942.0
1601536,2493.0
1703936,4579.0
1802240,3521.0
1900544,3392.0
2002944,4551.0
2101248,3823.0
2203648,1366.0
2301952,3154.0
2400256,2510.0
2502656,4450.0
2600960,5681.0
2703360,4849.0
2801664,3141.0
2904064,3615.0
3002368,4928.0
3100672,6778.0
3203072,5598.0
3301376,7453.0
3403776,5607.0
3502080,5014.0
3600384,3711.0
3702784,8267.0
3801088,7666.0
3903488,6972.0
4001792,10030.0
4100096,9971.0
4202496,9943.0
4300800,6207.0
4403200,9155.0
4501504,8656.0
4603904,9477.0
4702208,7637.0
4800512,8255.0
4902912,8631.0
5001216,7876.0
5103616,17458.0
5201920,8308.0
5300224,8338.0
5402624,7571.0
5500928,7006.0
5603328,14685.0
5701632,14193.0
5804032,15197.0
5902336,25563.0
6000640,10336.0
6103040,14473.0
6201344,18064.0
6303744,19617.0
6402048,14577.0
6500352,13445.0
6602752,18959.0
6701056,18581.0
6803456,17219.0
6901760,21684.0
7000064,12023.0
7102464,14157.0
7200768,10538.0
7303168,27078.0
7401472,25375.0
7503872,18021.0
7602176,45085.0
7700480,49522.0
7802880,48890.0
7901184,23208.0
8003584,35580.0
8101888,16721.0
8200192,23405.0
8302592,33138.0
8400896,20622.0
8503296,14715.0
8601600,20271.0
8704000,17972.0
8802304,21938.0
8900608,15608.0
9003008,23725.0
9101312,26775.0
9203712,22963.0
9302016,29965.0
9400320,28919.0
9502720,16239.0
9601024,45967.0
9703424,58708.0
9801728,16911.0
9900032,27950.0
10002432,18390.0
10100736,18190.0
10203136,25645.0
10301440,27464.0
10403840,16473.0
10502144,25195.0
10600448,25098.0
10702848,15853.0
10801152,22561.0
10903552,31827.0
11001856,40368.0
11100160,29950.0
11202560,33965.0
11300864,28361.0
11403264,25342.0
11501568,9054.0
11603968,48290.0
11702272,70498.0
11800576,17738.0
11902976,25216.0
12001280,103115.0
12103680,127532.0
12201984,103869.0
12300288,86395.0
12402688,101694.0
12500992,45864.0
12603392,112533.0
12701696,47560.0
12800000,95492.0
12902400,127174.0
13000704,88875.0
13103104,104341.0
13201408,102945.0
13303808,85132.0
13402112,23125.0
13500416,108929.0
13602816,94012.0
13701120,31533.0
13803520,50768.0
13901824,167808.0
14000128,55096.0
14102528,53321.0
14200832,53520.0
14303232,33531.0
14401536,115000.0
14503936,72579.0
14602240,52806.0
14700544,61472.0
14802944,20930.0
14901248,72216.0
15003648,30879.0
15101952,21961.0
15200256,10469.0
15302656,28768.0
15400960,60139.0
15503360,53702.0
15601664,32633.0
15704064,44338.0
15802368,192886.0
15900672,229893.0
16003072,168046.0
16101376,177573.0
16203776,100912.0
16302080,130346.0
16400384,328525.0
16502784,89007.0
16601088,220696.0
16703488,203131.0
16801792,211547.0
16900096,100458.0
17002496,180380.0
17100800,208665.0
17203200,99979.0
17301504,235299.0
17403904,265470.0
