Step,Value
20480,78.0
40960,92.0
61440,158.0
81920,142.0
102400,186.0
122880,178.0
143360,204.0
163840,216.0
180224,210.0
200704,214.0
221184,222.0
241664,208.0
262144,216.0
282624,202.0
303104,230.0
323584,222.0
344064,244.0
360448,232.0
380928,248.0
401408,236.0
421888,246.0
442368,258.0
462848,258.0
483328,256.0
503808,262.0
520192,258.0
540672,258.0
561152,258.0
581632,244.0
602112,254.0
622592,264.0
643072,254.0
663552,256.0
684032,260.0
700416,266.0
720896,264.0
741376,266.0
761856,268.0
782336,258.0
802816,264.0
823296,268.0
843776,266.0
860160,262.0
880640,270.0
901120,262.0
921600,270.0
942080,270.0
962560,268.0
983040,270.0
1003520,270.0
1024000,276.0
1040384,270.0
1060864,264.0
1081344,266.0
1101824,270.0
1122304,270.0
1142784,266.0
1163264,256.0
1183744,266.0
1200128,260.0
1220608,268.0
1241088,270.0
1261568,270.0
1282048,260.0
1302528,270.0
1323008,270.0
1343488,268.0
1363968,270.0
1380352,252.0
1400832,264.0
1421312,270.0
1441792,270.0
1462272,270.0
1482752,270.0
1503232,266.0
1523712,270.0
1540096,270.0
1560576,264.0
1581056,266.0
1601536,270.0
1622016,268.0
1642496,270.0
1662976,264.0
1683456,270.0
1703936,268.0
1720320,266.0
1740800,270.0
1761280,270.0
1781760,270.0
1802240,270.0
1822720,270.0
1843200,264.0
1863680,266.0
1880064,268.0
1900544,264.0
1921024,268.0
1941504,268.0
1961984,264.0
1982464,270.0
2002944,270.0
2023424,266.0
2043904,270.0
2060288,270.0
2080768,270.0
2101248,270.0
2121728,272.0
2142208,272.0
2162688,270.0
2183168,272.0
2203648,270.0
2220032,280.0
2240512,276.0
2260992,272.0
2281472,272.0
2301952,270.0
2322432,268.0
2342912,270.0
2363392,274.0
2383872,282.0
2400256,282.0
2420736,276.0
2441216,278.0
2461696,278.0
2482176,268.0
2502656,276.0
2523136,278.0
2543616,284.0
2560000,298.0
2580480,280.0
2600960,280.0
2621440,282.0
2641920,298.0
2662400,280.0
2682880,280.0
2703360,290.0
2723840,292.0
2740224,286.0
2760704,284.0
2781184,288.0
2801664,300.0
2822144,298.0
2842624,302.0
2863104,302.0
2883584,304.0
2904064,302.0
2920448,304.0
2940928,296.0
2961408,294.0
2981888,296.0
3002368,308.0
3022848,306.0
3043328,294.0
3063808,296.0
3080192,310.0
3100672,296.0
3121152,306.0
3141632,302.0
3162112,308.0
3182592,294.0
3203072,300.0
3223552,286.0
3244032,304.0
3260416,306.0
3280896,302.0
3301376,302.0
3321856,308.0
3342336,310.0
3362816,306.0
3383296,310.0
3403776,308.0
3420160,308.0
3440640,302.0
3461120,310.0
3481600,292.0
3502080,302.0
3522560,298.0
3543040,280.0
3563520,302.0
3584000,308.0
3600384,298.0
3620864,302.0
3641344,302.0
3661824,298.0
3682304,302.0
3702784,310.0
3723264,310.0
3743744,308.0
3760128,292.0
3780608,302.0
3801088,310.0
3821568,310.0
3842048,306.0
3862528,302.0
3883008,296.0
3903488,310.0
3923968,308.0
3940352,304.0
3960832,286.0
3981312,310.0
4001792,308.0
4022272,292.0
4042752,310.0
4063232,286.0
4083712,298.0
4100096,308.0
4120576,308.0
4141056,308.0
4161536,310.0
4182016,310.0
4202496,310.0
4222976,306.0
4243456,310.0
4263936,310.0
4280320,310.0
4300800,310.0
4321280,304.0
4341760,310.0
4362240,302.0
4382720,310.0
4403200,310.0
4423680,298.0
4440064,308.0
4460544,310.0
4481024,310.0
4501504,302.0
4521984,304.0
4542464,278.0
4562944,312.0
4583424,310.0
4603904,296.0
4620288,304.0
4640768,312.0
4661248,272.0
4681728,298.0
4702208,304.0
4722688,758.0
4743168,592.0
4763648,306.0
4780032,302.0
4800512,984.0
4820992,848.0
4841472,1066.0
4861952,300.0
4882432,552.0
4902912,304.0
4923392,550.0
4943872,522.0
4960256,294.0
4980736,298.0
5001216,300.0
5021696,788.0
5042176,296.0
5062656,288.0
5083136,810.0
5103616,280.0
5120000,302.0
5140480,794.0
5160960,290.0
5181440,300.0
5201920,628.0
5222400,680.0
5242880,542.0
5263360,548.0
5283840,288.0
5300224,282.0
5320704,746.0
5341184,858.0
5361664,740.0
5382144,646.0
5402624,276.0
5423104,870.0
5443584,286.0
5464064,978.0
5480448,764.0
5500928,720.0
5521408,1440.0
5541888,306.0
5562368,1524.0
5582848,306.0
5603328,598.0
5623808,316.0
5640192,1244.0
5660672,732.0
5681152,822.0
5701632,496.0
5722112,288.0
5742592,826.0
5763072,988.0
5783552,918.0
5804032,512.0
5820416,1614.0
5840896,968.0
5861376,1124.0
5881856,768.0
5902336,774.0
5922816,296.0
5943296,1156.0
5963776,1294.0
5980160,1230.0
6000640,1066.0
6021120,292.0
6041600,282.0
6062080,288.0
6082560,302.0
6103040,462.0
6123520,1508.0
6144000,296.0
6160384,1162.0
6180864,958.0
6201344,1074.0
6221824,1890.0
6242304,1234.0
6262784,1090.0
6283264,1516.0
6303744,820.0
6320128,896.0
6340608,1754.0
6361088,1156.0
6381568,2292.0
6402048,2876.0
6422528,1314.0
6443008,1800.0
6463488,280.0
6483968,2026.0
6500352,278.0
6520832,1730.0
6541312,2346.0
6561792,1732.0
6582272,2172.0
6602752,1296.0
6623232,2146.0
6643712,1360.0
6660096,1140.0
6680576,1294.0
6701056,2330.0
6721536,1838.0
6742016,2410.0
6762496,2390.0
6782976,2266.0
6803456,2702.0
6823936,2008.0
6840320,2680.0
6860800,2588.0
6881280,2946.0
6901760,2580.0
