Step,Value
20480,298.0
40960,344.0
61440,206.0
81920,402.0
102400,290.0
122880,338.0
143360,458.0
163840,1374.0
180224,452.0
200704,564.0
221184,496.0
241664,386.0
262144,526.0
282624,402.0
303104,492.0
323584,420.0
344064,586.0
360448,766.0
380928,732.0
401408,732.0
421888,976.0
442368,596.0
462848,546.0
483328,454.0
503808,630.0
520192,862.0
540672,1058.0
561152,622.0
581632,1166.0
602112,528.0
622592,954.0
643072,520.0
663552,740.0
684032,984.0
700416,1006.0
720896,634.0
741376,526.0
761856,644.0
782336,830.0
802816,414.0
823296,736.0
843776,894.0
860160,668.0
880640,840.0
901120,838.0
921600,1108.0
942080,1322.0
962560,556.0
983040,600.0
1003520,776.0
1024000,1418.0
1040384,1152.0
1060864,1616.0
1081344,880.0
1101824,906.0
1122304,1100.0
1142784,846.0
1163264,764.0
1183744,1010.0
1200128,1414.0
1220608,828.0
1241088,990.0
1261568,1064.0
1282048,1100.0
1302528,978.0
1323008,910.0
1343488,1002.0
1363968,1134.0
1380352,844.0
1400832,812.0
1421312,922.0
1441792,798.0
1462272,954.0
1482752,986.0
1503232,1248.0
1523712,1460.0
1540096,1062.0
1560576,934.0
1581056,1132.0
1601536,1178.0
1622016,1274.0
1642496,880.0
1662976,1018.0
1683456,938.0
1703936,766.0
1720320,974.0
1740800,1154.0
1761280,922.0
1781760,930.0
1802240,960.0
1822720,998.0
1843200,1022.0
1863680,1028.0
1880064,1296.0
1900544,1142.0
1921024,1148.0
1941504,1082.0
1961984,1278.0
1982464,1272.0
2002944,1356.0
2023424,922.0
2043904,1174.0
2060288,1400.0
2080768,1224.0
2101248,906.0
2121728,1596.0
2142208,948.0
2162688,968.0
2183168,1040.0
2203648,1132.0
2220032,1122.0
2240512,1136.0
2260992,990.0
2281472,1152.0
2301952,1190.0
2322432,1126.0
2342912,888.0
2363392,1214.0
2383872,1156.0
2400256,1302.0
2420736,946.0
2441216,1350.0
2461696,954.0
2482176,1244.0
2502656,918.0
2523136,944.0
2543616,1582.0
2560000,1246.0
2580480,1078.0
2600960,1104.0
2621440,1782.0
2641920,1038.0
2662400,994.0
2682880,1156.0
2703360,1360.0
2723840,1240.0
2740224,1348.0
2760704,1116.0
2781184,1238.0
2801664,1464.0
2822144,960.0
2842624,1548.0
2863104,1152.0
2883584,1414.0
2904064,1194.0
2920448,1604.0
2940928,1166.0
2961408,988.0
2981888,1542.0
3002368,1014.0
3022848,1304.0
3043328,1582.0
3063808,1588.0
3080192,1436.0
3100672,1210.0
3121152,1440.0
3141632,1222.0
3162112,1262.0
3182592,1868.0
3203072,1270.0
3223552,1040.0
3244032,1750.0
3260416,1220.0
3280896,1436.0
3301376,1106.0
3321856,1528.0
3342336,1432.0
3362816,1642.0
3383296,1312.0
3403776,1602.0
3420160,1742.0
