Step,Value
20480,240.0
40960,190.0
61440,320.0
81920,170.0
102400,130.0
122880,170.0
143360,300.0
163840,260.0
180224,180.0
200704,230.0
221184,260.0
241664,180.0
262144,210.0
282624,190.0
303104,320.0
323584,190.0
344064,190.0
360448,250.0
380928,330.0
401408,340.0
421888,360.0
442368,230.0
462848,250.0
483328,300.0
503808,290.0
520192,280.0
540672,220.0
561152,290.0
581632,340.0
602112,360.0
622592,390.0
643072,450.0
663552,330.0
684032,390.0
700416,470.0
720896,410.0
741376,380.0
761856,400.0
782336,610.0
802816,610.0
823296,490.0
843776,730.0
860160,820.0
880640,570.0
901120,990.0
921600,880.0
942080,840.0
962560,950.0
983040,910.0
1003520,920.0
1024000,960.0
1040384,800.0
1060864,580.0
1081344,880.0
1101824,850.0
1122304,1010.0
1142784,870.0
1163264,950.0
1183744,1010.0
1200128,910.0
1220608,930.0
1241088,1320.0
1261568,1150.0
1282048,980.0
1302528,920.0
1323008,1240.0
1343488,870.0
1363968,1130.0
1380352,1190.0
1400832,1000.0
1421312,1570.0
1441792,1230.0
1462272,1170.0
1482752,1020.0
1503232,1150.0
1523712,1420.0
1540096,1320.0
1560576,1260.0
1581056,1740.0
1601536,1200.0
1622016,1370.0
1642496,1250.0
1662976,1360.0
1683456,1390.0
1703936,1460.0
1720320,1220.0
1740800,1390.0
1761280,1440.0
1781760,1460.0
1802240,1330.0
1822720,1560.0
1843200,1240.0
1863680,1620.0
1880064,1570.0
1900544,1490.0
1921024,1740.0
1941504,1630.0
1961984,1630.0
1982464,1600.0
2002944,2120.0
2023424,1350.0
2043904,1720.0
2060288,1420.0
2080768,1650.0
2101248,1690.0
2121728,1630.0
2142208,1330.0
2162688,1880.0
2183168,1900.0
2203648,1730.0
2220032,1860.0
2240512,1610.0
2260992,1730.0
2281472,1730.0
2301952,1740.0
2322432,1510.0
2342912,1670.0
2363392,1900.0
2383872,1780.0
2400256,1640.0
2420736,1710.0
2441216,2170.0
2461696,1730.0
2482176,1890.0
2502656,1940.0
2523136,1760.0
2543616,1240.0
2560000,2330.0
2580480,1980.0
2600960,1480.0
2621440,2120.0
2641920,2110.0
2662400,1820.0
2682880,2420.0
2703360,1910.0
2723840,1820.0
2740224,2000.0
2760704,2110.0
2781184,1720.0
2801664,2160.0
2822144,1670.0
2842624,1730.0
2863104,2130.0
2883584,2360.0
2904064,1660.0
2920448,2060.0
2940928,2150.0
2961408,1960.0
2981888,1730.0
3002368,1590.0
3022848,1820.0
3043328,2310.0
3063808,1360.0
3080192,2120.0
3100672,2000.0
3121152,2060.0
3141632,2200.0
3162112,2080.0
3182592,2650.0
3203072,2130.0
3223552,2510.0
3244032,1990.0
3260416,1980.0
3280896,2120.0
3301376,2570.0
3321856,2500.0
3342336,2140.0
3362816,1950.0
3383296,2030.0
3403776,2200.0
3420160,2190.0
3440640,2070.0
3461120,1880.0
3481600,2010.0
3502080,2280.0
3522560,2010.0
3543040,2330.0
3563520,1570.0
3584000,2280.0
3600384,2260.0
3620864,2660.0
3641344,1950.0
3661824,2300.0
3682304,2680.0
3702784,2570.0
3723264,2860.0
3743744,2130.0
3760128,2530.0
3780608,2240.0
3801088,1600.0
3821568,2060.0
3842048,2130.0
3862528,1720.0
3883008,2660.0
3903488,2560.0
3923968,2210.0
3940352,2550.0
3960832,2780.0
3981312,2690.0
4001792,2380.0
4022272,2510.0
4042752,2740.0
4063232,2600.0
4083712,3020.0
4100096,2540.0
4120576,2500.0
4141056,2530.0
4161536,2450.0
4182016,2280.0
4202496,2800.0
4222976,2410.0
4243456,2090.0
4263936,2430.0
4280320,3010.0
4300800,2740.0
4321280,2780.0
4341760,2860.0
4362240,2920.0
4382720,2560.0
4403200,2840.0
4423680,2780.0
4440064,2660.0
4460544,2130.0
4481024,3090.0
4501504,2960.0
4521984,2590.0
4542464,2870.0
4562944,2820.0
4583424,2440.0
4603904,3360.0
4620288,2330.0
4640768,2760.0
4661248,3150.0
4681728,2550.0
4702208,2970.0
4722688,3060.0
4743168,2710.0
4763648,1980.0
4780032,3260.0
4800512,2860.0
4820992,2710.0
4841472,2400.0
4861952,3360.0
4882432,2740.0
4902912,3300.0
4923392,2400.0
4943872,2560.0
4960256,2510.0
4980736,3040.0
5001216,2750.0
5021696,3140.0
5042176,2900.0
5062656,3020.0
5083136,2620.0
5103616,2840.0
5120000,2930.0
5140480,3220.0
5160960,3180.0
5181440,2890.0
5201920,2590.0
5222400,3060.0
5242880,2690.0
5263360,2850.0
5283840,2720.0
5300224,3140.0
5320704,3360.0
5341184,2540.0
5361664,2910.0
5382144,2540.0
5402624,3000.0
5423104,2480.0
5443584,3040.0
5464064,2980.0
5480448,2610.0
5500928,2380.0
5521408,2940.0
5541888,2660.0
5562368,2770.0
5582848,2340.0
5603328,2770.0
5623808,2470.0
5640192,2860.0
5660672,2130.0
5681152,3280.0
5701632,2790.0
5722112,2720.0
5742592,3000.0
5763072,3200.0
5783552,3220.0
5804032,2880.0
5820416,2690.0
5840896,3340.0
5861376,2780.0
5881856,3320.0
5902336,3140.0
5922816,2760.0
5943296,2550.0
5963776,3070.0
5980160,2690.0
6000640,3160.0
6021120,3140.0
6041600,2790.0
6062080,3500.0
6082560,2900.0
6103040,2840.0
6123520,2300.0
6144000,3460.0
6160384,3160.0
6180864,2490.0
6201344,2290.0
6221824,3240.0
6242304,2990.0
6262784,2810.0
6283264,2300.0
6303744,3670.0
6320128,3090.0
6340608,2570.0
6361088,3400.0
6381568,2860.0
6402048,3020.0
6422528,2800.0
6443008,3390.0
6463488,2370.0
6483968,2070.0
6500352,2840.0
6520832,3460.0
6541312,2790.0
6561792,3130.0
6582272,4060.0
6602752,2930.0
6623232,3090.0
6643712,3280.0
6660096,3360.0
6680576,2740.0
6701056,3380.0
6721536,3010.0
6742016,2190.0
6762496,3100.0
6782976,3320.0
6803456,3140.0
6823936,3040.0
6840320,3680.0
6860800,2940.0
6881280,3500.0
6901760,2740.0
6922240,3220.0
6942720,3000.0
6963200,3740.0
6983680,2800.0
7000064,3110.0
7020544,3280.0
7041024,3210.0
7061504,3020.0
7081984,2850.0
7102464,2190.0
7122944,3030.0
7143424,2970.0
7163904,3470.0
7180288,3480.0
7200768,3840.0
7221248,3890.0
7241728,3140.0
7262208,3470.0
7282688,3150.0
7303168,3260.0
7323648,2740.0
7340032,3260.0
7360512,3760.0
7380992,3410.0
7401472,3060.0
7421952,3820.0
7442432,3880.0
7462912,2930.0
7483392,3400.0
7503872,3150.0
7520256,2800.0
7540736,3120.0
7561216,3230.0
7581696,2790.0
7602176,3040.0
7622656,3260.0
7643136,3340.0
7663616,2850.0
7680000,2100.0
7700480,3460.0
7720960,4020.0
7741440,3120.0
7761920,3710.0
7782400,2690.0
7802880,2550.0
7823360,3980.0
7843840,3520.0
7860224,3070.0
7880704,3620.0
7901184,4160.0
7921664,3800.0
7942144,3760.0
7962624,2570.0
7983104,4280.0
8003584,3010.0
8024064,3540.0
8040448,3670.0
8060928,4150.0
8081408,4340.0
8101888,2400.0
8122368,2710.0
8142848,4240.0
8163328,4350.0
8183808,3720.0
8200192,4240.0
8220672,2980.0
8241152,4070.0
8261632,3000.0
8282112,4060.0
8302592,4550.0
8323072,2930.0
8343552,4280.0
8364032,4600.0
8380416,2580.0
8400896,2860.0
8421376,3770.0
8441856,4240.0
8462336,3880.0
8482816,3940.0
8503296,3910.0
8523776,3780.0
8540160,3540.0
8560640,2970.0
8581120,3400.0
8601600,3120.0
8622080,3860.0
8642560,2460.0
8663040,2460.0
8683520,3500.0
8704000,3450.0
8720384,3360.0
8740864,3610.0
8761344,3650.0
8781824,3840.0
8802304,3160.0
8822784,4080.0
8843264,3070.0
8863744,4060.0
8880128,4660.0
8900608,2820.0
8921088,3810.0
8941568,4020.0
8962048,3730.0
8982528,4520.0
9003008,3660.0
9023488,3400.0
9043968,3900.0
9060352,3180.0
9080832,3430.0
9101312,3530.0
9121792,4240.0
9142272,4180.0
9162752,4120.0
9183232,4160.0
9203712,2880.0
9220096,3640.0
9240576,3950.0
9261056,2950.0
9281536,4190.0
9302016,4820.0
9322496,3760.0
