Step,Value
102400,96.0
200704,217.0
303104,306.0
401408,596.0
503808,318.0
602112,490.0
700416,702.0
802816,1707.0
901120,676.0
1003520,1180.0
1101824,1468.0
1200128,2136.0
1302528,1614.0
1400832,996.0
1503232,986.0
1601536,1920.0
1703936,1220.0
1802240,1066.0
1900544,2076.0
2002944,2544.0
2101248,2042.0
2203648,4122.0
2301952,4020.0
2400256,1921.0
2502656,5418.0
2600960,4108.0
2703360,2393.0
2801664,3290.0
2904064,4251.0
3002368,3376.0
3100672,4979.0
3203072,4894.0
3301376,6709.0
3403776,5378.0
3502080,3708.0
3600384,4934.0
3702784,5916.0
3801088,5901.0
3903488,6495.0
4001792,5308.0
4100096,3975.0
4202496,5893.0
4300800,4708.0
4403200,5679.0
4501504,7952.0
4603904,6102.0
4702208,8444.0
4800512,6338.0
4902912,4819.0
5001216,7347.0
5103616,6761.0
5201920,7753.0
5300224,7489.0
5402624,7631.0
5500928,7573.0
5603328,6474.0
5701632,9043.0
5804032,6611.0
5902336,6989.0
6000640,7317.0
6103040,9990.0
6201344,8811.0
6303744,10063.0
6402048,7338.0
6500352,11251.0
6602752,11179.0
6701056,16353.0
6803456,13083.0
6901760,15979.0
7000064,9325.0
7102464,13095.0
7200768,7029.0
7303168,11589.0
7401472,12456.0
7503872,10431.0
7602176,13653.0
7700480,10150.0
7802880,27360.0
7901184,11274.0
8003584,13146.0
8101888,8908.0
8200192,15927.0
8302592,11122.0
8400896,21912.0
8503296,15357.0
8601600,21785.0
8704000,21167.0
8802304,14835.0
8900608,13846.0
9003008,38849.0
9101312,7292.0
9203712,10499.0
9302016,13903.0
9400320,21701.0
9502720,43640.0
9601024,10350.0
9703424,18727.0
9801728,45691.0
9900032,12569.0
10002432,22035.0
10100736,19446.0
10203136,9966.0
10301440,33574.0
10403840,22496.0
10502144,15029.0
10600448,40403.0
10702848,25797.0
10801152,36118.0
10903552,42803.0
11001856,43377.0
11100160,18195.0
11202560,62938.0
11300864,52784.0
11403264,41522.0
11501568,117621.0
11603968,81740.0
11702272,34827.0
11800576,79350.0
11902976,74262.0
12001280,32354.0
12103680,67647.0
12201984,59832.0
12300288,61068.0
12402688,75098.0
12500992,104623.0
12603392,22139.0
12701696,39921.0
12800000,33378.0
12902400,38762.0
13000704,50577.0
13103104,16626.0
13201408,190654.0
13303808,140207.0
13402112,94469.0
13500416,116985.0
13602816,131135.0
13701120,69711.0
13803520,71663.0
13901824,129002.0
14000128,52111.0
14102528,31660.0
14200832,37219.0
14303232,29193.0
14401536,170825.0
14503936,144530.0
14602240,177795.0
14700544,59420.0
14802944,212160.0
14901248,301799.0
15003648,73534.0
15101952,78339.0
15200256,96620.0
15302656,59796.0
15400960,135911.0
15503360,130767.0
15601664,34167.0
15704064,67628.0
15802368,116794.0
15900672,80439.0
16003072,152693.0
16101376,142447.0
16203776,325665.0
16302080,332716.0
16400384,114423.0
16502784,131511.0
16601088,312162.0
16703488,307668.0
16801792,391915.0
16900096,292850.0
17002496,363354.0
17100800,369906.0
17203200,391605.0
17301504,281530.0
17403904,328033.0
17502208,361311.0
17600512,310743.0
17702912,355522.0
17801216,181399.0
17903616,256535.0
18001920,86651.0
18100224,289126.0
18202624,250211.0
18300928,136316.0
18403328,245890.0
18501632,244048.0
18604032,314409.0
18702336,109511.0
18800640,87426.0
18903040,264085.0
19001344,118605.0
19103744,57477.0
19202048,107826.0
19300352,60204.0
19402752,64288.0
19501056,95262.0
19603456,200916.0
19701760,156381.0
19800064,124334.0
19902464,275825.0
20000768,274381.0
20103168,321475.0
20201472,159346.0
20303872,105074.0
20402176,192513.0
20500480,279662.0
20602880,336892.0
20701184,313853.0
20803584,228551.0
20901888,374283.0
21000192,406824.0
21102592,382818.0
21200896,384796.0
21303296,376511.0
21401600,168051.0
21504000,116918.0
21602304,200649.0
21700608,320823.0
21803008,276850.0
21901312,269909.0
22003712,257515.0
22102016,139965.0
22200320,41122.0
22302720,212603.0
22401024,254932.0
22503424,325320.0
22601728,302009.0
22700032,314102.0
22802432,311006.0
22900736,322732.0
23003136,249645.0
23101440,265050.0
23203840,336113.0
23302144,318039.0
23400448,222578.0
23502848,303895.0
23601152,416475.0
23703552,354598.0
23801856,413142.0
23900160,414794.0
24002560,412491.0
24100864,420757.0
24203264,404527.0
24301568,422743.0
24403968,418128.0
24502272,400492.0
24600576,367828.0
24702976,429777.0
24801280,364749.0
24903680,381355.0
25001984,410543.0
25100288,257294.0
25202688,299159.0
25300992,262529.0
25403392,196785.0
25501696,265999.0
25600000,236049.0
25702400,78278.0
25800704,208023.0
25903104,344799.0
26001408,414838.0
26103808,357810.0
26202112,344603.0
26300416,366642.0
26402816,308530.0
26501120,113679.0
26603520,144794.0
26701824,415177.0
26800128,371226.0
26902528,210707.0
27000832,414870.0
27103232,367504.0
27201536,331436.0
27303936,429822.0
27402240,437770.0
27500544,397749.0
27602944,257099.0
27701248,344323.0
27803648,436810.0
27901952,432365.0
