Step,Value
20480,138.0
40960,124.0
61440,144.0
81920,124.0
102400,180.0
122880,178.0
143360,196.0
163840,194.0
180224,202.0
200704,194.0
221184,220.0
241664,202.0
262144,218.0
282624,218.0
303104,224.0
323584,234.0
344064,228.0
360448,236.0
380928,234.0
401408,236.0
421888,232.0
442368,250.0
462848,262.0
483328,240.0
503808,254.0
520192,260.0
540672,256.0
561152,248.0
581632,248.0
602112,252.0
622592,252.0
643072,264.0
663552,264.0
684032,266.0
700416,246.0
720896,262.0
741376,254.0
761856,256.0
782336,262.0
802816,260.0
823296,270.0
843776,258.0
860160,262.0
880640,260.0
901120,264.0
921600,266.0
942080,260.0
962560,260.0
983040,258.0
1003520,260.0
1024000,262.0
1040384,262.0
1060864,272.0
1081344,266.0
1101824,266.0
1122304,266.0
1142784,270.0
1163264,270.0
1183744,276.0
1200128,270.0
1220608,270.0
1241088,270.0
1261568,268.0
1282048,270.0
1302528,264.0
1323008,268.0
1343488,270.0
1363968,270.0
1380352,270.0
1400832,268.0
1421312,270.0
1441792,270.0
1462272,270.0
1482752,270.0
1503232,270.0
1523712,272.0
1540096,264.0
1560576,270.0
1581056,268.0
1601536,270.0
1622016,268.0
1642496,268.0
1662976,266.0
1683456,266.0
1703936,268.0
1720320,270.0
1740800,266.0
1761280,270.0
1781760,268.0
1802240,270.0
1822720,268.0
1843200,266.0
1863680,260.0
1880064,270.0
1900544,268.0
1921024,268.0
1941504,270.0
1961984,270.0
1982464,270.0
2002944,272.0
2023424,270.0
2043904,270.0
2060288,266.0
2080768,270.0
2101248,270.0
2121728,270.0
2142208,270.0
2162688,270.0
2183168,270.0
2203648,264.0
2220032,274.0
2240512,264.0
2260992,272.0
2281472,276.0
2301952,276.0
2322432,278.0
2342912,272.0
2363392,272.0
2383872,276.0
2400256,274.0
2420736,270.0
2441216,278.0
2461696,282.0
2482176,286.0
2502656,280.0
2523136,276.0
2543616,280.0
2560000,276.0
2580480,280.0
2600960,278.0
2621440,284.0
2641920,284.0
2662400,282.0
2682880,262.0
2703360,280.0
2723840,276.0
2740224,276.0
2760704,278.0
2781184,276.0
2801664,290.0
2822144,278.0
2842624,292.0
2863104,280.0
2883584,284.0
2904064,282.0
2920448,284.0
2940928,284.0
2961408,276.0
2981888,284.0
3002368,284.0
3022848,286.0
3043328,284.0
3063808,284.0
3080192,288.0
3100672,290.0
3121152,298.0
3141632,282.0
3162112,274.0
3182592,288.0
3203072,292.0
3223552,280.0
3244032,290.0
3260416,274.0
3280896,278.0
3301376,286.0
3321856,290.0
3342336,290.0
3362816,294.0
3383296,282.0
3403776,284.0
3420160,274.0
3440640,282.0
3461120,294.0
3481600,276.0
3502080,280.0
3522560,280.0
3543040,284.0
3563520,276.0
3584000,274.0
3600384,290.0
3620864,282.0
3641344,294.0
3661824,292.0
3682304,292.0
3702784,272.0
3723264,286.0
3743744,276.0
3760128,292.0
3780608,276.0
3801088,296.0
3821568,284.0
3842048,296.0
3862528,276.0
3883008,298.0
3903488,282.0
3923968,278.0
3940352,294.0
3960832,276.0
3981312,298.0
4001792,284.0
4022272,282.0
4042752,292.0
4063232,278.0
4083712,284.0
4100096,284.0
4120576,280.0
4141056,282.0
4161536,280.0
4182016,290.0
4202496,302.0
4222976,292.0
4243456,286.0
4263936,290.0
4280320,284.0
4300800,286.0
4321280,284.0
4341760,292.0
4362240,292.0
4382720,282.0
4403200,292.0
4423680,286.0
4440064,282.0
4460544,290.0
4481024,292.0
4501504,298.0
4521984,276.0
4542464,280.0
4562944,280.0
4583424,432.0
4603904,280.0
4620288,284.0
4640768,286.0
4661248,290.0
4681728,286.0
4702208,284.0
4722688,292.0
4743168,282.0
4763648,298.0
4780032,280.0
4800512,286.0
4820992,294.0
4841472,290.0
4861952,288.0
4882432,296.0
4902912,288.0
4923392,296.0
4943872,298.0
4960256,298.0
4980736,286.0
5001216,298.0
5021696,286.0
5042176,290.0
5062656,288.0
5083136,292.0
5103616,286.0
5120000,278.0
5140480,282.0
5160960,272.0
5181440,294.0
5201920,286.0
5222400,292.0
5242880,290.0
5263360,290.0
5283840,292.0
5300224,304.0
5320704,298.0
5341184,286.0
5361664,284.0
5382144,296.0
5402624,298.0
5423104,288.0
5443584,284.0
5464064,296.0
5480448,282.0
5500928,286.0
5521408,284.0
5541888,306.0
5562368,304.0
5582848,292.0
5603328,296.0
5623808,290.0
5640192,298.0
5660672,298.0
5681152,304.0
5701632,700.0
5722112,298.0
5742592,280.0
5763072,284.0
5783552,288.0
5804032,284.0
5820416,300.0
5840896,472.0
5861376,288.0
5881856,294.0
5902336,294.0
5922816,628.0
5943296,298.0
5963776,750.0
5980160,292.0
6000640,292.0
6021120,298.0
6041600,280.0
6062080,292.0
6082560,282.0
6103040,304.0
6123520,298.0
6144000,288.0
6160384,296.0
6180864,286.0
6201344,270.0
6221824,290.0
6242304,298.0
6262784,590.0
6283264,292.0
6303744,274.0
6320128,290.0
6340608,286.0
6361088,290.0
6381568,294.0
6402048,270.0
6422528,576.0
6443008,292.0
6463488,506.0
6483968,510.0
6500352,282.0
6520832,274.0
6541312,286.0
6561792,488.0
6582272,620.0
6602752,294.0
6623232,628.0
6643712,660.0
6660096,286.0
6680576,636.0
6701056,1058.0
6721536,1470.0
6742016,574.0
6762496,506.0
6782976,1146.0
6803456,840.0
6823936,294.0
6840320,284.0
6860800,908.0
6881280,270.0
6901760,974.0
6922240,280.0
6942720,1310.0
6963200,726.0
6983680,1390.0
7000064,292.0
7020544,1116.0
7041024,624.0
7061504,278.0
7081984,726.0
7102464,288.0
7122944,1104.0
7143424,1084.0
7163904,276.0
7180288,270.0
7200768,282.0
7221248,632.0
7241728,672.0
7262208,286.0
7282688,300.0
7303168,254.0
7323648,734.0
7340032,280.0
7360512,302.0
7380992,288.0
7401472,286.0
7421952,268.0
7442432,280.0
7462912,696.0
7483392,628.0
7503872,290.0
7520256,262.0
7540736,286.0
7561216,278.0
7581696,274.0
7602176,1194.0
7622656,272.0
7643136,606.0
7663616,296.0
7680000,278.0
7700480,290.0
7720960,260.0
7741440,282.0
7761920,618.0
7782400,1214.0
7802880,284.0
7823360,282.0
7843840,288.0
7860224,264.0
7880704,290.0
7901184,270.0
7921664,288.0
7942144,286.0
7962624,282.0
7983104,298.0
8003584,276.0
8024064,288.0
8040448,1252.0
8060928,272.0
8081408,278.0
8101888,274.0
8122368,280.0
8142848,292.0
8163328,448.0
8183808,278.0
8200192,288.0
8220672,612.0
8241152,282.0
8261632,290.0
8282112,292.0
8302592,290.0
8323072,292.0
8343552,482.0
8364032,288.0
8380416,270.0
8400896,298.0
8421376,294.0
8441856,290.0
8462336,294.0
8482816,598.0
8503296,680.0
8523776,280.0
8540160,286.0
8560640,296.0
8581120,282.0
8601600,582.0
8622080,536.0
8642560,742.0
8663040,288.0
8683520,282.0
8704000,276.0
8720384,912.0
8740864,1274.0
8761344,274.0
8781824,300.0
8802304,278.0
8822784,1154.0
8843264,668.0
8863744,288.0
8880128,712.0
8900608,716.0
8921088,862.0
8941568,292.0
8962048,530.0
8982528,1366.0
9003008,284.0
9023488,284.0
9043968,296.0
9060352,284.0
9080832,764.0
9101312,264.0
9121792,286.0
9142272,298.0
9162752,578.0
9183232,290.0
9203712,1168.0
9220096,618.0
9240576,700.0
9261056,278.0
9281536,522.0
9302016,558.0
9322496,286.0
9342976,706.0
9363456,914.0
9383936,624.0
9400320,278.0
9420800,276.0
9441280,278.0
9461760,282.0
9482240,282.0
9502720,608.0
9523200,624.0
9543680,284.0
9560064,864.0
9580544,1322.0
9601024,1684.0
9621504,736.0
9641984,1762.0
9662464,936.0
9682944,290.0
9703424,1240.0
9723904,1388.0
9740288,1662.0
9760768,274.0
9781248,1680.0
9801728,1302.0
9822208,1390.0
9842688,1038.0
9863168,1440.0
9883648,790.0
9900032,1664.0
9920512,1146.0
9940992,292.0
9961472,280.0
9981952,2762.0
10002432,264.0
10022912,1366.0
10043392,286.0
10063872,254.0
10080256,1422.0
10100736,2466.0
10121216,1258.0
10141696,1350.0
10162176,2164.0
10182656,1386.0
10203136,1338.0
10223616,740.0
10240000,1682.0
10260480,268.0
10280960,1770.0
10301440,772.0
10321920,2484.0
10342400,274.0
10362880,982.0
10383360,942.0
10403840,1174.0
10420224,1540.0
10440704,2074.0
10461184,2592.0
10481664,2170.0
10502144,1024.0
10522624,1580.0
10543104,268.0
10563584,3050.0
10584064,1712.0
10600448,2036.0
10620928,1268.0
10641408,1312.0
10661888,726.0
10682368,2552.0
10702848,1370.0
10723328,2142.0
10743808,1716.0
10760192,1486.0
10780672,2154.0
10801152,1692.0
10821632,1706.0
10842112,1160.0
10862592,1998.0
10883072,2244.0
10903552,2296.0
10924032,1992.0
10940416,1058.0
10960896,1594.0
10981376,2166.0
11001856,768.0
11022336,998.0
11042816,1562.0
11063296,850.0
11083776,1610.0
11100160,1650.0
11120640,1026.0
11141120,2706.0
11161600,1650.0
11182080,886.0
11202560,1568.0
11223040,1066.0
11243520,278.0
11264000,2952.0
11280384,1414.0
11300864,274.0
11321344,1570.0
11341824,2414.0
11362304,924.0
11382784,910.0
11403264,2636.0
11423744,1526.0
11440128,1020.0
11460608,3202.0
11481088,1454.0
11501568,1546.0
11522048,1730.0
11542528,1478.0
11563008,278.0
11583488,2036.0
11603968,676.0
11620352,1040.0
11640832,1446.0
11661312,1646.0
11681792,2060.0
11702272,886.0
11722752,1326.0
11743232,3004.0
11763712,1156.0
11780096,1014.0
11800576,1370.0
11821056,846.0
11841536,976.0
11862016,958.0
11882496,1058.0
11902976,1592.0
11923456,542.0
11943936,2904.0
11960320,280.0
11980800,2148.0
12001280,1740.0
12021760,2412.0
12042240,1506.0
12062720,290.0
12083200,288.0
12103680,1856.0
12120064,1578.0
12140544,860.0
12161024,1804.0
12181504,1358.0
12201984,1998.0
12222464,944.0
12242944,2332.0
12263424,2226.0
12283904,2434.0
12300288,900.0
12320768,916.0
12341248,274.0
12361728,2988.0
12382208,2304.0
12402688,2276.0
12423168,2416.0
12443648,1036.0
12460032,940.0
12480512,1726.0
12500992,1452.0
12521472,1638.0
12541952,1426.0
12562432,964.0
12582912,2082.0
12603392,1684.0
12623872,1686.0
12640256,890.0
12660736,1632.0
12681216,1806.0
12701696,1000.0
12722176,822.0
12742656,278.0
12763136,282.0
12783616,1010.0
12800000,986.0
12820480,286.0
12840960,1696.0
12861440,982.0
12881920,1430.0
12902400,1310.0
12922880,2008.0
12943360,2346.0
12963840,1602.0
12980224,1558.0
13000704,1784.0
13021184,278.0
13041664,1070.0
13062144,1106.0
13082624,1106.0
13103104,1740.0
13123584,888.0
13144064,1070.0
13160448,940.0
13180928,1144.0
13201408,2302.0
13221888,1560.0
13242368,844.0
13262848,266.0
13283328,1732.0
13303808,272.0
13320192,1562.0
13340672,1728.0
13361152,3398.0
13381632,2400.0
13402112,2160.0
13422592,1650.0
13443072,930.0
13463552,1716.0
13484032,1022.0
13500416,1062.0
13520896,1434.0
13541376,954.0
13561856,2402.0
13582336,3228.0
13602816,2452.0
13623296,1104.0
13643776,2264.0
13660160,278.0
13680640,1448.0
13701120,276.0
13721600,286.0
13742080,1056.0
13762560,2996.0
13783040,3228.0
13803520,1400.0
13824000,1012.0
13840384,1490.0
13860864,1108.0
13881344,284.0
13901824,1664.0
13922304,1682.0
13942784,274.0
13963264,1848.0
13983744,2418.0
14000128,1064.0
14020608,1784.0
14041088,962.0
14061568,1786.0
14082048,944.0
14102528,1570.0
14123008,994.0
14143488,1640.0
14163968,1726.0
14180352,2160.0
14200832,1754.0
14221312,1982.0
14241792,786.0
14262272,864.0
14282752,1690.0
14303232,1714.0
14323712,2636.0
14340096,3340.0
14360576,1682.0
14381056,2682.0
14401536,1616.0
14422016,1802.0
14442496,270.0
14462976,1014.0
14483456,1074.0
14503936,1780.0
14520320,1654.0
14540800,2450.0
14561280,276.0
14581760,1088.0
14602240,1524.0
14622720,2584.0
14643200,942.0
14663680,1756.0
14680064,2466.0
14700544,2966.0
14721024,1538.0
14741504,1588.0
14761984,1548.0
14782464,2530.0
14802944,2750.0
14823424,1514.0
14843904,954.0
14860288,1836.0
14880768,3196.0
14901248,1012.0
14921728,1752.0
14942208,1672.0
14962688,1606.0
14983168,792.0
15003648,1770.0
15020032,986.0
15040512,268.0
15060992,1834.0
15081472,3076.0
15101952,2484.0
15122432,1774.0
15142912,1618.0
15163392,2312.0
15183872,1684.0
15200256,2932.0
15220736,266.0
15241216,3152.0
15261696,276.0
15282176,3048.0
15302656,2232.0
15323136,2396.0
15343616,2302.0
15360000,1762.0
15380480,1048.0
15400960,278.0
15421440,2476.0
15441920,1386.0
15462400,1004.0
15482880,3036.0
15503360,1596.0
15523840,2398.0
15540224,1584.0
15560704,1996.0
15581184,2358.0
15601664,2688.0
15622144,2360.0
15642624,1852.0
15663104,1030.0
15683584,1070.0
15704064,2944.0
15720448,1754.0
15740928,2676.0
15761408,1524.0
15781888,816.0
15802368,3264.0
15822848,1842.0
15843328,274.0
15863808,1656.0
15880192,3158.0
15900672,1644.0
15921152,1604.0
15941632,1090.0
15962112,280.0
15982592,268.0
16003072,2600.0
16023552,1696.0
16044032,2512.0
16060416,1626.0
16080896,958.0
16101376,1062.0
16121856,2570.0
16142336,874.0
16162816,276.0
16183296,2582.0
16203776,1644.0
16220160,1756.0
16240640,3816.0
16261120,1006.0
16281600,2404.0
16302080,940.0
16322560,2644.0
16343040,2044.0
16363520,1604.0
16384000,1676.0
16400384,2444.0
16420864,2502.0
16441344,264.0
16461824,1812.0
16482304,1592.0
16502784,2210.0
16523264,1138.0
16543744,1078.0
16560128,2390.0
16580608,3388.0
16601088,944.0
16621568,1642.0
16642048,2430.0
16662528,1070.0
16683008,820.0
16703488,2636.0
16723968,944.0
16740352,278.0
16760832,2594.0
16781312,1866.0
16801792,278.0
16822272,2776.0
16842752,1964.0
16863232,1686.0
16883712,2698.0
16900096,2564.0
16920576,1720.0
16941056,3148.0
16961536,3098.0
16982016,3938.0
17002496,3122.0
17022976,1708.0
17043456,2770.0
17063936,2422.0
17080320,3410.0
17100800,908.0
17121280,1594.0
17141760,1616.0
17162240,1618.0
17182720,2382.0
17203200,1602.0
17223680,990.0
17240064,938.0
17260544,2518.0
17281024,2692.0
17301504,1760.0
17321984,1650.0
17342464,984.0
17362944,280.0
17383424,3114.0
17403904,1808.0
17420288,2236.0
17440768,2564.0
17461248,3782.0
17481728,2438.0
17502208,3028.0
17522688,930.0
17543168,276.0
17563648,2400.0
17580032,1092.0
17600512,942.0
17620992,936.0
17641472,1708.0
17661952,952.0
17682432,1606.0
17702912,1500.0
17723392,1726.0
17743872,936.0
17760256,2554.0
17780736,928.0
17801216,3380.0
17821696,1576.0
17842176,2486.0
17862656,266.0
17883136,1658.0
17903616,1826.0
17920000,950.0
17940480,918.0
17960960,2262.0
17981440,1816.0
18001920,1598.0
18022400,2488.0
18042880,1086.0
18063360,2656.0
18083840,1844.0
18100224,3310.0
18120704,284.0
18141184,1074.0
18161664,1588.0
18182144,1992.0
18202624,2392.0
18223104,2450.0
18243584,1922.0
18264064,1146.0
18280448,718.0
18300928,1618.0
18321408,944.0
18341888,2526.0
18362368,1788.0
18382848,1484.0
18403328,966.0
18423808,3016.0
18440192,1150.0
18460672,1944.0
18481152,1732.0
18501632,1886.0
18522112,2340.0
18542592,3384.0
18563072,1620.0
18583552,1766.0
18604032,2016.0
18620416,990.0
18640896,1656.0
18661376,280.0
18681856,2464.0
18702336,1802.0
18722816,3126.0
18743296,1914.0
18763776,1038.0
18780160,956.0
18800640,1004.0
18821120,1670.0
18841600,978.0
18862080,1600.0
18882560,2116.0
18903040,1780.0
18923520,2564.0
18944000,1564.0
18960384,3820.0
18980864,276.0
19001344,940.0
19021824,1054.0
19042304,2196.0
19062784,2502.0
19083264,2436.0
19103744,2652.0
19120128,2330.0
19140608,1520.0
19161088,3398.0
19181568,942.0
19202048,2622.0
19222528,278.0
19243008,1766.0
19263488,2224.0
19283968,1708.0
19300352,1688.0
19320832,830.0
19341312,276.0
19361792,1836.0
19382272,3306.0
19402752,1600.0
19423232,1714.0
19443712,1660.0
19460096,1556.0
19480576,1724.0
19501056,1692.0
19521536,1850.0
19542016,2498.0
19562496,2142.0
19582976,2484.0
19603456,3308.0
19623936,1412.0
19640320,2430.0
19660800,1630.0
19681280,1730.0
19701760,1636.0
19722240,3300.0
19742720,2410.0
19763200,2414.0
19783680,698.0
19800064,3052.0
19820544,2370.0
19841024,1812.0
19861504,1582.0
19881984,272.0
19902464,2448.0
19922944,942.0
19943424,2532.0
19963904,2380.0
19980288,1064.0
20000768,2394.0
20021248,2528.0
20041728,1086.0
20062208,2538.0
20082688,1090.0
20103168,2626.0
20123648,946.0
20140032,1768.0
20160512,1086.0
20180992,1714.0
20201472,2918.0
20221952,2530.0
20242432,280.0
20262912,1778.0
20283392,1912.0
20303872,2996.0
20320256,2246.0
20340736,1662.0
20361216,2052.0
20381696,1000.0
20402176,2538.0
20422656,990.0
20443136,274.0
20463616,1744.0
20480000,1596.0
20500480,1116.0
20520960,2424.0
20541440,1848.0
20561920,2700.0
20582400,1916.0
20602880,2370.0
20623360,1622.0
20643840,1446.0
20660224,936.0
20680704,1514.0
20701184,1088.0
20721664,930.0
20742144,1592.0
20762624,942.0
20783104,1576.0
20803584,278.0
20824064,2382.0
20840448,2350.0
20860928,2408.0
20881408,1018.0
20901888,4150.0
20922368,1694.0
20942848,1432.0
20963328,1110.0
20983808,3282.0
21000192,4086.0
21020672,2400.0
21041152,2516.0
21061632,2504.0
21082112,926.0
21102592,2526.0
21123072,2394.0
21143552,3166.0
21164032,1836.0
21180416,270.0
21200896,1104.0
21221376,988.0
21241856,1630.0
21262336,680.0
21282816,1478.0
21303296,1930.0
21323776,1684.0
21340160,1558.0
21360640,2054.0
21381120,1768.0
21401600,3186.0
21422080,2362.0
21442560,1336.0
21463040,3272.0
21483520,2584.0
21504000,2382.0
21520384,2220.0
21540864,2538.0
21561344,3256.0
21581824,1706.0
21602304,2432.0
21622784,1800.0
21643264,2580.0
21663744,1060.0
21680128,2488.0
21700608,2306.0
21721088,1152.0
21741568,3008.0
21762048,3208.0
21782528,1068.0
21803008,2784.0
21823488,2544.0
21843968,2432.0
21860352,1736.0
21880832,1574.0
21901312,2390.0
21921792,1754.0
21942272,3146.0
21962752,1028.0
21983232,3718.0
22003712,2488.0
22020096,2716.0
22040576,3184.0
22061056,1596.0
22081536,2282.0
22102016,2272.0
22122496,4144.0
22142976,2144.0
22163456,2318.0
22183936,1610.0
22200320,3192.0
22220800,3164.0
22241280,2524.0
22261760,1608.0
22282240,3872.0
22302720,1760.0
22323200,2250.0
22343680,3046.0
22360064,2286.0
22380544,2444.0
22401024,2558.0
22421504,3614.0
22441984,3420.0
22462464,3214.0
22482944,1818.0
22503424,3042.0
22523904,1766.0
22540288,3892.0
22560768,2184.0
22581248,1632.0
22601728,1724.0
