Step,Value
20480,218.0
40960,222.0
61440,256.0
81920,276.0
102400,282.0
122880,454.0
143360,362.0
163840,538.0
180224,302.0
200704,710.0
221184,434.0
241664,374.0
262144,656.0
282624,624.0
303104,400.0
323584,490.0
344064,986.0
360448,480.0
380928,628.0
401408,590.0
421888,722.0
442368,304.0
462848,486.0
483328,428.0
503808,600.0
520192,766.0
540672,714.0
561152,484.0
581632,744.0
602112,622.0
622592,612.0
643072,610.0
663552,710.0
684032,686.0
700416,580.0
720896,504.0
741376,568.0
761856,416.0
782336,592.0
802816,610.0
823296,582.0
843776,904.0
860160,756.0
880640,972.0
901120,712.0
921600,796.0
942080,692.0
962560,806.0
983040,874.0
1003520,748.0
1024000,892.0
1040384,982.0
1060864,790.0
1081344,796.0
1101824,426.0
1122304,778.0
1142784,828.0
1163264,774.0
1183744,978.0
1200128,660.0
1220608,1100.0
1241088,958.0
1261568,1040.0
1282048,900.0
1302528,862.0
1323008,1048.0
1343488,938.0
1363968,686.0
1380352,620.0
1400832,920.0
1421312,718.0
1441792,746.0
1462272,1358.0
1482752,1170.0
1503232,1146.0
1523712,1162.0
1540096,1210.0
1560576,1572.0
1581056,1164.0
1601536,1398.0
1622016,1180.0
1642496,982.0
1662976,1226.0
1683456,1292.0
1703936,788.0
1720320,930.0
1740800,838.0
1761280,1270.0
1781760,696.0
1802240,1072.0
1822720,996.0
1843200,1514.0
1863680,1024.0
1880064,1072.0
1900544,1220.0
1921024,860.0
1941504,1064.0
1961984,1192.0
1982464,752.0
2002944,902.0
2023424,1208.0
2043904,1390.0
2060288,1132.0
2080768,1032.0
2101248,1210.0
2121728,904.0
2142208,1216.0
2162688,870.0
2183168,904.0
2203648,1130.0
2220032,1038.0
2240512,1494.0
2260992,1054.0
2281472,1380.0
2301952,1034.0
2322432,1152.0
2342912,1396.0
2363392,1134.0
2383872,936.0
2400256,928.0
2420736,1256.0
2441216,1028.0
2461696,1106.0
2482176,1170.0
2502656,898.0
2523136,1012.0
2543616,946.0
2560000,1488.0
2580480,998.0
2600960,1236.0
2621440,1048.0
2641920,1124.0
2662400,1246.0
2682880,1022.0
2703360,1478.0
2723840,968.0
2740224,1026.0
2760704,940.0
2781184,1078.0
2801664,1168.0
2822144,1294.0
2842624,1278.0
2863104,1542.0
2883584,1130.0
2904064,1610.0
2920448,1180.0
2940928,1598.0
2961408,1476.0
2981888,1574.0
3002368,1224.0
3022848,1094.0
3043328,1350.0
3063808,1226.0
3080192,1502.0
3100672,1200.0
3121152,1440.0
3141632,1520.0
3162112,1390.0
3182592,1104.0
3203072,1412.0
3223552,1232.0
3244032,1178.0
3260416,1168.0
3280896,1154.0
3301376,1616.0
3321856,1394.0
3342336,1504.0
3362816,1380.0
3383296,1344.0
3403776,1358.0
3420160,1346.0
3440640,1046.0
3461120,1144.0
3481600,1234.0
3502080,1398.0
3522560,1204.0
3543040,1666.0
3563520,1226.0
3584000,1324.0
3600384,1262.0
3620864,1306.0
3641344,1434.0
3661824,1240.0
3682304,1548.0
3702784,1246.0
3723264,1208.0
3743744,1268.0
3760128,1140.0
3780608,1246.0
3801088,1210.0
3821568,1242.0
3842048,1652.0
3862528,1076.0
3883008,1194.0
3903488,1098.0
3923968,1168.0
3940352,1040.0
3960832,1160.0
3981312,1442.0
4001792,1282.0
4022272,1448.0
4042752,1832.0
4063232,1248.0
4083712,1278.0
4100096,1230.0
4120576,1414.0
4141056,1214.0
4161536,1326.0
4182016,1310.0
4202496,1222.0
4222976,1390.0
4243456,1594.0
4263936,1334.0
4280320,1974.0
4300800,1676.0
4321280,1524.0
4341760,1386.0
4362240,1172.0
4382720,1330.0
4403200,1698.0
4423680,1440.0
4440064,1216.0
4460544,1494.0
4481024,1296.0
4501504,1566.0
4521984,1734.0
4542464,1072.0
4562944,1424.0
4583424,1324.0
4603904,1664.0
4620288,1100.0
4640768,1220.0
4661248,1278.0
4681728,1224.0
4702208,1260.0
4722688,1258.0
4743168,1250.0
4763648,1638.0
4780032,1510.0
4800512,1502.0
4820992,1470.0
4841472,1496.0
4861952,1904.0
4882432,1416.0
4902912,1220.0
4923392,1294.0
4943872,1408.0
4960256,1456.0
4980736,1442.0
5001216,1590.0
5021696,1680.0
5042176,1376.0
5062656,1542.0
5083136,1414.0
5103616,1404.0
5120000,1458.0
5140480,1888.0
5160960,1642.0
5181440,1506.0
5201920,1284.0
5222400,1416.0
5242880,1254.0
5263360,1834.0
5283840,1526.0
5300224,1974.0
5320704,1830.0
5341184,1982.0
5361664,2332.0
5382144,2386.0
5402624,1552.0
5423104,1950.0
5443584,1406.0
5464064,1518.0
5480448,1730.0
5500928,1632.0
5521408,1778.0
5541888,1598.0
5562368,2120.0
5582848,1322.0
5603328,1798.0
5623808,1840.0
5640192,1636.0
5660672,1570.0
5681152,2016.0
5701632,1934.0
5722112,2082.0
5742592,1408.0
5763072,1830.0
5783552,1146.0
5804032,1808.0
5820416,1836.0
5840896,1476.0
5861376,1444.0
5881856,1794.0
5902336,1366.0
5922816,1170.0
5943296,1300.0
5963776,1726.0
5980160,1610.0
6000640,1684.0
6021120,1492.0
6041600,1512.0
6062080,1604.0
6082560,1780.0
6103040,1354.0
6123520,1360.0
6144000,1626.0
6160384,1326.0
6180864,1622.0
6201344,1530.0
6221824,1554.0
6242304,1600.0
6262784,1436.0
6283264,1734.0
6303744,1664.0
6320128,1726.0
6340608,1610.0
6361088,1810.0
6381568,1620.0
6402048,1806.0
6422528,1776.0
6443008,2068.0
6463488,2084.0
6483968,1746.0
6500352,1586.0
6520832,1726.0
6541312,1508.0
6561792,1832.0
6582272,1614.0
6602752,1922.0
6623232,1724.0
6643712,1826.0
6660096,1660.0
6680576,1566.0
6701056,1838.0
6721536,1736.0
6742016,1778.0
6762496,1854.0
6782976,2092.0
6803456,1662.0
6823936,1848.0
6840320,1872.0
6860800,1426.0
6881280,2208.0
6901760,2150.0
6922240,1642.0
6942720,1504.0
6963200,1758.0
6983680,1866.0
7000064,1634.0
7020544,1710.0
7041024,2170.0
7061504,1648.0
7081984,1878.0
7102464,1870.0
7122944,1826.0
7143424,1936.0
7163904,2058.0
7180288,1788.0
7200768,1926.0
7221248,1660.0
7241728,2070.0
7262208,1914.0
7282688,2124.0
7303168,1758.0
7323648,2004.0
7340032,1636.0
7360512,1756.0
7380992,1728.0
7401472,2092.0
7421952,2328.0
7442432,1882.0
7462912,1788.0
7483392,1936.0
7503872,2226.0
7520256,1976.0
7540736,2052.0
7561216,2138.0
7581696,1948.0
7602176,2100.0
7622656,2220.0
7643136,2002.0
7663616,2434.0
7680000,2016.0
7700480,1664.0
7720960,2176.0
7741440,2042.0
7761920,1972.0
7782400,1708.0
7802880,1930.0
7823360,2988.0
7843840,2348.0
7860224,2202.0
7880704,2178.0
7901184,2210.0
7921664,2472.0
7942144,2152.0
7962624,1762.0
7983104,2166.0
8003584,2258.0
8024064,2256.0
8040448,1916.0
8060928,2288.0
8081408,1922.0
8101888,1762.0
8122368,1880.0
8142848,1554.0
8163328,1840.0
8183808,2018.0
8200192,1792.0
8220672,2190.0
8241152,2448.0
8261632,1762.0
8282112,1906.0
8302592,1878.0
8323072,2158.0
8343552,1848.0
8364032,1806.0
8380416,2056.0
8400896,1974.0
8421376,2108.0
8441856,2070.0
8462336,1890.0
8482816,1642.0
8503296,2168.0
8523776,1968.0
8540160,1874.0
8560640,1976.0
8581120,2080.0
8601600,2040.0
8622080,2454.0
8642560,1754.0
8663040,1980.0
8683520,2280.0
8704000,2070.0
8720384,1960.0
8740864,1908.0
8761344,2144.0
8781824,2014.0
8802304,1722.0
8822784,1648.0
8843264,1824.0
8863744,1874.0
8880128,1568.0
8900608,2060.0
8921088,1330.0
8941568,2152.0
8962048,2270.0
8982528,2146.0
9003008,1926.0
9023488,1516.0
9043968,1940.0
9060352,1694.0
9080832,1870.0
9101312,2230.0
9121792,2098.0
9142272,2036.0
9162752,1828.0
9183232,1882.0
