Step,Value
20480,360.0
40960,200.0
61440,190.0
81920,180.0
102400,280.0
122880,310.0
143360,200.0
163840,250.0
180224,330.0
200704,210.0
221184,190.0
241664,190.0
262144,290.0
282624,250.0
303104,250.0
323584,220.0
344064,270.0
360448,190.0
380928,410.0
401408,320.0
421888,330.0
442368,330.0
462848,350.0
483328,350.0
503808,490.0
520192,510.0
540672,530.0
561152,460.0
581632,500.0
602112,530.0
622592,570.0
643072,510.0
663552,660.0
684032,520.0
700416,530.0
720896,490.0
741376,480.0
761856,940.0
782336,740.0
802816,1210.0
823296,680.0
843776,740.0
860160,1240.0
880640,720.0
901120,1040.0
921600,890.0
942080,1070.0
962560,1140.0
983040,740.0
1003520,1130.0
1024000,1350.0
1040384,1290.0
1060864,890.0
1081344,1290.0
1101824,1090.0
1122304,1080.0
1142784,1270.0
1163264,1350.0
1183744,1170.0
1200128,1250.0
1220608,1110.0
1241088,1220.0
1261568,1250.0
1282048,1160.0
1302528,1420.0
1323008,1140.0
1343488,1290.0
1363968,1720.0
1380352,1360.0
1400832,1190.0
1421312,1400.0
1441792,1530.0
1462272,1410.0
1482752,1000.0
1503232,1110.0
1523712,1440.0
1540096,1660.0
1560576,1490.0
1581056,1400.0
1601536,1540.0
1622016,1470.0
1642496,1400.0
1662976,1390.0
1683456,1550.0
1703936,1220.0
1720320,1380.0
1740800,1690.0
1761280,1410.0
1781760,1520.0
1802240,1400.0
1822720,1530.0
1843200,1890.0
1863680,1450.0
1880064,1270.0
1900544,1410.0
1921024,1360.0
1941504,1230.0
1961984,1480.0
1982464,1550.0
2002944,1590.0
2023424,1290.0
2043904,1370.0
2060288,1150.0
2080768,1510.0
2101248,1430.0
2121728,1450.0
2142208,1440.0
2162688,1380.0
2183168,1700.0
2203648,1530.0
2220032,1560.0
2240512,1380.0
2260992,1140.0
2281472,1390.0
2301952,1360.0
2322432,1390.0
2342912,1770.0
2363392,1540.0
2383872,1470.0
2400256,1520.0
2420736,1470.0
2441216,1510.0
2461696,1770.0
2482176,1880.0
2502656,2120.0
2523136,1680.0
2543616,1480.0
2560000,1840.0
2580480,1980.0
2600960,1890.0
2621440,1860.0
2641920,1690.0
2662400,2030.0
2682880,1740.0
2703360,1610.0
2723840,1700.0
2740224,1600.0
2760704,1910.0
2781184,1750.0
2801664,1750.0
2822144,1670.0
2842624,1840.0
2863104,1980.0
2883584,1690.0
2904064,1500.0
2920448,1940.0
2940928,1770.0
2961408,1580.0
2981888,1610.0
3002368,1450.0
3022848,1270.0
3043328,1680.0
3063808,1690.0
3080192,1470.0
3100672,1520.0
3121152,1870.0
3141632,1750.0
3162112,1680.0
3182592,1750.0
3203072,1970.0
3223552,1810.0
3244032,1750.0
3260416,1380.0
3280896,1620.0
3301376,2120.0
3321856,2160.0
3342336,1900.0
3362816,1610.0
3383296,1750.0
3403776,1930.0
3420160,1970.0
3440640,2180.0
3461120,2240.0
3481600,1970.0
3502080,2380.0
3522560,1920.0
3543040,2220.0
3563520,1770.0
3584000,1720.0
3600384,2110.0
3620864,1860.0
3641344,2280.0
3661824,2190.0
3682304,1560.0
3702784,1870.0
3723264,2170.0
3743744,2140.0
3760128,1800.0
3780608,1680.0
3801088,1850.0
3821568,2130.0
3842048,1770.0
3862528,2080.0
3883008,1640.0
3903488,2090.0
3923968,2070.0
3940352,2320.0
3960832,1890.0
3981312,2750.0
4001792,2030.0
4022272,1690.0
4042752,2120.0
4063232,1860.0
4083712,1960.0
4100096,2310.0
4120576,2340.0
4141056,2100.0
4161536,2080.0
4182016,2320.0
4202496,2550.0
4222976,2100.0
4243456,2700.0
4263936,2390.0
4280320,2260.0
4300800,2250.0
4321280,2350.0
4341760,2200.0
4362240,2130.0
4382720,2110.0
4403200,2430.0
4423680,1910.0
4440064,2550.0
4460544,2280.0
4481024,2350.0
4501504,2620.0
4521984,2230.0
4542464,2130.0
4562944,2450.0
4583424,2410.0
4603904,2100.0
4620288,2070.0
4640768,2210.0
4661248,2140.0
4681728,2060.0
4702208,2210.0
4722688,2010.0
4743168,2410.0
4763648,2480.0
4780032,2280.0
4800512,2320.0
4820992,2250.0
4841472,2520.0
4861952,1980.0
4882432,2280.0
4902912,2530.0
4923392,2290.0
4943872,2480.0
4960256,2360.0
4980736,2400.0
5001216,2570.0
5021696,2800.0
5042176,2470.0
5062656,2590.0
5083136,2510.0
5103616,2500.0
5120000,2300.0
5140480,2210.0
5160960,2140.0
5181440,2320.0
5201920,2090.0
5222400,2790.0
5242880,2850.0
5263360,2500.0
5283840,2480.0
5300224,2980.0
5320704,2770.0
5341184,2480.0
5361664,2350.0
5382144,2590.0
5402624,2650.0
