Step,Value
20480,26.0
40960,18.0
61440,10.0
81920,18.0
102400,16.0
122880,8.0
143360,18.0
163840,14.0
180224,22.0
200704,20.0
221184,20.0
241664,34.0
262144,24.0
282624,32.0
303104,22.0
323584,34.0
344064,28.0
360448,40.0
380928,36.0
401408,54.0
421888,38.0
442368,48.0
462848,74.0
483328,58.0
503808,80.0
520192,82.0
540672,80.0
561152,76.0
581632,72.0
602112,86.0
622592,102.0
643072,112.0
663552,104.0
684032,106.0
700416,132.0
720896,148.0
741376,142.0
761856,152.0
782336,132.0
802816,154.0
823296,156.0
843776,160.0
860160,138.0
880640,172.0
901120,136.0
921600,192.0
942080,178.0
962560,182.0
983040,186.0
1003520,196.0
1024000,180.0
1040384,190.0
1060864,202.0
1081344,184.0
1101824,192.0
1122304,218.0
1142784,210.0
1163264,214.0
1183744,234.0
1200128,208.0
1220608,236.0
1241088,220.0
1261568,240.0
1282048,290.0
1302528,224.0
1323008,242.0
1343488,252.0
1363968,248.0
1380352,270.0
1400832,248.0
1421312,274.0
1441792,242.0
1462272,260.0
1482752,260.0
1503232,282.0
1523712,294.0
1540096,292.0
1560576,298.0
1581056,298.0
1601536,294.0
1622016,322.0
1642496,290.0
1662976,316.0
1683456,332.0
1703936,354.0
1720320,346.0
1740800,354.0
1761280,344.0
1781760,338.0
1802240,340.0
1822720,366.0
1843200,394.0
1863680,376.0
1880064,362.0
1900544,396.0
1921024,380.0
1941504,352.0
1961984,392.0
1982464,396.0
2002944,416.0
2023424,424.0
2043904,428.0
2060288,410.0
2080768,450.0
2101248,428.0
2121728,510.0
2142208,522.0
2162688,512.0
2183168,504.0
2203648,626.0
2220032,700.0
2240512,706.0
2260992,786.0
2281472,842.0
2301952,826.0
2322432,874.0
2342912,894.0
2363392,916.0
2383872,948.0
2400256,902.0
2420736,910.0
2441216,878.0
2461696,930.0
2482176,890.0
2502656,972.0
2523136,942.0
2543616,940.0
2560000,972.0
2580480,888.0
2600960,972.0
2621440,1006.0
2641920,902.0
2662400,986.0
2682880,936.0
2703360,940.0
2723840,1006.0
2740224,1002.0
2760704,1004.0
2781184,918.0
2801664,976.0
2822144,950.0
2842624,1018.0
2863104,974.0
2883584,1044.0
2904064,930.0
2920448,1022.0
2940928,1102.0
2961408,1018.0
2981888,1034.0
3002368,1096.0
3022848,1034.0
3043328,1004.0
3063808,1046.0
3080192,1042.0
3100672,1032.0
3121152,1116.0
3141632,1050.0
3162112,1064.0
3182592,1052.0
3203072,1044.0
3223552,1074.0
3244032,1136.0
3260416,1094.0
3280896,1142.0
3301376,1168.0
3321856,1046.0
3342336,1104.0
3362816,1086.0
3383296,1018.0
3403776,1168.0
3420160,1158.0
3440640,1142.0
3461120,1148.0
3481600,1110.0
3502080,1162.0
3522560,1120.0
3543040,1120.0
3563520,1048.0
3584000,1030.0
3600384,1016.0
3620864,1078.0
3641344,1182.0
3661824,1076.0
3682304,1080.0
3702784,1138.0
3723264,1110.0
3743744,1156.0
3760128,1198.0
3780608,1160.0
3801088,1182.0
3821568,1048.0
3842048,1096.0
3862528,1152.0
3883008,1112.0
3903488,1126.0
3923968,1138.0
3940352,1142.0
3960832,1168.0
3981312,1052.0
4001792,1122.0
4022272,1126.0
4042752,1160.0
4063232,1096.0
4083712,1086.0
4100096,1122.0
4120576,1172.0
4141056,1084.0
4161536,1176.0
4182016,1186.0
4202496,1122.0
4222976,1132.0
4243456,1144.0
4263936,1148.0
4280320,1188.0
4300800,1152.0
4321280,1228.0
4341760,1234.0
4362240,1176.0
4382720,1174.0
4403200,1162.0
4423680,1164.0
4440064,1082.0
4460544,1168.0
4481024,1074.0
4501504,1100.0
4521984,1188.0
4542464,1084.0
4562944,1186.0
4583424,1142.0
4603904,1226.0
4620288,1104.0
4640768,1102.0
4661248,1174.0
4681728,1158.0
4702208,1088.0
4722688,1112.0
4743168,1128.0
4763648,1148.0
4780032,1094.0
4800512,1192.0
4820992,1154.0
4841472,1208.0
4861952,1098.0
4882432,1118.0
4902912,1192.0
4923392,1152.0
4943872,1192.0
4960256,1172.0
4980736,1080.0
5001216,1112.0
5021696,1182.0
5042176,1180.0
5062656,1162.0
5083136,1158.0
5103616,1200.0
5120000,1128.0
5140480,1134.0
5160960,1114.0
5181440,1182.0
5201920,1120.0
5222400,1124.0
5242880,1182.0
5263360,1188.0
5283840,1138.0
5300224,1192.0
