Step,Value
102400,333.0
200704,161.0
303104,169.0
401408,498.0
503808,824.0
602112,497.0
700416,418.0
802816,1207.0
901120,1492.0
1003520,955.0
1101824,1210.0
1200128,1977.0
1302528,3051.0
1400832,2034.0
1503232,702.0
1601536,1372.0
1703936,2964.0
1802240,3042.0
1900544,2873.0
2002944,4067.0
2101248,4149.0
2203648,3053.0
2301952,5804.0
2400256,5477.0
2502656,4950.0
2600960,6401.0
2703360,2457.0
2801664,5920.0
2904064,6774.0
3002368,4104.0
3100672,4288.0
3203072,6363.0
3301376,7058.0
3403776,8361.0
3502080,7525.0
3600384,8165.0
3702784,7446.0
3801088,5506.0
3903488,8411.0
4001792,8540.0
4100096,7521.0
4202496,11256.0
4300800,8307.0
4403200,8069.0
4501504,6909.0
4603904,9199.0
4702208,4315.0
4800512,5987.0
4902912,12231.0
5001216,7777.0
5103616,9926.0
5201920,5729.0
5300224,12368.0
5402624,6773.0
5500928,7218.0
5603328,8615.0
5701632,9545.0
5804032,7768.0
5902336,8572.0
6000640,9476.0
6103040,8498.0
6201344,9310.0
6303744,11103.0
6402048,9467.0
6500352,8512.0
6602752,9180.0
6701056,11111.0
6803456,9366.0
6901760,10086.0
7000064,12316.0
7102464,8723.0
7200768,11191.0
7303168,13548.0
7401472,15278.0
7503872,25523.0
7602176,19568.0
7700480,18968.0
7802880,18300.0
7901184,14935.0
8003584,11782.0
8101888,19099.0
8200192,11577.0
8302592,23914.0
8400896,18279.0
8503296,19591.0
8601600,16600.0
8704000,15725.0
8802304,15636.0
8900608,23966.0
9003008,11744.0
9101312,20686.0
9203712,38179.0
9302016,31740.0
9400320,31145.0
9502720,18583.0
9601024,21214.0
9703424,37924.0
9801728,31225.0
9900032,9406.0
10002432,22053.0
10100736,47190.0
10203136,34130.0
10301440,20025.0
10403840,27791.0
10502144,14955.0
10600448,22266.0
10702848,41810.0
10801152,20029.0
10903552,24171.0
11001856,29272.0
11100160,18517.0
11202560,18763.0
11300864,31618.0
11403264,23895.0
11501568,24359.0
11603968,50117.0
11702272,24254.0
11800576,22026.0
11902976,19933.0
12001280,54578.0
12103680,23271.0
12201984,30394.0
12300288,37242.0
12402688,47335.0
12500992,95563.0
12603392,50771.0
12701696,27971.0
12800000,33603.0
12902400,153741.0
13000704,47746.0
13103104,34076.0
13201408,77386.0
13303808,23047.0
13402112,86899.0
13500416,25456.0
13602816,35681.0
13701120,55139.0
13803520,77228.0
13901824,57248.0
14000128,22760.0
14102528,123072.0
14200832,77595.0
14303232,40584.0
14401536,39441.0
14503936,58350.0
14602240,80153.0
14700544,28083.0
14802944,70954.0
14901248,26561.0
15003648,60672.0
15101952,59609.0
15200256,53730.0
15302656,24598.0
15400960,35008.0
15503360,70755.0
15601664,19066.0
15704064,40620.0
15802368,45667.0
15900672,57223.0
16003072,78175.0
16101376,61677.0
16203776,140951.0
16302080,67261.0
16400384,305122.0
16502784,255695.0
16601088,313791.0
16703488,122888.0
16801792,55895.0
16900096,67504.0
17002496,20509.0
17100800,94240.0
17203200,164732.0
17301504,163719.0
17403904,229999.0
17502208,108614.0
17600512,141495.0
17702912,182678.0
17801216,98109.0
17903616,131055.0
18001920,81440.0
18100224,71407.0
18202624,78040.0
18300928,67538.0
18403328,88391.0
18501632,117405.0
18604032,258031.0
18702336,228386.0
18800640,66555.0
18903040,181134.0
19001344,92557.0
19103744,154688.0
19202048,107053.0
19300352,47270.0
19402752,117180.0
19501056,181255.0
19603456,355348.0
19701760,208521.0
19800064,204228.0
19902464,282137.0
20000768,280786.0
20103168,243881.0
20201472,289167.0
20303872,336052.0
20402176,272253.0
20500480,354598.0
20602880,323178.0
20701184,314385.0
20803584,329993.0
20901888,299868.0
21000192,256819.0
21102592,301441.0
21200896,314075.0
21303296,281035.0
21401600,198705.0
21504000,265220.0
21602304,265267.0
21700608,387541.0
21803008,271722.0
21901312,281046.0
22003712,220214.0
22102016,271063.0
22200320,270227.0
22302720,140761.0
22401024,211801.0
22503424,325619.0
22601728,325282.0
22700032,393492.0
22802432,408714.0
22900736,314399.0
23003136,357977.0
23101440,403556.0
23203840,405945.0
23302144,409139.0
23400448,338932.0
23502848,358428.0
23601152,329659.0
23703552,267630.0
23801856,350787.0
23900160,313147.0
24002560,294947.0
24100864,398194.0
24203264,340711.0
24301568,346959.0
24403968,349691.0
24502272,328271.0
24600576,224733.0
24702976,344734.0
24801280,342998.0
24903680,405573.0
25001984,313797.0
25100288,285261.0
25202688,380468.0
25300992,403259.0
25403392,223777.0
25501696,304617.0
25600000,331390.0
25702400,149616.0
25800704,235893.0
25903104,290056.0
26001408,336780.0
26103808,415554.0
26202112,285256.0
26300416,414686.0
26402816,391285.0
26501120,396249.0
26603520,413677.0
26701824,255923.0
26800128,326576.0
26902528,414688.0
27000832,419910.0
27103232,421380.0
27201536,418566.0
27303936,420086.0
27402240,375880.0
27500544,420447.0
27602944,349500.0
27701248,346474.0
27803648,417351.0
27901952,419053.0
28000256,417370.0
28102656,317821.0
28200960,323828.0
28303360,305107.0
28401664,422128.0
28504064,417972.0
28602368,420424.0
28700672,422290.0
28803072,413497.0
28901376,420249.0
29003776,428096.0
29102080,398870.0
29200384,421229.0
29302784,409795.0
29401088,404510.0
29503488,350246.0
29601792,407618.0
29700096,346434.0
29802496,425049.0
29900800,389051.0
30003200,427512.0
30101504,375340.0
30203904,417433.0
30302208,357369.0
30400512,385001.0
30502912,428522.0
30601216,430808.0
30703616,365847.0
30801920,431783.0
30900224,399814.0
31002624,315831.0
31100928,420467.0
31203328,427904.0
31301632,423846.0
31404032,428590.0
31502336,428853.0
31600640,397566.0
31703040,427871.0
31801344,330706.0
31903744,435140.0
32002048,335491.0
32100352,430917.0
32202752,333145.0
32301056,293023.0
32403456,434283.0
32501760,430334.0
32600064,435766.0
32702464,406904.0
32800768,435721.0
32903168,391394.0
33001472,369424.0
33103872,435916.0
33202176,430989.0
33300480,268496.0
33402880,369938.0
33501184,434772.0
33603584,367809.0
