Step,Value
20480,130.0
40960,94.0
61440,134.0
81920,128.0
102400,156.0
122880,126.0
143360,182.0
163840,198.0
180224,236.0
200704,184.0
221184,212.0
241664,196.0
262144,224.0
282624,226.0
303104,214.0
323584,242.0
344064,242.0
360448,246.0
380928,236.0
401408,252.0
421888,232.0
442368,252.0
462848,254.0
483328,256.0
503808,252.0
520192,258.0
540672,250.0
561152,258.0
581632,256.0
602112,256.0
622592,250.0
643072,270.0
663552,268.0
684032,260.0
700416,256.0
720896,260.0
741376,264.0
761856,250.0
782336,262.0
802816,260.0
823296,244.0
843776,240.0
860160,250.0
880640,260.0
901120,258.0
921600,252.0
942080,250.0
962560,258.0
983040,248.0
1003520,254.0
1024000,262.0
1040384,260.0
1060864,266.0
1081344,266.0
1101824,252.0
1122304,250.0
1142784,260.0
1163264,260.0
1183744,260.0
1200128,252.0
1220608,268.0
1241088,270.0
1261568,272.0
1282048,264.0
1302528,264.0
1323008,276.0
1343488,254.0
1363968,260.0
1380352,258.0
1400832,254.0
1421312,256.0
1441792,260.0
1462272,246.0
1482752,268.0
1503232,268.0
1523712,268.0
1540096,264.0
1560576,266.0
1581056,260.0
1601536,262.0
1622016,258.0
1642496,262.0
1662976,252.0
1683456,254.0
1703936,268.0
1720320,262.0
1740800,268.0
1761280,264.0
1781760,264.0
1802240,268.0
1822720,258.0
1843200,262.0
1863680,266.0
1880064,260.0
1900544,270.0
1921024,270.0
1941504,270.0
1961984,270.0
1982464,282.0
2002944,260.0
2023424,258.0
2043904,266.0
2060288,254.0
2080768,262.0
2101248,264.0
2121728,254.0
2142208,260.0
2162688,272.0
2183168,272.0
2203648,266.0
2220032,266.0
2240512,270.0
2260992,260.0
2281472,266.0
2301952,262.0
2322432,268.0
2342912,260.0
2363392,266.0
2383872,266.0
2400256,258.0
2420736,264.0
2441216,276.0
2461696,256.0
2482176,268.0
2502656,268.0
2523136,274.0
2543616,268.0
2560000,258.0
2580480,250.0
2600960,274.0
2621440,276.0
2641920,274.0
2662400,260.0
2682880,268.0
2703360,284.0
2723840,270.0
2740224,268.0
2760704,278.0
2781184,276.0
2801664,280.0
2822144,294.0
2842624,260.0
2863104,262.0
2883584,262.0
2904064,276.0
2920448,254.0
2940928,290.0
2961408,282.0
2981888,270.0
3002368,266.0
3022848,272.0
3043328,286.0
3063808,266.0
3080192,280.0
3100672,286.0
3121152,280.0
3141632,276.0
3162112,288.0
3182592,292.0
3203072,292.0
3223552,292.0
3244032,294.0
3260416,294.0
3280896,286.0
3301376,302.0
3321856,300.0
3342336,276.0
3362816,286.0
3383296,300.0
3403776,306.0
3420160,290.0
3440640,304.0
3461120,290.0
3481600,290.0
3502080,300.0
3522560,298.0
3543040,290.0
3563520,308.0
3584000,308.0
3600384,310.0
3620864,310.0
3641344,306.0
3661824,296.0
3682304,292.0
3702784,298.0
3723264,310.0
3743744,314.0
3760128,310.0
3780608,308.0
3801088,314.0
3821568,320.0
3842048,306.0
3862528,320.0
3883008,306.0
3903488,320.0
3923968,310.0
3940352,320.0
3960832,316.0
3981312,308.0
4001792,302.0
4022272,310.0
4042752,320.0
4063232,318.0
4083712,320.0
4100096,320.0
4120576,310.0
4141056,320.0
4161536,312.0
4182016,312.0
4202496,298.0
4222976,320.0
4243456,314.0
4263936,306.0
4280320,314.0
4300800,320.0
4321280,312.0
4341760,320.0
4362240,320.0
4382720,320.0
4403200,314.0
4423680,320.0
4440064,308.0
4460544,320.0
4481024,316.0
4501504,316.0
4521984,288.0
4542464,316.0
4562944,312.0
4583424,292.0
4603904,320.0
4620288,318.0
4640768,320.0
4661248,310.0
4681728,318.0
4702208,320.0
4722688,320.0
4743168,320.0
4763648,308.0
4780032,320.0
4800512,320.0
4820992,320.0
4841472,308.0
4861952,308.0
4882432,320.0
4902912,320.0
4923392,300.0
4943872,320.0
4960256,320.0
4980736,300.0
5001216,314.0
5021696,302.0
5042176,300.0
5062656,320.0
5083136,316.0
5103616,318.0
5120000,320.0
5140480,318.0
5160960,312.0
5181440,320.0
5201920,320.0
5222400,310.0
5242880,320.0
5263360,306.0
5283840,320.0
5300224,320.0
5320704,306.0
5341184,320.0
5361664,320.0
5382144,320.0
5402624,320.0
5423104,314.0
5443584,318.0
5464064,320.0
5480448,308.0
5500928,316.0
5521408,318.0
5541888,306.0
5562368,320.0
5582848,320.0
5603328,316.0
5623808,314.0
5640192,320.0
5660672,308.0
5681152,312.0
5701632,320.0
5722112,310.0
5742592,306.0
5763072,316.0
5783552,320.0
5804032,302.0
5820416,284.0
5840896,320.0
5861376,290.0
5881856,312.0
5902336,316.0
5922816,320.0
5943296,320.0
5963776,316.0
5980160,308.0
6000640,306.0
6021120,320.0
6041600,308.0
6062080,320.0
6082560,320.0
6103040,320.0
6123520,320.0
6144000,320.0
6160384,314.0
6180864,300.0
6201344,314.0
6221824,320.0
6242304,302.0
6262784,304.0
6283264,318.0
6303744,314.0
6320128,302.0
6340608,320.0
6361088,320.0
6381568,320.0
6402048,310.0
6422528,320.0
6443008,318.0
6463488,320.0
6483968,320.0
6500352,308.0
6520832,314.0
6541312,308.0
6561792,320.0
6582272,314.0
6602752,312.0
6623232,308.0
6643712,320.0
6660096,312.0
6680576,312.0
6701056,316.0
6721536,320.0
6742016,320.0
6762496,312.0
6782976,316.0
6803456,312.0
6823936,320.0
6840320,302.0
6860800,306.0
6881280,320.0
6901760,312.0
6922240,320.0
6942720,314.0
6963200,318.0
6983680,316.0
7000064,320.0
7020544,320.0
7041024,320.0
7061504,304.0
7081984,320.0
7102464,320.0
7122944,312.0
7143424,320.0
7163904,320.0
7180288,318.0
7200768,320.0
7221248,320.0
7241728,320.0
7262208,320.0
7282688,320.0
7303168,314.0
7323648,320.0
7340032,308.0
7360512,320.0
7380992,320.0
7401472,320.0
7421952,316.0
7442432,316.0
7462912,320.0
7483392,320.0
7503872,316.0
7520256,320.0
7540736,314.0
7561216,320.0
7581696,320.0
7602176,310.0
7622656,320.0
7643136,304.0
7663616,320.0
7680000,320.0
7700480,310.0
7720960,320.0
7741440,320.0
7761920,320.0
7782400,320.0
7802880,320.0
7823360,320.0
7843840,312.0
7860224,320.0
7880704,320.0
7901184,320.0
7921664,320.0
7942144,318.0
7962624,312.0
7983104,320.0
8003584,298.0
8024064,320.0
8040448,320.0
8060928,320.0
8081408,320.0
8101888,320.0
8122368,304.0
8142848,318.0
8163328,314.0
8183808,320.0
8200192,312.0
8220672,320.0
8241152,312.0
8261632,320.0
