Step,Value
20480,410.0
40960,318.0
61440,476.0
81920,542.0
102400,360.0
122880,720.0
143360,376.0
163840,558.0
180224,572.0
200704,488.0
221184,376.0
241664,746.0
262144,614.0
282624,692.0
303104,974.0
323584,586.0
344064,866.0
360448,624.0
380928,476.0
401408,440.0
421888,632.0
442368,672.0
462848,654.0
483328,908.0
503808,636.0
520192,732.0
540672,518.0
561152,574.0
581632,494.0
602112,544.0
622592,434.0
643072,736.0
663552,732.0
684032,516.0
700416,598.0
720896,698.0
741376,600.0
761856,722.0
782336,722.0
802816,634.0
823296,404.0
843776,966.0
860160,756.0
880640,754.0
901120,844.0
921600,646.0
942080,598.0
962560,596.0
983040,536.0
1003520,518.0
1024000,840.0
1040384,768.0
1060864,722.0
1081344,584.0
1101824,672.0
1122304,994.0
1142784,676.0
1163264,628.0
1183744,730.0
1200128,738.0
1220608,646.0
1241088,608.0
1261568,568.0
1282048,544.0
1302528,846.0
1323008,946.0
1343488,740.0
1363968,824.0
1380352,598.0
1400832,572.0
1421312,782.0
1441792,556.0
1462272,682.0
1482752,676.0
1503232,794.0
1523712,718.0
1540096,1210.0
1560576,622.0
1581056,1098.0
1601536,1166.0
1622016,682.0
1642496,590.0
1662976,932.0
1683456,564.0
1703936,992.0
1720320,596.0
1740800,804.0
1761280,812.0
1781760,718.0
1802240,968.0
1822720,762.0
1843200,1094.0
1863680,862.0
1880064,884.0
1900544,848.0
1921024,722.0
1941504,1094.0
1961984,954.0
1982464,900.0
2002944,844.0
2023424,1304.0
2043904,1036.0
2060288,888.0
2080768,624.0
2101248,794.0
2121728,842.0
2142208,1166.0
2162688,824.0
2183168,978.0
2203648,808.0
2220032,878.0
2240512,1004.0
2260992,788.0
2281472,762.0
2301952,1146.0
2322432,1098.0
2342912,1026.0
2363392,966.0
2383872,886.0
2400256,998.0
2420736,1066.0
2441216,964.0
2461696,982.0
2482176,1012.0
2502656,1066.0
2523136,1036.0
2543616,948.0
2560000,974.0
2580480,984.0
2600960,1176.0
2621440,1448.0
2641920,1310.0
2662400,1122.0
2682880,1018.0
2703360,1084.0
2723840,1020.0
2740224,1170.0
2760704,1162.0
2781184,904.0
2801664,1092.0
2822144,1340.0
2842624,1238.0
2863104,1170.0
2883584,860.0
2904064,1314.0
2920448,1076.0
2940928,1006.0
2961408,1104.0
