Step,Value
20480,220.0
40960,190.0
61440,180.0
81920,260.0
102400,290.0
122880,250.0
143360,270.0
163840,290.0
180224,310.0
200704,240.0
221184,200.0
241664,280.0
262144,180.0
282624,260.0
303104,180.0
323584,250.0
344064,260.0
360448,270.0
380928,250.0
401408,200.0
421888,400.0
442368,390.0
462848,410.0
483328,400.0
503808,290.0
520192,430.0
540672,350.0
561152,370.0
581632,600.0
602112,530.0
622592,510.0
643072,430.0
663552,770.0
684032,620.0
700416,680.0
720896,590.0
741376,580.0
761856,670.0
782336,670.0
802816,630.0
823296,850.0
843776,730.0
860160,680.0
880640,720.0
901120,540.0
921600,800.0
942080,1000.0
962560,750.0
983040,1120.0
1003520,680.0
1024000,890.0
1040384,920.0
1060864,910.0
1081344,880.0
1101824,980.0
1122304,660.0
1142784,900.0
1163264,1200.0
1183744,1230.0
1200128,1180.0
1220608,1020.0
1241088,1130.0
1261568,950.0
1282048,1120.0
1302528,910.0
1323008,1330.0
1343488,1080.0
1363968,1080.0
1380352,1290.0
1400832,1220.0
1421312,1050.0
1441792,1570.0
1462272,1220.0
1482752,1190.0
1503232,1190.0
1523712,1650.0
1540096,1270.0
1560576,1090.0
1581056,1150.0
1601536,1270.0
1622016,1520.0
1642496,1690.0
1662976,1560.0
1683456,1500.0
1703936,850.0
1720320,1180.0
1740800,1190.0
1761280,1190.0
1781760,1110.0
1802240,1320.0
1822720,1620.0
1843200,1090.0
1863680,1720.0
1880064,1070.0
1900544,1610.0
1921024,1490.0
1941504,980.0
1961984,1950.0
1982464,1250.0
2002944,1610.0
2023424,1310.0
2043904,1640.0
2060288,1050.0
2080768,1490.0
2101248,1710.0
2121728,2200.0
2142208,1640.0
2162688,1620.0
2183168,1490.0
2203648,1520.0
2220032,1710.0
2240512,1770.0
2260992,1920.0
2281472,1790.0
2301952,1840.0
2322432,1980.0
2342912,1960.0
2363392,1910.0
2383872,1780.0
2400256,2030.0
2420736,1750.0
2441216,1100.0
2461696,1680.0
2482176,1840.0
2502656,1610.0
2523136,1420.0
2543616,1820.0
2560000,1550.0
2580480,2010.0
2600960,1990.0
2621440,1900.0
2641920,1630.0
2662400,1400.0
2682880,1830.0
2703360,2490.0
2723840,2040.0
2740224,1620.0
2760704,2100.0
2781184,1830.0
2801664,1720.0
2822144,1700.0
2842624,2180.0
2863104,1560.0
2883584,1970.0
2904064,2100.0
2920448,2290.0
2940928,1800.0
2961408,1700.0
2981888,1610.0
3002368,2170.0
3022848,1810.0
3043328,2040.0
3063808,2450.0
3080192,2030.0
3100672,1770.0
3121152,2140.0
3141632,2250.0
3162112,2220.0
3182592,1440.0
3203072,2140.0
3223552,1810.0
3244032,1970.0
3260416,2280.0
3280896,2140.0
3301376,1930.0
3321856,2040.0
3342336,2010.0
3362816,2490.0
3383296,2000.0
3403776,2270.0
3420160,2360.0
3440640,2340.0
3461120,2210.0
