Step,Value
20480,22.0
40960,14.0
61440,14.0
81920,16.0
102400,14.0
122880,14.0
143360,24.0
163840,20.0
180224,24.0
200704,14.0
221184,18.0
241664,30.0
262144,16.0
282624,30.0
303104,18.0
323584,18.0
344064,28.0
360448,30.0
380928,30.0
401408,30.0
421888,56.0
442368,30.0
462848,36.0
483328,58.0
503808,66.0
520192,78.0
540672,78.0
561152,92.0
581632,102.0
602112,104.0
622592,104.0
643072,116.0
663552,114.0
684032,102.0
700416,130.0
720896,136.0
741376,134.0
761856,126.0
782336,138.0
802816,126.0
823296,170.0
843776,148.0
860160,142.0
880640,154.0
901120,180.0
921600,168.0
942080,186.0
962560,204.0
983040,194.0
1003520,196.0
1024000,226.0
1040384,218.0
1060864,202.0
1081344,226.0
1101824,208.0
1122304,238.0
1142784,230.0
1163264,194.0
1183744,226.0
1200128,208.0
1220608,212.0
1241088,226.0
1261568,222.0
1282048,222.0
1302528,224.0
1323008,224.0
1343488,238.0
1363968,250.0
1380352,242.0
1400832,242.0
1421312,236.0
1441792,236.0
1462272,224.0
1482752,270.0
1503232,268.0
1523712,252.0
1540096,240.0
1560576,244.0
1581056,268.0
1601536,280.0
1622016,252.0
1642496,268.0
1662976,284.0
1683456,308.0
1703936,300.0
1720320,324.0
1740800,342.0
1761280,294.0
1781760,362.0
1802240,352.0
1822720,362.0
1843200,320.0
1863680,340.0
1880064,422.0
1900544,408.0
1921024,460.0
1941504,444.0
1961984,452.0
1982464,492.0
2002944,596.0
2023424,584.0
2043904,760.0
2060288,814.0
2080768,788.0
2101248,810.0
2121728,792.0
2142208,828.0
2162688,868.0
2183168,930.0
2203648,940.0
2220032,898.0
2240512,880.0
2260992,918.0
2281472,910.0
2301952,968.0
2322432,1022.0
2342912,952.0
2363392,982.0
2383872,918.0
2400256,974.0
2420736,1060.0
2441216,1004.0
2461696,1020.0
2482176,1036.0
2502656,1052.0
2523136,1006.0
2543616,974.0
2560000,1066.0
2580480,1086.0
2600960,1094.0
2621440,1120.0
2641920,1122.0
2662400,1040.0
2682880,1120.0
2703360,1096.0
2723840,1064.0
2740224,1082.0
2760704,1120.0
2781184,1188.0
2801664,1184.0
2822144,1124.0
2842624,1154.0
2863104,1092.0
2883584,1136.0
2904064,952.0
2920448,1130.0
2940928,1016.0
2961408,1132.0
2981888,1054.0
3002368,1160.0
3022848,1168.0
3043328,804.0
3063808,888.0
3080192,982.0
3100672,1180.0
3121152,1104.0
3141632,994.0
3162112,1150.0
3182592,1118.0
3203072,1140.0
3223552,1048.0
3244032,1098.0
3260416,1154.0
3280896,1134.0
3301376,1026.0
3321856,1164.0
3342336,1202.0
3362816,1132.0
3383296,1066.0
3403776,1214.0
3420160,1166.0
3440640,1060.0
3461120,1148.0
3481600,1108.0
3502080,1178.0
3522560,1176.0
3543040,1100.0
3563520,1164.0
3584000,1130.0
3600384,1236.0
3620864,1176.0
3641344,1100.0
3661824,1156.0
3682304,1200.0
3702784,1182.0
3723264,1174.0
3743744,1028.0
3760128,1082.0
3780608,1152.0
3801088,1166.0
3821568,1206.0
3842048,1132.0
3862528,1042.0
3883008,1106.0
3903488,1152.0
3923968,1120.0
3940352,1168.0
3960832,1108.0
3981312,1138.0
4001792,1104.0
4022272,1198.0
4042752,1138.0
4063232,1116.0
4083712,1114.0
4100096,1206.0
4120576,1220.0
4141056,1178.0
4161536,1242.0
4182016,1118.0
4202496,1178.0
4222976,1188.0
4243456,1216.0
4263936,1116.0
4280320,1152.0
4300800,1124.0
4321280,1214.0
4341760,1138.0
4362240,1210.0
4382720,1162.0
4403200,1172.0
4423680,1240.0
4440064,1156.0
4460544,1134.0
4481024,1166.0
4501504,1154.0
4521984,1218.0
4542464,1176.0
4562944,1112.0
4583424,1180.0
4603904,1142.0
4620288,1152.0
4640768,1170.0
4661248,1198.0
4681728,1258.0
4702208,1202.0
4722688,1086.0
4743168,1202.0
4763648,1226.0
4780032,1224.0
4800512,1218.0
4820992,1218.0
4841472,1154.0
4861952,1202.0
4882432,1134.0
4902912,1208.0
4923392,1174.0
4943872,1152.0
4960256,1186.0
4980736,1164.0
5001216,1194.0
5021696,1174.0
5042176,1142.0
5062656,1152.0
5083136,1126.0
5103616,1162.0
5120000,1194.0
5140480,1166.0
5160960,1186.0
5181440,1250.0
5201920,1102.0
5222400,1166.0
5242880,1238.0
5263360,1230.0
5283840,1214.0
5300224,1192.0
5320704,1192.0
5341184,1200.0
5361664,1184.0
5382144,1116.0
5402624,986.0
5423104,1240.0
5443584,1182.0
5464064,1148.0
5480448,1192.0
5500928,1212.0
5521408,1176.0
5541888,1232.0
5562368,1202.0
5582848,1250.0
5603328,1190.0
5623808,1284.0
5640192,1206.0
5660672,1160.0
5681152,1132.0
5701632,1222.0
5722112,1162.0
5742592,1108.0
5763072,1146.0
5783552,1160.0
5804032,1230.0
5820416,1150.0
5840896,1202.0
5861376,1244.0
5881856,1214.0
5902336,1230.0
5922816,1250.0
5943296,1236.0
5963776,1226.0
5980160,1216.0
6000640,1256.0
6021120,1160.0
6041600,1144.0
6062080,1158.0
6082560,1210.0
6103040,1250.0
6123520,1232.0
6144000,1266.0
6160384,1176.0
6180864,1098.0
6201344,1230.0
6221824,1234.0
6242304,1210.0
6262784,1244.0
6283264,1208.0
6303744,1194.0
6320128,1248.0
6340608,1258.0
6361088,1174.0
