Step,Value
102400,178.0
200704,198.0
303104,215.0
401408,346.0
503808,562.0
602112,593.0
700416,1718.0
802816,1024.0
901120,2178.0
1003520,1102.0
1101824,2730.0
1200128,1326.0
1302528,1537.0
1400832,2187.0
1503232,2496.0
1601536,3678.0
1703936,2596.0
1802240,1878.0
1900544,1868.0
2002944,2362.0
2101248,1565.0
2203648,4440.0
2301952,2596.0
2400256,2649.0
2502656,4943.0
2600960,4239.0
2703360,4310.0
2801664,3669.0
2904064,5574.0
3002368,3543.0
3100672,2264.0
3203072,4310.0
3301376,5951.0
3403776,4603.0
3502080,5779.0
3600384,2522.0
3702784,5544.0
3801088,4881.0
3903488,4852.0
4001792,4711.0
4100096,5110.0
4202496,6845.0
4300800,6406.0
4403200,4083.0
4501504,5671.0
4603904,7632.0
4702208,8091.0
4800512,7417.0
4902912,7497.0
5001216,9701.0
5103616,9681.0
5201920,3812.0
5300224,9120.0
5402624,9118.0
5500928,6498.0
5603328,5985.0
5701632,6690.0
5804032,8586.0
5902336,7055.0
6000640,9730.0
6103040,6476.0
6201344,13142.0
6303744,9577.0
6402048,9710.0
6500352,21363.0
6602752,9799.0
6701056,12326.0
6803456,13898.0
6901760,8580.0
7000064,12221.0
7102464,7869.0
7200768,7114.0
7303168,15364.0
7401472,13260.0
7503872,7798.0
7602176,11507.0
7700480,11316.0
7802880,14871.0
7901184,16900.0
8003584,15255.0
8101888,21294.0
8200192,9558.0
8302592,15893.0
8400896,33330.0
8503296,20614.0
8601600,14108.0
8704000,15344.0
8802304,15689.0
8900608,11650.0
9003008,22278.0
9101312,17014.0
9203712,9738.0
9302016,31185.0
9400320,13234.0
9502720,16094.0
9601024,23232.0
9703424,37733.0
9801728,27220.0
9900032,19050.0
10002432,23079.0
10100736,16242.0
10203136,20877.0
10301440,9302.0
10403840,31955.0
10502144,24200.0
10600448,16623.0
10702848,50069.0
10801152,14972.0
10903552,11262.0
11001856,28317.0
11100160,19742.0
11202560,19443.0
11300864,23460.0
11403264,18496.0
11501568,24935.0
11603968,26619.0
11702272,22491.0
11800576,17057.0
11902976,21189.0
12001280,18785.0
12103680,10663.0
12201984,24185.0
12300288,27865.0
12402688,16639.0
12500992,26483.0
12603392,17163.0
12701696,34725.0
12800000,19885.0
12902400,61477.0
13000704,41856.0
13103104,27789.0
13201408,17017.0
13303808,32253.0
13402112,53953.0
13500416,40431.0
13602816,40602.0
13701120,25916.0
13803520,12974.0
13901824,19323.0
14000128,25255.0
14102528,39464.0
14200832,32431.0
14303232,28735.0
14401536,35908.0
14503936,42137.0
14602240,20369.0
14700544,27134.0
14802944,48520.0
14901248,32162.0
15003648,54559.0
15101952,41804.0
15200256,50360.0
15302656,80470.0
15400960,22432.0
15503360,23727.0
15601664,44544.0
15704064,76678.0
15802368,29683.0
15900672,80800.0
16003072,30149.0
16101376,32692.0
16203776,64053.0
16302080,93190.0
16400384,53513.0
16502784,56420.0
16601088,142190.0
16703488,49378.0
16801792,89917.0
16900096,43972.0
17002496,25758.0
17100800,93073.0
17203200,74682.0
17301504,152892.0
17403904,109934.0
17502208,54504.0
17600512,110521.0
17702912,89887.0
17801216,152318.0
17903616,87403.0
18001920,99159.0
18100224,224760.0
18202624,189760.0
18300928,133653.0
18403328,99033.0
18501632,108534.0
18604032,119093.0
18702336,115268.0
18800640,92333.0
18903040,211288.0
19001344,63575.0
19103744,50531.0
19202048,92992.0
19300352,211609.0
19402752,184102.0
19501056,75628.0
19603456,109859.0
19701760,112514.0
19800064,53462.0
19902464,68264.0
20000768,37038.0
20103168,48045.0
20201472,45756.0
20303872,81189.0
20402176,36320.0
20500480,87192.0
20602880,88468.0
20701184,57013.0
20803584,164104.0
20901888,100280.0
21000192,171405.0
21102592,123665.0
21200896,224896.0
21303296,185835.0
21401600,81224.0
21504000,198135.0
21602304,218759.0
21700608,205696.0
21803008,81277.0
21901312,140849.0
22003712,53283.0
22102016,64301.0
22200320,167659.0
22302720,252805.0
22401024,206653.0
22503424,147845.0
22601728,248459.0
22700032,97476.0
22802432,152338.0
22900736,206248.0
23003136,124401.0
23101440,104708.0
23203840,168345.0
23302144,369453.0
23400448,109809.0
23502848,113524.0
23601152,60643.0
23703552,147412.0
23801856,175967.0
23900160,200578.0
24002560,122881.0
24100864,120830.0
24203264,111883.0
24301568,79507.0
24403968,111857.0
24502272,282851.0
24600576,87324.0
24702976,204179.0
24801280,168187.0
24903680,306312.0
25001984,324407.0
25100288,224821.0
25202688,316068.0
25300992,208063.0
25403392,200564.0
25501696,385155.0
25600000,215878.0
25702400,287425.0
25800704,198693.0
25903104,113571.0
26001408,222418.0
26103808,218759.0
26202112,249821.0
26300416,290277.0
26402816,186351.0
26501120,327647.0
26603520,95087.0
26701824,286034.0
26800128,261341.0
26902528,271161.0
27000832,304602.0
27103232,317817.0
27201536,253079.0
27303936,206208.0
27402240,341468.0
27500544,139337.0
27602944,354082.0
27701248,224871.0
27803648,143292.0
27901952,266019.0
28000256,238937.0
28102656,176884.0
28200960,263563.0
28303360,337371.0
28401664,322980.0
28504064,138222.0
28602368,331834.0
28700672,246254.0
28803072,380097.0
28901376,282378.0
29003776,281829.0
29102080,297975.0
29200384,251474.0
29302784,305451.0
29401088,335108.0
29503488,380434.0
29601792,394876.0
29700096,372928.0
29802496,329120.0
29900800,245498.0
30003200,305345.0
30101504,399339.0
30203904,284822.0
30302208,355030.0
30400512,204340.0
30502912,406504.0
30601216,338190.0
30703616,175270.0
30801920,273801.0
30900224,403624.0
31002624,301996.0
31100928,415519.0
31203328,328021.0
31301632,285512.0
31404032,330549.0
31502336,387759.0
31600640,403731.0
31703040,377158.0
31801344,352958.0
31903744,339919.0
32002048,311772.0
32100352,339820.0
32202752,290260.0
32301056,413406.0
32403456,279374.0
32501760,202572.0
32600064,340831.0
32702464,415762.0
32800768,419106.0
32903168,280268.0
33001472,273284.0
33103872,333994.0
33202176,237851.0
33300480,417839.0
33402880,363374.0
33501184,358786.0
33603584,342658.0
33701888,404151.0
33800192,329207.0
33902592,299192.0
34000896,170690.0
34103296,267622.0
34201600,290067.0
34304000,408764.0
34402304,138183.0
34500608,369597.0
34603008,222886.0
34701312,414147.0
34803712,331323.0
34902016,383661.0
35000320,415245.0
35102720,205324.0
35201024,346909.0
35303424,421476.0
35401728,367751.0
35500032,425110.0
35602432,348785.0
35700736,424156.0
35803136,419799.0
35901440,335099.0
36003840,358036.0
36102144,420841.0
36200448,328302.0
36302848,343271.0
36401152,380400.0
36503552,429782.0
36601856,417663.0
36700160,279026.0
36802560,420193.0
36900864,421055.0
37003264,309787.0
37101568,347984.0
37203968,275839.0
37302272,423378.0
37400576,428039.0
37502976,423463.0
37601280,420175.0
37703680,421637.0
37801984,409265.0
37900288,424431.0
38002688,395766.0
38100992,398532.0
38203392,361783.0
38301696,340609.0
38400000,341125.0
38502400,347880.0
38600704,428423.0
38703104,434008.0
38801408,430980.0
38903808,430934.0
39002112,403744.0
39100416,371870.0
39202816,350422.0
39301120,368137.0
39403520,433155.0
39501824,355418.0
39600128,426530.0
39702528,421114.0
39800832,427814.0
39903232,423247.0
40001536,430046.0
