Step,Value
20480,334.0
40960,400.0
61440,268.0
81920,332.0
102400,518.0
122880,646.0
143360,524.0
163840,556.0
180224,610.0
200704,376.0
221184,562.0
241664,590.0
262144,526.0
282624,930.0
303104,1078.0
323584,492.0
344064,434.0
360448,770.0
380928,972.0
401408,634.0
421888,536.0
442368,522.0
462848,494.0
483328,656.0
503808,724.0
520192,452.0
540672,666.0
561152,456.0
581632,458.0
602112,680.0
622592,650.0
643072,526.0
663552,404.0
684032,490.0
700416,642.0
720896,844.0
741376,522.0
761856,608.0
782336,544.0
802816,744.0
823296,608.0
843776,632.0
860160,566.0
880640,678.0
901120,624.0
921600,1112.0
942080,842.0
962560,770.0
983040,818.0
1003520,918.0
1024000,938.0
1040384,724.0
1060864,584.0
1081344,1308.0
1101824,930.0
1122304,694.0
1142784,842.0
1163264,724.0
1183744,858.0
1200128,938.0
1220608,674.0
1241088,614.0
1261568,776.0
1282048,704.0
1302528,1102.0
1323008,766.0
1343488,1284.0
1363968,982.0
1380352,916.0
1400832,980.0
1421312,760.0
1441792,566.0
1462272,1196.0
1482752,1022.0
1503232,1124.0
1523712,1412.0
1540096,552.0
1560576,948.0
1581056,788.0
1601536,738.0
1622016,868.0
1642496,808.0
1662976,1040.0
1683456,1470.0
1703936,760.0
1720320,894.0
1740800,968.0
1761280,1068.0
1781760,780.0
1802240,894.0
1822720,1282.0
1843200,974.0
1863680,778.0
1880064,924.0
1900544,996.0
1921024,1282.0
1941504,1400.0
1961984,1146.0
1982464,1042.0
2002944,860.0
2023424,956.0
2043904,1226.0
2060288,810.0
2080768,1240.0
2101248,1202.0
2121728,630.0
2142208,884.0
2162688,918.0
2183168,818.0
2203648,808.0
2220032,832.0
2240512,922.0
2260992,538.0
2281472,768.0
2301952,898.0
2322432,670.0
2342912,854.0
2363392,1180.0
2383872,572.0
2400256,858.0
2420736,1188.0
2441216,866.0
2461696,800.0
2482176,820.0
2502656,1142.0
2523136,1124.0
2543616,1366.0
2560000,1222.0
2580480,756.0
2600960,1252.0
2621440,1120.0
2641920,1068.0
2662400,954.0
2682880,1108.0
2703360,1158.0
2723840,1132.0
2740224,1256.0
2760704,1120.0
2781184,1394.0
2801664,1712.0
2822144,1486.0
2842624,1698.0
2863104,1632.0
2883584,1218.0
2904064,1468.0
2920448,1304.0
2940928,1142.0
2961408,1354.0
2981888,964.0
3002368,1220.0
3022848,924.0
3043328,1060.0
3063808,1276.0
3080192,1476.0
3100672,1244.0
3121152,1058.0
3141632,1212.0
3162112,1236.0
3182592,1164.0
3203072,1126.0
3223552,1222.0
3244032,1392.0
3260416,1258.0
3280896,1664.0
3301376,1484.0
3321856,1174.0
3342336,1350.0
3362816,1172.0
3383296,1288.0
3403776,1348.0
3420160,1128.0
3440640,1318.0
3461120,1072.0
3481600,1310.0
3502080,1232.0
3522560,1210.0
3543040,1586.0
3563520,1198.0
3584000,1190.0
3600384,1180.0
3620864,1616.0
3641344,1502.0
3661824,1174.0
3682304,1322.0
3702784,2148.0
3723264,1270.0
3743744,1264.0
3760128,1072.0
3780608,1494.0
3801088,1340.0
3821568,1464.0
3842048,1368.0
3862528,1674.0
3883008,1488.0
3903488,1226.0
3923968,1072.0
3940352,1242.0
3960832,1386.0
3981312,1288.0
4001792,1434.0
4022272,1370.0
4042752,1490.0
4063232,1512.0
4083712,1682.0
4100096,1570.0
4120576,2012.0
4141056,1206.0
4161536,1868.0
4182016,1690.0
4202496,1456.0
4222976,1624.0
4243456,1500.0
4263936,1606.0
4280320,1538.0
4300800,1418.0
4321280,1678.0
4341760,1374.0
4362240,1618.0
4382720,1714.0
4403200,1440.0
4423680,1610.0
4440064,1848.0
4460544,1624.0
4481024,1906.0
4501504,1646.0
4521984,1504.0
4542464,1680.0
4562944,1806.0
4583424,1462.0
4603904,1606.0
4620288,1354.0
4640768,1614.0
4661248,1776.0
4681728,1394.0
4702208,1570.0
4722688,1708.0
4743168,1390.0
4763648,1884.0
4780032,1434.0
4800512,1712.0
4820992,1446.0
4841472,1684.0
4861952,1886.0
4882432,1848.0
4902912,1494.0
4923392,1716.0
4943872,1256.0
4960256,1388.0
4980736,1414.0
5001216,1608.0
5021696,1692.0
5042176,1616.0
5062656,1636.0
5083136,1392.0
5103616,1500.0
5120000,1944.0
5140480,1528.0
5160960,1470.0
5181440,1480.0
5201920,1634.0
5222400,1658.0
5242880,1492.0
5263360,1830.0
5283840,1434.0
5300224,1658.0
5320704,1568.0
5341184,1714.0
5361664,1618.0
5382144,1520.0
5402624,1750.0
5423104,1688.0
5443584,1610.0
5464064,1300.0
5480448,1564.0
5500928,1606.0
5521408,1264.0
5541888,1690.0
5562368,1620.0
5582848,1778.0
5603328,1514.0
5623808,1610.0
5640192,1264.0
5660672,1612.0
5681152,1574.0
5701632,1662.0
5722112,1780.0
5742592,1650.0
5763072,1678.0
5783552,1542.0
5804032,1650.0
5820416,1588.0
5840896,1844.0
