Step,Value
20480,252.0
40960,312.0
60416,320.0
80896,278.0
100352,282.0
120832,300.0
140288,276.0
160768,252.0
180224,328.0
200704,288.0
220160,290.0
240640,298.0
260096,246.0
280576,288.0
300032,240.0
320512,234.0
340992,292.0
360448,276.0
380928,226.0
400384,290.0
420864,274.0
440320,238.0
460800,184.0
480256,216.0
500736,204.0
520192,218.0
540672,210.0
560128,292.0
580608,286.0
600064,314.0
620544,276.0
640000,324.0
660480,276.0
680960,310.0
700416,274.0
720896,286.0
740352,228.0
760832,276.0
780288,288.0
800768,246.0
820224,326.0
840704,274.0
860160,234.0
880640,328.0
900096,282.0
920576,402.0
940032,382.0
960512,260.0
980992,270.0
1000448,268.0
1020928,468.0
1040384,322.0
1060864,290.0
1080320,314.0
1100800,350.0
1120256,288.0
1140736,304.0
1160192,448.0
1180672,332.0
1200128,348.0
1220608,458.0
1240064,312.0
1260544,292.0
1280000,336.0
1300480,290.0
1320960,290.0
1340416,300.0
1360896,624.0
1380352,334.0
1400832,314.0
1420288,340.0
1440768,310.0
1460224,318.0
1480704,332.0
1500160,342.0
1520640,320.0
1540096,330.0
1560576,348.0
1580032,324.0
1600512,586.0
1620992,348.0
1640448,364.0
1660928,462.0
1680384,338.0
1700864,650.0
1720320,320.0
1740800,348.0
1760256,344.0
1780736,436.0
1800192,360.0
1820672,340.0
1840128,352.0
1860608,360.0
1880064,350.0
1900544,470.0
1920000,498.0
1940480,476.0
1960960,362.0
1980416,374.0
2000896,534.0
2020352,432.0
2040832,414.0
2060288,556.0
2080768,328.0
2100224,342.0
2120704,454.0
2140160,442.0
2160640,506.0
2180096,406.0
2200576,546.0
2220032,568.0
2240512,418.0
2260992,654.0
2280448,500.0
2300928,382.0
2320384,410.0
2340864,452.0
2360320,540.0
2380800,452.0
2400256,414.0
2420736,418.0
2440192,844.0
2460672,466.0
2480128,462.0
2500608,494.0
2520064,750.0
2540544,902.0
2560000,944.0
2580480,520.0
2600960,500.0
2620416,908.0
2640896,406.0
2660352,408.0
2680832,482.0
2700288,630.0
2720768,862.0
2740224,528.0
2760704,860.0
2780160,886.0
2800640,488.0
2820096,720.0
2840576,864.0
2860032,520.0
2880512,628.0
2900992,300.0
2920448,626.0
2940928,506.0
2960384,444.0
2980864,592.0
3000320,592.0
3020800,308.0
3040256,548.0
3060736,510.0
3080192,616.0
3100672,614.0
3120128,576.0
3140608,654.0
3160064,710.0
3180544,492.0
3200000,648.0
3220480,480.0
3240960,618.0
3260416,674.0
3280896,634.0
3300352,640.0
3320832,794.0
3340288,608.0
3360768,576.0
3380224,580.0
3400704,468.0
3420160,712.0
3440640,986.0
3460096,488.0
3480576,634.0
3500032,516.0
3520512,698.0
3540992,952.0
3560448,580.0
3580928,590.0
3600384,696.0
3620864,492.0
3640320,544.0
3660800,518.0
3680256,882.0
3700736,574.0
3720192,590.0
3740672,734.0
3760128,1340.0
3780608,560.0
3800064,1038.0
3820544,550.0
3840000,638.0
3860480,746.0
3880960,600.0
3900416,884.0
3920896,716.0
3940352,848.0
3960832,684.0
3980288,792.0
4000768,516.0
4020224,744.0
4040704,746.0
4060160,774.0
4080640,956.0
4100096,724.0
4120576,1026.0
4140032,642.0
4160512,640.0
4180992,960.0
4200448,1070.0
4220928,652.0
4240384,744.0
4260864,676.0
4280320,770.0
4300800,592.0
4320256,916.0
4340736,674.0
4360192,672.0
4380672,674.0
4400128,898.0
4420608,646.0
4440064,606.0
4460544,626.0
4480000,836.0
4500480,636.0
4520960,702.0
4540416,958.0
4560896,658.0
4580352,762.0
4600832,752.0
4620288,612.0
4640768,764.0
4660224,660.0
4680704,660.0
4700160,844.0
4720640,1040.0
4740096,744.0
4760576,674.0
4780032,816.0
4800512,844.0
4820992,752.0
4840448,676.0
4860928,724.0
4880384,634.0
4900864,792.0
4920320,966.0
4940800,786.0
4960256,664.0
4980736,880.0
5000192,770.0
