Step,Value
20480,382.20001220703125
40960,289.79998779296875
60416,327.6000061035156
80896,336.0
100352,340.20001220703125
120832,319.20001220703125
140288,340.20001220703125
160768,365.3999938964844
180224,344.3999938964844
200704,382.20001220703125
220160,340.20001220703125
240640,373.79998779296875
260096,344.3999938964844
280576,352.79998779296875
300032,394.79998779296875
320512,348.6000061035156
340992,487.20001220703125
360448,411.6000061035156
380928,378.0
400384,344.3999938964844
420864,474.6000061035156
440320,361.20001220703125
460800,470.3999938964844
480256,487.20001220703125
500736,567.0
520192,583.7999877929688
540672,529.2000122070312
560128,667.7999877929688
580608,718.2000122070312
600064,590.0
620544,663.5999755859375
640000,600.5999755859375
660480,667.7999877929688
680960,764.4000244140625
700416,772.7999877929688
720896,705.5999755859375
740352,655.2000122070312
760832,663.5999755859375
780288,642.5999755859375
800768,684.5999755859375
820224,676.2000122070312
840704,940.7999877929688
860160,755.7999877929688
880640,686.5999755859375
900096,739.0
920576,739.0
940032,795.2000122070312
960512,932.4000244140625
980992,766.4000244140625
1000448,717.7999877929688
1020928,839.5999755859375
1040384,837.5999755859375
1060864,1121.0
1080320,877.2000122070312
1100800,757.7999877929688
1120256,1066.4000244140625
1140736,1716.800048828125
1160192,1099.800048828125
1180672,850.0
1200128,872.5999755859375
1220608,1081.800048828125
1240064,795.2000122070312
1260544,862.2000122070312
1280000,891.5999755859375
1300480,1398.0
1320960,1060.0
1340416,929.5999755859375
1360896,845.5999755859375
1380352,1078.5999755859375
1400832,1126.4000244140625
1420288,923.4000244140625
1440768,1025.800048828125
1460224,1099.800048828125
1480704,1091.199951171875
1500160,1271.5999755859375
1520640,1487.800048828125
1540096,1508.5999755859375
1560576,877.4000244140625
1580032,1061.5999755859375
1600512,1649.4000244140625
1620992,1797.4000244140625
1640448,1802.4000244140625
1660928,1338.4000244140625
1680384,1296.4000244140625
1700864,1367.199951171875
1720320,1092.0
1740800,1778.4000244140625
1760256,1607.199951171875
1780736,1128.5999755859375
1800192,1132.199951171875
1820672,1376.4000244140625
1840128,1523.0
1860608,1017.7999877929688
1880064,1590.0
1900544,981.5999755859375
1920000,1296.199951171875
1940480,1662.0
1960960,1382.800048828125
1980416,982.2000122070312
2000896,1907.800048828125
2020352,2174.39990234375
2040832,1005.5999755859375
2060288,1674.4000244140625
2080768,1861.5999755859375
2100224,1626.800048828125
2120704,1576.199951171875
2140160,954.7999877929688
2160640,1906.0
2180096,1349.199951171875
2200576,1781.800048828125
2220032,1296.800048828125
2240512,2058.60009765625
2260992,2042.0
2280448,1733.199951171875
2300928,1483.199951171875
2320384,2003.5999755859375
2340864,1617.5999755859375
2360320,2077.800048828125
2380800,1244.199951171875
2400256,2631.0
2420736,922.5999755859375
2440192,1367.800048828125
2460672,2298.199951171875
2480128,1761.0
2500608,1940.0
2520064,1855.199951171875
2540544,2342.60009765625
2560000,1862.800048828125
2580480,1109.0
2600960,1368.4000244140625
2620416,1551.0
2640896,1603.0
2660352,2415.0
2680832,2407.39990234375
2700288,2591.39990234375
2720768,2696.60009765625
2740224,1817.5999755859375
2760704,2301.199951171875
2780160,2312.60009765625
2800640,2134.0
2820096,2300.199951171875
2840576,1731.0
2860032,2803.0
2880512,2121.0
2900992,2282.800048828125
2920448,2299.0
2940928,1844.0
2960384,2386.199951171875
2980864,1760.199951171875
3000320,1904.800048828125
3020800,1821.199951171875
3040256,1538.5999755859375
3060736,1729.4000244140625
3080192,2048.39990234375
3100672,2122.39990234375
3120128,1338.199951171875
3140608,2056.39990234375
3160064,2279.199951171875
3180544,1890.4000244140625
3200000,1766.800048828125
3220480,2075.199951171875
3240960,2639.60009765625
3260416,2223.800048828125
3280896,2670.60009765625
3300352,2145.39990234375
3320832,2507.60009765625
3340288,2466.60009765625
3360768,1878.5999755859375
3380224,2794.199951171875
3400704,2226.60009765625
3420160,3250.199951171875
3440640,2794.39990234375
3460096,2796.0
3480576,2363.800048828125
3500032,2766.0
3520512,3186.199951171875
3540992,3597.39990234375
3560448,3208.39990234375
3580928,2850.0
3600384,3500.39990234375
3620864,3254.199951171875
3640320,2938.0
3660800,2737.0
3680256,2450.800048828125
3700736,3906.800048828125
3720192,3516.199951171875
3740672,3356.60009765625
3760128,3264.800048828125
3780608,3101.199951171875
3800064,3187.199951171875
3820544,3258.39990234375
3840000,3393.0
3860480,4345.39990234375
3880960,3312.800048828125
3900416,3197.39990234375
3920896,2934.800048828125
3940352,3045.60009765625
3960832,3152.60009765625
3980288,3209.199951171875
4000768,3078.199951171875
4020224,2739.800048828125
4040704,2585.39990234375
4060160,3935.60009765625
4080640,3112.199951171875
4100096,2642.0
4120576,3744.39990234375
4140032,3557.0
4160512,3345.0
4180992,4255.7998046875
4200448,3423.800048828125
4220928,3377.199951171875
4240384,2941.199951171875
4260864,5494.0
4280320,3426.0
4300800,3544.0
4320256,4839.7998046875
4340736,4496.60009765625
4360192,3133.0
4380672,2490.60009765625
4400128,2887.800048828125
4420608,3564.39990234375
4440064,3346.60009765625
4460544,3405.39990234375
4480000,4178.60009765625
4500480,2908.800048828125
4520960,3623.199951171875
4540416,3894.800048828125
4560896,3369.39990234375
4580352,3478.60009765625
4600832,2652.39990234375
4620288,3449.800048828125
4640768,3335.0
4660224,4019.39990234375
4680704,2970.39990234375
4700160,3895.60009765625
4720640,3335.800048828125
4740096,3297.39990234375
4760576,3534.60009765625
4780032,3310.60009765625
4800512,4254.0
4820992,3272.199951171875
4840448,3916.199951171875
4860928,3813.39990234375
4880384,3359.800048828125
4900864,3601.800048828125
4920320,3456.39990234375
4940800,3155.199951171875
4960256,3592.39990234375
4980736,4372.60009765625
5000192,4367.7998046875
