Step,Value
20480,290.0
40960,200.0
60416,160.0
80896,140.0
100352,220.0
120832,210.0
140288,310.0
160768,160.0
180224,260.0
200704,320.0
220160,190.0
240640,360.0
260096,280.0
280576,460.0
300032,210.0
320512,260.0
340992,210.0
360448,190.0
380928,400.0
400384,310.0
420864,370.0
440320,320.0
460800,290.0
480256,280.0
500736,210.0
520192,350.0
540672,370.0
560128,420.0
580608,380.0
600064,380.0
620544,270.0
640000,280.0
660480,300.0
680960,290.0
700416,280.0
720896,320.0
740352,480.0
760832,500.0
780288,430.0
800768,420.0
820224,510.0
840704,500.0
860160,460.0
880640,440.0
900096,370.0
920576,440.0
940032,450.0
960512,390.0
980992,400.0
1000448,480.0
1020928,370.0
1040384,430.0
1060864,400.0
1080320,410.0
1100800,390.0
1120256,390.0
1140736,600.0
1160192,710.0
1180672,550.0
1200128,760.0
1220608,630.0
1240064,570.0
1260544,630.0
1280000,520.0
1300480,670.0
1320960,540.0
1340416,550.0
1360896,590.0
1380352,640.0
1400832,930.0
1420288,600.0
1440768,480.0
1460224,680.0
1480704,860.0
1500160,770.0
1520640,800.0
1540096,760.0
1560576,730.0
1580032,780.0
1600512,880.0
1620992,910.0
1640448,1000.0
1660928,800.0
1680384,980.0
1700864,1040.0
1720320,1300.0
1740800,1070.0
1760256,1140.0
1780736,1110.0
1800192,1280.0
1820672,990.0
1840128,820.0
1860608,1260.0
1880064,870.0
1900544,950.0
1920000,1050.0
1940480,690.0
1960960,1010.0
1980416,1270.0
2000896,1090.0
2020352,1060.0
2040832,1230.0
2060288,1230.0
2080768,1240.0
2100224,1130.0
2120704,1260.0
2140160,1430.0
2160640,1450.0
2180096,1150.0
2200576,1210.0
2220032,1080.0
2240512,1380.0
2260992,1210.0
2280448,1120.0
2300928,1130.0
2320384,1350.0
2340864,1360.0
2360320,1080.0
2380800,1610.0
2400256,1610.0
2420736,1800.0
2440192,1350.0
2460672,1480.0
2480128,1390.0
2500608,1380.0
2520064,1150.0
2540544,1560.0
2560000,1650.0
2580480,1130.0
2600960,1510.0
2620416,1480.0
2640896,1640.0
2660352,1110.0
2680832,1860.0
2700288,1550.0
2720768,1720.0
2740224,1700.0
2760704,1410.0
2780160,2030.0
2800640,1320.0
2820096,1630.0
2840576,1770.0
2860032,2040.0
2880512,2040.0
2900992,1350.0
2920448,1280.0
2940928,1740.0
2960384,1630.0
2980864,1910.0
3000320,2170.0
3020800,1870.0
3040256,1410.0
3060736,1370.0
3080192,2090.0
3100672,1880.0
3120128,2020.0
3140608,1760.0
3160064,1930.0
3180544,1860.0
3200000,1940.0
3220480,1940.0
3240960,1830.0
3260416,1300.0
3280896,1520.0
3300352,2280.0
3320832,1640.0
3340288,1820.0
3360768,1600.0
3380224,1980.0
3400704,1380.0
3420160,2230.0
3440640,1950.0
3460096,1590.0
3480576,1460.0
3500032,2060.0
3520512,2290.0
3540992,2350.0
3560448,2400.0
3580928,2090.0
3600384,1730.0
3620864,2230.0
3640320,1730.0
3660800,1920.0
3680256,1990.0
3700736,2370.0
3720192,1930.0
3740672,2320.0
3760128,2310.0
3780608,2040.0
3800064,2200.0
3820544,2200.0
3840000,1730.0
3860480,2130.0
3880960,2140.0
3900416,2320.0
3920896,2150.0
3940352,2230.0
3960832,2200.0
3980288,2200.0
4000768,2160.0
4020224,2320.0
4040704,2400.0
4060160,2560.0
4080640,2010.0
4100096,2650.0
4120576,2150.0
4140032,1540.0
4160512,2120.0
4180992,2590.0
4200448,2560.0
4220928,2350.0
4240384,2600.0
4260864,2280.0
4280320,1980.0
4300800,1990.0
4320256,2130.0
4340736,2170.0
4360192,1680.0
4380672,1960.0
4400128,2240.0
4420608,2320.0
4440064,1850.0
4460544,2130.0
4480000,2370.0
4500480,2400.0
4520960,1990.0
4540416,2510.0
4560896,2760.0
4580352,2350.0
4600832,2040.0
4620288,2660.0
4640768,2360.0
4660224,2190.0
4680704,2620.0
4700160,2340.0
4720640,2520.0
4740096,1700.0
4760576,2540.0
4780032,2100.0
4800512,2000.0
4820992,2250.0
4840448,1670.0
4860928,2290.0
4880384,2380.0
4900864,2220.0
4920320,2300.0
4940800,2210.0
4960256,2030.0
4980736,2510.0
5000192,2620.0
