Step,Value
20480,1054.0
40960,1292.0
60416,1362.0
80896,960.0
100352,1124.0
120832,1496.0
140288,1382.0
160768,1302.0
180224,1326.0
200704,1644.0
220160,1308.0
240640,1264.0
260096,1296.0
280576,1230.0
300032,1334.0
320512,1814.0
340992,1588.0
360448,1452.0
380928,1424.0
400384,1430.0
420864,1602.0
440320,1214.0
460800,1512.0
480256,1238.0
500736,1900.0
520192,998.0
540672,1540.0
560128,1610.0
580608,1622.0
600064,1884.0
620544,1328.0
640000,1644.0
660480,1760.0
680960,1280.0
700416,1476.0
720896,1292.0
740352,1094.0
760832,850.0
780288,1472.0
800768,910.0
820224,1118.0
840704,1828.0
860160,1664.0
880640,1586.0
900096,1418.0
920576,1352.0
940032,1300.0
960512,1828.0
980992,1414.0
1000448,1508.0
1020928,1384.0
1040384,1468.0
1060864,1158.0
1080320,1394.0
1100800,1652.0
1120256,1564.0
1140736,1440.0
1160192,1464.0
1180672,1912.0
1200128,1030.0
1220608,1220.0
1240064,1812.0
1260544,1734.0
1280000,1694.0
1300480,1728.0
1320960,1460.0
1340416,1468.0
1360896,1302.0
1380352,1434.0
1400832,1350.0
1420288,2122.0
1440768,1920.0
1460224,2166.0
1480704,1424.0
1500160,1640.0
1520640,1290.0
1540096,1736.0
1560576,1536.0
1580032,1778.0
1600512,2344.0
1620992,1766.0
1640448,1784.0
1660928,1082.0
1680384,1426.0
1700864,2066.0
1720320,1388.0
1740800,1576.0
1760256,1300.0
1780736,1904.0
1800192,1398.0
1820672,1590.0
1840128,1624.0
1860608,1580.0
1880064,1572.0
1900544,2340.0
1920000,2306.0
1940480,1878.0
1960960,1706.0
1980416,1718.0
2000896,1518.0
2020352,1990.0
2040832,1594.0
2060288,1728.0
2080768,1658.0
2100224,1768.0
2120704,1926.0
2140160,1660.0
2160640,2012.0
2180096,1692.0
2200576,1726.0
2220032,2206.0
2240512,1372.0
2260992,1496.0
2280448,1522.0
2300928,1562.0
2320384,1594.0
2340864,1378.0
2360320,1298.0
2380800,1498.0
2400256,1424.0
2420736,1878.0
2440192,1968.0
2460672,1894.0
2480128,1210.0
2500608,2094.0
2520064,1886.0
2540544,1438.0
2560000,1872.0
2580480,1570.0
2600960,1564.0
2620416,1382.0
2640896,1404.0
2660352,1582.0
2680832,1490.0
2700288,1810.0
2720768,1868.0
2740224,1550.0
2760704,1866.0
2780160,1638.0
2800640,1504.0
2820096,1334.0
2840576,1864.0
2860032,1998.0
2880512,1364.0
2900992,2120.0
2920448,1880.0
2940928,1882.0
2960384,2046.0
2980864,1624.0
3000320,1474.0
3020800,1480.0
3040256,1682.0
3060736,1604.0
3080192,1542.0
3100672,1570.0
3120128,1452.0
3140608,1662.0
3160064,1982.0
3180544,1318.0
3200000,1992.0
3220480,2222.0
3240960,2052.0
3260416,1868.0
3280896,1810.0
3300352,1678.0
3320832,2102.0
3340288,1394.0
3360768,2024.0
3380224,2494.0
3400704,1710.0
3420160,2586.0
3440640,1976.0
3460096,2118.0
3480576,1826.0
3500032,2008.0
3520512,1746.0
3540992,2004.0
3560448,1682.0
3580928,1230.0
3600384,1844.0
3620864,2334.0
3640320,1758.0
3660800,1738.0
3680256,2040.0
3700736,1722.0
3720192,1560.0
3740672,1368.0
3760128,1780.0
3780608,1982.0
3800064,1532.0
3820544,1690.0
3840000,2070.0
3860480,1868.0
3880960,1604.0
3900416,1286.0
3920896,1814.0
3940352,1926.0
3960832,1748.0
3980288,1398.0
4000768,1860.0
4020224,1702.0
4040704,1734.0
4060160,1896.0
4080640,1948.0
4100096,1476.0
4120576,1370.0
4140032,1448.0
4160512,1624.0
4180992,1966.0
4200448,2382.0
4220928,1950.0
4240384,1808.0
4260864,1594.0
4280320,1686.0
4300800,1608.0
4320256,2010.0
4340736,1874.0
4360192,2106.0
4380672,1754.0
4400128,1706.0
4420608,1528.0
4440064,1406.0
4460544,1568.0
4480000,2104.0
4500480,1334.0
4520960,1774.0
4540416,1882.0
4560896,2370.0
4580352,1972.0
4600832,1334.0
4620288,1630.0
4640768,1532.0
4660224,2066.0
4680704,1570.0
4700160,1590.0
4720640,1500.0
4740096,1262.0
4760576,2362.0
4780032,1920.0
4800512,2182.0
4820992,1850.0
4840448,1666.0
4860928,1984.0
4880384,1536.0
4900864,1850.0
4920320,2094.0
4940800,1896.0
4960256,2006.0
4980736,1892.0
5000192,1840.0
