Step,Value
20480,12920.0
40960,24700.0
60416,20320.0
80896,21960.0
100352,18140.0
120832,28000.0
140288,29160.0
160768,27100.0
180224,19740.0
200704,22260.0
220160,27120.0
240640,27380.0
260096,26000.0
280576,31660.0
300032,23520.0
320512,28780.0
340992,30480.0
360448,26800.0
380928,29760.0
400384,33200.0
420864,27520.0
440320,20500.0
460800,32280.0
480256,26880.0
500736,34920.0
520192,25540.0
540672,34740.0
560128,29640.0
580608,28060.0
600064,23880.0
620544,28000.0
640000,31300.0
660480,25040.0
680960,30880.0
700416,23940.0
720896,26120.0
740352,42700.0
760832,25900.0
780288,24360.0
800768,36460.0
820224,35480.0
840704,28240.0
860160,28440.0
880640,35120.0
900096,29980.0
920576,35040.0
940032,30540.0
960512,33620.0
980992,34160.0
1000448,35400.0
1020928,27380.0
1040384,30600.0
1060864,27260.0
1080320,33260.0
1100800,27160.0
1120256,37100.0
1140736,34540.0
1160192,32920.0
1180672,37640.0
1200128,40820.0
1220608,56220.0
1240064,38420.0
1260544,40340.0
1280000,40200.0
1300480,49060.0
1320960,46320.0
1340416,45320.0
1360896,47640.0
1380352,36320.0
1400832,46560.0
1420288,49160.0
1440768,49700.0
1460224,45760.0
1480704,50120.0
1500160,60220.0
1520640,65920.0
1540096,52540.0
1560576,44560.0
1580032,63380.0
1600512,60360.0
1620992,56420.0
1640448,66580.0
1660928,71740.0
1680384,74540.0
1700864,64940.0
1720320,74420.0
1740800,81560.0
1760256,57880.0
1780736,108000.0
1800192,70440.0
1820672,89440.0
1840128,68640.0
1860608,80940.0
1880064,92220.0
1900544,92400.0
1920000,74780.0
1940480,119600.0
1960960,151360.0
1980416,107800.0
2000896,218900.0
2020352,142900.0
2040832,116780.0
2060288,149000.0
2080768,217280.0
2100224,410220.0
2120704,210800.0
2140160,438600.0
2160640,1456060.0
2180096,2544420.0
2200576,2088660.0
2220032,3189320.0
2240512,2573540.0
2260992,3183120.0
2280448,1949900.0
2300928,3186200.0
2320384,2585000.0
2340864,1935660.0
2360320,3296360.0
2380800,3250600.0
2400256,3301720.0
2420736,2652460.0
2440192,3321800.0
2460672,2663920.0
2480128,1995520.0
2500608,2680680.0
2520064,1364700.0
2540544,1354180.0
2560000,2750120.0
2580480,2054660.0
2600960,2001940.0
2620416,2015960.0
2640896,1369260.0
2660352,2058040.0
2680832,1374880.0
2700288,684660.0
2720768,2695060.0
2740224,2043520.0
2760704,1338720.0
2780160,2655680.0
2800640,1369340.0
2820096,1366540.0
2840576,714660.0
2860032,2059660.0
2880512,2045360.0
2900992,2033700.0
2920448,2636300.0
2940928,1997520.0
2960384,3242360.0
2980864,2619320.0
3000320,2639320.0
3020800,2654420.0
3040256,2017000.0
3060736,3336520.0
3080192,2675140.0
3100672,1983620.0
3120128,3302580.0
3140608,689880.0
3160064,1988880.0
3180544,3401660.0
3200000,3343740.0
3220480,2693320.0
3240960,2041180.0
3260416,3404180.0
3280896,2690720.0
3300352,3380420.0
3320832,3430800.0
3340288,3366480.0
3360768,2063720.0
3380224,2046460.0
3400704,700860.0
3420160,2080500.0
3440640,2778060.0
3460096,721900.0
3480576,1406960.0
3500032,1385360.0
3520512,1410720.0
3540992,1374980.0
3560448,26060.0
3580928,1383280.0
3600384,1374280.0
3620864,699360.0
3640320,2061740.0
3660800,1381980.0
3680256,690420.0
3700736,711560.0
3720192,2745920.0
3740672,2743760.0
3760128,2727320.0
3780608,2071920.0
3800064,2743220.0
3820544,1354920.0
3840000,2085120.0
3860480,2706320.0
3880960,2765300.0
3900416,2061880.0
3920896,3434080.0
3940352,2736600.0
3960832,2701260.0
3980288,2759880.0
4000768,2747380.0
4020224,2693780.0
4040704,2751340.0
4060160,2695960.0
4080640,3358340.0
4100096,2012040.0
4120576,2691340.0
4140032,2712060.0
4160512,2699920.0
4180992,3383220.0
4200448,2706260.0
4220928,2719000.0
4240384,2038300.0
4260864,1370360.0
4280320,2714040.0
4300800,3369420.0
4320256,2686200.0
4340736,2693440.0
4360192,2695660.0
4380672,1362540.0
4400128,2706760.0
4420608,2040860.0
4440064,2045260.0
4460544,2019840.0
4480000,2720940.0
4500480,2718540.0
4520960,3375580.0
4540416,3347120.0
4560896,3356960.0
4580352,3370940.0
4600832,1356440.0
4620288,2701540.0
4640768,2027520.0
4660224,3388100.0
4680704,2710600.0
4700160,3371320.0
4720640,2064840.0
4740096,3372680.0
4760576,2706060.0
4780032,3379120.0
4800512,2048140.0
4820992,3390960.0
4840448,3393200.0
4860928,2037460.0
4880384,2693580.0
4900864,2023820.0
4920320,2703160.0
4940800,2716460.0
4960256,2044620.0
4980736,2701680.0
5000192,2047780.0
