Step,Value
20480,18.0
40960,22.0
60416,10.0
80896,16.0
100352,16.0
120832,16.0
140288,12.0
160768,10.0
180224,12.0
200704,14.0
220160,20.0
240640,12.0
260096,26.0
280576,20.0
300032,28.0
320512,18.0
340992,16.0
360448,22.0
380928,22.0
400384,12.0
420864,18.0
440320,20.0
460800,22.0
480256,30.0
500736,24.0
520192,34.0
540672,28.0
560128,30.0
580608,30.0
600064,18.0
620544,24.0
640000,22.0
660480,36.0
680960,38.0
700416,38.0
720896,34.0
740352,32.0
760832,28.0
780288,32.0
800768,40.0
820224,24.0
840704,38.0
860160,38.0
880640,42.0
900096,30.0
920576,38.0
940032,46.0
960512,46.0
980992,48.0
1000448,82.0
1020928,46.0
1040384,58.0
1060864,128.0
1080320,104.0
1100800,76.0
1120256,104.0
1140736,112.0
1160192,64.0
1180672,70.0
1200128,42.0
1220608,80.0
1240064,90.0
1260544,68.0
1280000,88.0
1300480,94.0
1320960,130.0
1340416,124.0
1360896,74.0
1380352,86.0
1400832,64.0
1420288,140.0
1440768,72.0
1460224,88.0
1480704,86.0
1500160,94.0
1520640,92.0
1540096,82.0
1560576,90.0
1580032,84.0
1600512,124.0
1620992,104.0
1640448,88.0
1660928,98.0
1680384,134.0
1700864,134.0
1720320,140.0
1740800,156.0
1760256,102.0
1780736,136.0
1800192,94.0
1820672,146.0
1840128,144.0
1860608,142.0
1880064,196.0
1900544,166.0
1920000,142.0
1940480,120.0
1960960,90.0
1980416,142.0
2000896,138.0
2020352,168.0
2040832,146.0
2060288,146.0
2080768,152.0
2100224,184.0
2120704,166.0
2140160,162.0
2160640,164.0
2180096,188.0
2200576,176.0
2220032,202.0
2240512,174.0
2260992,204.0
2280448,210.0
2300928,192.0
2320384,204.0
2340864,220.0
2360320,202.0
2380800,222.0
2400256,218.0
2420736,210.0
2440192,236.0
2460672,220.0
2480128,220.0
2500608,250.0
2520064,222.0
2540544,186.0
2560000,230.0
2580480,220.0
2600960,210.0
2620416,234.0
2640896,242.0
2660352,220.0
2680832,210.0
2700288,222.0
2720768,238.0
2740224,238.0
2760704,246.0
2780160,216.0
2800640,224.0
2820096,254.0
2840576,212.0
2860032,254.0
2880512,256.0
2900992,234.0
2920448,218.0
2940928,232.0
2960384,240.0
2980864,248.0
3000320,218.0
3020800,220.0
3040256,228.0
3060736,248.0
3080192,226.0
3100672,244.0
3120128,240.0
3140608,240.0
3160064,260.0
3180544,256.0
3200000,274.0
3220480,264.0
3240960,258.0
3260416,238.0
3280896,246.0
3300352,264.0
3320832,256.0
3340288,260.0
3360768,236.0
3380224,256.0
3400704,236.0
3420160,264.0
3440640,276.0
3460096,234.0
3480576,256.0
3500032,256.0
3520512,276.0
3540992,268.0
3560448,254.0
3580928,282.0
3600384,306.0
3620864,306.0
3640320,288.0
3660800,292.0
3680256,274.0
3700736,292.0
3720192,310.0
3740672,290.0
3760128,274.0
3780608,332.0
3800064,332.0
3820544,336.0
3840000,336.0
3860480,308.0
3880960,376.0
3900416,370.0
3920896,328.0
3940352,358.0
3960832,362.0
3980288,418.0
4000768,354.0
4020224,354.0
4040704,376.0
4060160,380.0
4080640,430.0
4100096,394.0
4120576,398.0
4140032,358.0
4160512,424.0
4180992,430.0
4200448,370.0
4220928,472.0
4240384,462.0
4260864,514.0
4280320,516.0
4300800,534.0
4320256,522.0
4340736,534.0
4360192,600.0
4380672,568.0
4400128,560.0
4420608,564.0
4440064,590.0
4460544,628.0
4480000,712.0
4500480,726.0
4520960,714.0
4540416,756.0
4560896,768.0
4580352,774.0
4600832,760.0
4620288,766.0
4640768,776.0
4660224,790.0
4680704,834.0
4700160,826.0
4720640,818.0
4740096,790.0
4760576,828.0
4780032,816.0
4800512,826.0
4820992,804.0
4840448,796.0
4860928,834.0
4880384,768.0
4900864,806.0
4920320,812.0
4940800,798.0
4960256,816.0
4980736,826.0
5000192,832.0
