Step,Value
20480,1400.0
40960,2800.0
60416,6800.0
80896,3200.0
100352,5000.0
120832,2400.0
140288,1800.0
160768,4400.0
180224,2600.0
200704,2800.0
220160,4800.0
240640,5400.0
260096,5400.0
280576,2600.0
300032,3600.0
320512,6800.0
340992,3200.0
360448,3800.0
380928,1800.0
400384,6000.0
420864,3000.0
440320,2800.0
460800,2600.0
480256,5600.0
500736,2200.0
520192,5000.0
540672,4400.0
560128,5000.0
580608,2600.0
600064,5600.0
620544,4800.0
640000,3200.0
660480,4400.0
680960,4000.0
700416,4800.0
720896,4600.0
740352,4000.0
760832,3200.0
780288,6800.0
800768,2800.0
820224,4600.0
840704,2800.0
860160,5400.0
880640,5600.0
900096,6200.0
920576,4000.0
940032,3800.0
960512,3200.0
980992,3400.0
1000448,3600.0
1020928,3400.0
1040384,4000.0
1060864,4800.0
1080320,7400.0
1100800,3200.0
1120256,4200.0
1140736,7800.0
1160192,4200.0
1180672,4600.0
1200128,4400.0
1220608,6800.0
1240064,3200.0
1260544,5000.0
1280000,7600.0
1300480,6200.0
1320960,7600.0
1340416,8800.0
1360896,8600.0
1380352,7600.0
1400832,8800.0
1420288,9400.0
1440768,11400.0
1460224,9400.0
1480704,10000.0
1500160,12200.0
1520640,12000.0
1540096,14200.0
1560576,9800.0
1580032,16200.0
1600512,16000.0
1620992,12000.0
1640448,13600.0
1660928,14600.0
1680384,13800.0
1700864,10200.0
1720320,14200.0
1740800,10800.0
1760256,15600.0
1780736,13000.0
1800192,10600.0
1820672,15400.0
1840128,19000.0
1860608,13800.0
1880064,13000.0
1900544,14000.0
1920000,13200.0
1940480,12200.0
1960960,15200.0
1980416,13400.0
2000896,12000.0
2020352,16800.0
2040832,13800.0
2060288,17200.0
2080768,14600.0
2100224,14400.0
2120704,15400.0
2140160,14800.0
2160640,14000.0
2180096,12400.0
2200576,16000.0
2220032,15800.0
2240512,15200.0
2260992,16600.0
2280448,9600.0
2300928,16800.0
2320384,17200.0
2340864,14800.0
2360320,16800.0
2380800,18600.0
2400256,17800.0
2420736,19800.0
2440192,16200.0
2460672,14400.0
2480128,17400.0
2500608,16600.0
2520064,15800.0
2540544,19800.0
2560000,22200.0
2580480,13800.0
2600960,15000.0
2620416,16200.0
2640896,18400.0
2660352,17200.0
2680832,13200.0
2700288,16400.0
2720768,19400.0
2740224,19000.0
2760704,20200.0
2780160,19200.0
2800640,19200.0
2820096,16800.0
2840576,19400.0
2860032,19400.0
2880512,17000.0
2900992,15800.0
2920448,14600.0
2940928,19200.0
2960384,18000.0
2980864,13400.0
3000320,18000.0
3020800,15800.0
3040256,14600.0
3060736,16600.0
3080192,21200.0
3100672,19400.0
3120128,14400.0
3140608,18000.0
3160064,15600.0
3180544,15600.0
3200000,13600.0
3220480,16800.0
3240960,17000.0
3260416,20600.0
3280896,21600.0
3300352,14000.0
3320832,14600.0
3340288,14000.0
3360768,14400.0
3380224,15800.0
3400704,17800.0
3420160,15800.0
3440640,20400.0
3460096,13000.0
3480576,15400.0
3500032,19400.0
3520512,16400.0
3540992,18000.0
3560448,22200.0
3580928,18800.0
3600384,16000.0
3620864,14200.0
3640320,21200.0
3660800,19200.0
3680256,13800.0
3700736,20000.0
3720192,15800.0
3740672,13200.0
3760128,13800.0
3780608,19200.0
3800064,13600.0
3820544,16400.0
3840000,13600.0
3860480,16800.0
3880960,16200.0
3900416,17200.0
3920896,13600.0
3940352,15600.0
3960832,12400.0
3980288,17200.0
4000768,17000.0
4020224,13800.0
4040704,17200.0
4060160,14200.0
4080640,14000.0
4100096,11800.0
4120576,17000.0
4140032,13400.0
4160512,15800.0
4180992,13400.0
4200448,16600.0
4220928,14400.0
4240384,11800.0
4260864,16000.0
4280320,14800.0
4300800,16800.0
4320256,13400.0
4340736,15000.0
4360192,13800.0
4380672,13600.0
4400128,19400.0
4420608,14000.0
4440064,12400.0
4460544,12800.0
4480000,14400.0
4500480,17800.0
4520960,16000.0
4540416,10800.0
4560896,13400.0
4580352,14400.0
4600832,13400.0
4620288,12400.0
4640768,17000.0
4660224,16000.0
4680704,14200.0
4700160,16800.0
4720640,12400.0
4740096,12400.0
4760576,17400.0
4780032,14400.0
4800512,15400.0
4820992,15400.0
4840448,15400.0
4860928,14400.0
4880384,13800.0
4900864,14600.0
4920320,14800.0
4940800,17800.0
4960256,14600.0
4980736,14400.0
5000192,13000.0
