Step,Value
20480,1411.800048828125
40960,1603.800048828125
60416,1182.800048828125
80896,2147.800048828125
100352,3098.60009765625
120832,2433.39990234375
140288,3107.39990234375
160768,2117.0
180224,2779.39990234375
200704,1979.0
220160,2914.60009765625
240640,1913.0
260096,2914.199951171875
280576,2515.39990234375
300032,3573.800048828125
320512,3759.199951171875
340992,3000.60009765625
360448,2422.199951171875
380928,1986.5999755859375
400384,3121.199951171875
420864,2403.0
440320,2729.199951171875
460800,2389.60009765625
480256,3440.60009765625
500736,2610.800048828125
520192,3599.39990234375
540672,3809.60009765625
560128,2172.60009765625
580608,2008.800048828125
600064,2449.39990234375
620544,3457.800048828125
640000,2680.800048828125
660480,2683.39990234375
680960,1552.4000244140625
700416,3215.0
720896,2081.0
740352,3791.0
760832,2339.0
780288,2937.0
800768,2984.800048828125
820224,3605.60009765625
840704,3003.199951171875
860160,3036.0
880640,2332.199951171875
900096,2499.39990234375
920576,2659.39990234375
940032,3467.199951171875
960512,3334.0
980992,3179.60009765625
1000448,2779.60009765625
1020928,2229.0
1040384,3186.39990234375
1060864,6356.0
1080320,2643.39990234375
1100800,1762.0
1120256,2970.199951171875
1140736,2506.199951171875
1160192,2707.0
1180672,2950.39990234375
1200128,3223.0
1220608,3596.60009765625
1240064,3229.60009765625
1260544,2876.39990234375
1280000,2937.60009765625
1300480,2117.199951171875
1320960,2271.0
1340416,2333.39990234375
1360896,3270.60009765625
1380352,3768.199951171875
1400832,4170.0
1420288,3465.39990234375
1440768,3307.60009765625
1460224,3859.0
1480704,2806.0
1500160,1566.0
1520640,4530.7998046875
1540096,2502.60009765625
1560576,2271.0
1580032,2615.60009765625
1600512,4417.0
1620992,3659.800048828125
1640448,3384.199951171875
1660928,3051.60009765625
1680384,2161.800048828125
1700864,1897.4000244140625
1720320,2277.199951171875
1740800,2445.800048828125
1760256,3451.60009765625
1780736,1760.4000244140625
1800192,3500.39990234375
1820672,3417.39990234375
1840128,4005.39990234375
1860608,2331.39990234375
1880064,3193.39990234375
1900544,1974.0
1920000,3565.800048828125
1940480,2212.39990234375
1960960,3350.0
1980416,3994.199951171875
2000896,3062.800048828125
2020352,2231.60009765625
2040832,2780.800048828125
2060288,3392.39990234375
2080768,3028.60009765625
2100224,3575.39990234375
2120704,2849.60009765625
2140160,1987.0
2160640,3664.800048828125
2180096,4886.60009765625
2200576,3911.39990234375
2220032,4055.39990234375
2240512,2519.199951171875
2260992,3104.800048828125
2280448,3086.800048828125
2300928,2966.0
2320384,2427.60009765625
2340864,3319.0
2360320,2316.800048828125
2380800,3365.60009765625
2400256,2561.60009765625
2420736,1869.800048828125
2440192,3074.60009765625
2460672,3350.39990234375
2480128,2332.199951171875
2500608,3158.60009765625
2520064,2193.199951171875
2540544,3533.60009765625
2560000,2519.0
2580480,1835.5999755859375
2600960,4079.800048828125
2620416,2408.800048828125
2640896,2812.0
2660352,2191.39990234375
2680832,1835.199951171875
2700288,3046.60009765625
2720768,3097.60009765625
2740224,1992.199951171875
2760704,2537.60009765625
2780160,2831.0
2800640,3510.39990234375
2820096,4323.0
2840576,3755.39990234375
2860032,3172.0
2880512,3367.60009765625
2900992,2694.800048828125
2920448,1485.800048828125
2940928,4435.39990234375
2960384,3173.800048828125
2980864,3301.0
3000320,2999.800048828125
3020800,2224.800048828125
3040256,3524.60009765625
3060736,3070.0
3080192,2870.0
3100672,3252.39990234375
3120128,2941.800048828125
3140608,3434.39990234375
3160064,2268.199951171875
3180544,2529.800048828125
3200000,3627.39990234375
3220480,2949.199951171875
3240960,3446.39990234375
3260416,2106.60009765625
3280896,3172.199951171875
3300352,4057.800048828125
3320832,2100.60009765625
3340288,1683.800048828125
3360768,3042.60009765625
3380224,3018.800048828125
3400704,3633.0
3420160,2098.0
3440640,5427.7998046875
3460096,2466.800048828125
3480576,3049.39990234375
3500032,3609.199951171875
3520512,3550.60009765625
3540992,3785.39990234375
3560448,2902.60009765625
3580928,2178.0
3600384,4067.199951171875
3620864,2466.60009765625
3640320,3352.199951171875
3660800,3244.60009765625
3680256,3182.800048828125
3700736,4988.60009765625
3720192,3323.0
3740672,3762.60009765625
3760128,4045.199951171875
3780608,3553.800048828125
3800064,3418.39990234375
3820544,2063.199951171875
3840000,4670.60009765625
3860480,2433.60009765625
3880960,2213.0
3900416,4655.2001953125
3920896,2788.800048828125
3940352,3316.60009765625
3960832,4099.7998046875
3980288,2508.60009765625
4000768,3113.800048828125
4020224,2105.0
4040704,3481.60009765625
4060160,2683.199951171875
4080640,3630.800048828125
4100096,3351.60009765625
4120576,2995.199951171875
4140032,2772.0
4160512,2925.39990234375
4180992,3666.800048828125
4200448,2750.0
4220928,4733.0
4240384,4938.2001953125
4260864,3940.60009765625
4280320,3656.0
4300800,2433.199951171875
4320256,2300.0
4340736,3395.0
4360192,2287.60009765625
4380672,3424.39990234375
4400128,2870.39990234375
4420608,2570.199951171875
4440064,4260.7998046875
4460544,2058.60009765625
4480000,3068.800048828125
4500480,3362.0
4520960,2450.60009765625
4540416,2637.800048828125
4560896,2993.0
4580352,3698.800048828125
4600832,2558.39990234375
4620288,3382.60009765625
4640768,3872.199951171875
4660224,2830.199951171875
4680704,2551.199951171875
4700160,2213.800048828125
4720640,2165.60009765625
4740096,3183.39990234375
4760576,4028.39990234375
4780032,4758.2001953125
4800512,3903.39990234375
4820992,3510.0
4840448,3189.800048828125
4860928,3621.0
4880384,2313.60009765625
4900864,2563.0
4920320,2908.39990234375
4940800,4479.60009765625
4960256,3028.39990234375
4980736,3364.0
5000192,3934.800048828125
