Step,Value
20480,940.0
40960,1060.0
60416,1200.0
80896,800.0
100352,940.0
120832,840.0
140288,780.0
160768,640.0
180224,920.0
200704,940.0
220160,900.0
240640,980.0
260096,700.0
280576,780.0
300032,960.0
320512,1000.0
340992,1060.0
360448,700.0
380928,980.0
400384,720.0
420864,740.0
440320,940.0
460800,900.0
480256,1120.0
500736,700.0
520192,700.0
540672,1320.0
560128,1060.0
580608,940.0
600064,680.0
620544,660.0
640000,660.0
660480,620.0
680960,760.0
700416,940.0
720896,780.0
740352,860.0
760832,1000.0
780288,620.0
800768,640.0
820224,900.0
840704,880.0
860160,800.0
880640,900.0
900096,760.0
920576,640.0
940032,780.0
960512,900.0
980992,920.0
1000448,760.0
1020928,800.0
1040384,860.0
1060864,740.0
1080320,760.0
1100800,1020.0
1120256,760.0
1140736,720.0
1160192,920.0
1180672,760.0
1200128,800.0
1220608,780.0
1240064,580.0
1260544,700.0
1280000,880.0
1300480,1000.0
1320960,700.0
1340416,940.0
1360896,1060.0
1380352,1120.0
1400832,920.0
1420288,860.0
1440768,920.0
1460224,840.0
1480704,700.0
1500160,1280.0
1520640,1020.0
1540096,900.0
1560576,920.0
1580032,1180.0
1600512,1100.0
1620992,1020.0
1640448,680.0
1660928,920.0
1680384,960.0
1700864,760.0
1720320,980.0
1740800,960.0
1760256,980.0
1780736,940.0
1800192,1020.0
1820672,800.0
1840128,920.0
1860608,780.0
1880064,600.0
1900544,560.0
1920000,840.0
1940480,900.0
1960960,820.0
1980416,1120.0
2000896,1100.0
2020352,840.0
2040832,1020.0
2060288,1080.0
2080768,820.0
2100224,740.0
2120704,1220.0
2140160,640.0
2160640,940.0
2180096,980.0
2200576,960.0
2220032,700.0
2240512,920.0
2260992,800.0
2280448,860.0
2300928,760.0
2320384,820.0
2340864,620.0
2360320,1320.0
2380800,1060.0
2400256,1040.0
2420736,780.0
2440192,840.0
2460672,1360.0
2480128,700.0
2500608,1020.0
2520064,840.0
2540544,1040.0
2560000,1080.0
2580480,1120.0
2600960,1000.0
2620416,720.0
2640896,1100.0
2660352,1000.0
2680832,900.0
2700288,980.0
2720768,1240.0
2740224,960.0
2760704,860.0
2780160,1100.0
2800640,780.0
2820096,1140.0
2840576,1020.0
2860032,1220.0
2880512,1120.0
2900992,1120.0
2920448,1240.0
2940928,940.0
2960384,960.0
2980864,820.0
3000320,920.0
3020800,1060.0
3040256,920.0
3060736,960.0
3080192,940.0
3100672,1180.0
3120128,820.0
3140608,1000.0
3160064,1400.0
3180544,1060.0
3200000,800.0
3220480,980.0
3240960,1080.0
3260416,880.0
3280896,980.0
3300352,880.0
3320832,1160.0
3340288,1100.0
3360768,1160.0
3380224,740.0
3400704,920.0
3420160,1380.0
3440640,740.0
3460096,920.0
3480576,1020.0
3500032,960.0
3520512,760.0
3540992,720.0
3560448,880.0
3580928,840.0
3600384,1160.0
3620864,800.0
3640320,1440.0
3660800,860.0
3680256,840.0
3700736,840.0
3720192,820.0
3740672,720.0
3760128,880.0
3780608,1120.0
3800064,960.0
3820544,880.0
3840000,860.0
3860480,1140.0
3880960,660.0
3900416,1120.0
3920896,860.0
3940352,800.0
3960832,980.0
3980288,520.0
4000768,900.0
4020224,800.0
4040704,660.0
4060160,700.0
4080640,540.0
4100096,1080.0
4120576,700.0
4140032,760.0
4160512,800.0
4180992,960.0
4200448,880.0
4220928,880.0
4240384,900.0
4260864,800.0
4280320,880.0
4300800,760.0
4320256,920.0
4340736,700.0
4360192,760.0
4380672,840.0
4400128,820.0
4420608,900.0
4440064,760.0
4460544,760.0
4480000,1100.0
4500480,880.0
4520960,780.0
4540416,960.0
4560896,780.0
4580352,640.0
4600832,980.0
4620288,760.0
4640768,940.0
4660224,820.0
4680704,780.0
4700160,900.0
4720640,980.0
4740096,860.0
4760576,800.0
4780032,1060.0
4800512,780.0
4820992,700.0
4840448,1100.0
4860928,620.0
4880384,1000.0
4900864,900.0
4920320,860.0
4940800,1200.0
4960256,800.0
4980736,620.0
5000192,760.0
