Step,Value
20480,206.0
40960,218.0
60416,283.0
80896,185.0
100352,200.0
120832,172.0
140288,182.0
160768,222.0
180224,247.0
200704,157.0
220160,134.0
240640,217.0
260096,188.0
280576,357.0
300032,383.0
320512,211.0
340992,174.0
360448,166.0
380928,342.0
400384,417.0
420864,525.0
440320,226.0
460800,285.0
480256,260.0
500736,267.0
520192,465.0
540672,307.0
560128,209.0
580608,719.0
600064,702.0
620544,243.0
640000,275.0
660480,278.0
680960,592.0
700416,439.0
720896,266.0
740352,615.0
760832,409.0
780288,224.0
800768,844.0
820224,631.0
840704,688.0
860160,684.0
880640,972.0
900096,875.0
920576,2020.0
940032,1445.0
960512,968.0
980992,1131.0
1000448,892.0
1020928,675.0
1040384,1137.0
1060864,734.0
1080320,912.0
1100800,1047.0
1120256,1226.0
1140736,1092.0
1160192,1937.0
1180672,1330.0
1200128,1098.0
1220608,1552.0
1240064,2033.0
1260544,1139.0
1280000,1488.0
1300480,2443.0
1320960,1652.0
1340416,2289.0
1360896,2934.0
1380352,933.0
1400832,1950.0
1420288,1692.0
1440768,2583.0
1460224,2289.0
1480704,2102.0
1500160,3328.0
1520640,2801.0
1540096,2761.0
1560576,2230.0
1580032,1666.0
1600512,2018.0
1620992,3193.0
1640448,1724.0
1660928,2064.0
1680384,2182.0
1700864,2457.0
1720320,2582.0
1740800,4004.0
1760256,3602.0
1780736,3297.0
1800192,2828.0
1820672,1584.0
1840128,2665.0
1860608,3806.0
1880064,2610.0
1900544,2162.0
1920000,2740.0
1940480,4522.0
1960960,4254.0
1980416,3820.0
2000896,2556.0
2020352,1359.0
2040832,3389.0
2060288,2154.0
2080768,4687.0
2100224,2478.0
2120704,2145.0
2140160,3720.0
2160640,1536.0
2180096,3214.0
2200576,3998.0
2220032,3212.0
2240512,3339.0
2260992,4063.0
2280448,6261.0
2300928,5839.0
2320384,3299.0
2340864,4672.0
2360320,2950.0
2380800,4650.0
2400256,2731.0
2420736,4608.0
2440192,4042.0
2460672,6019.0
2480128,2946.0
2500608,4143.0
2520064,6446.0
2540544,4750.0
2560000,6477.0
2580480,6144.0
2600960,5519.0
2620416,3604.0
2640896,2970.0
2660352,4992.0
2680832,3140.0
2700288,4855.0
2720768,4699.0
2740224,5551.0
2760704,5385.0
2780160,4957.0
2800640,3552.0
2820096,6964.0
2840576,5969.0
2860032,6851.0
2880512,5773.0
2900992,6210.0
2920448,5770.0
2940928,5278.0
2960384,4623.0
2980864,4515.0
3000320,4928.0
3020800,6591.0
3040256,3942.0
3060736,7218.0
3080192,5720.0
3100672,7033.0
3120128,6582.0
3140608,6031.0
3160064,7105.0
3180544,6702.0
3200000,7207.0
3220480,7224.0
3240960,6117.0
3260416,7853.0
3280896,8150.0
3300352,7344.0
3320832,5959.0
3340288,7618.0
3360768,5804.0
3380224,6396.0
3400704,4218.0
3420160,7393.0
3440640,6267.0
3460096,6830.0
3480576,8895.0
3500032,7466.0
3520512,6709.0
3540992,9028.0
3560448,9540.0
3580928,9535.0
3600384,6441.0
3620864,7540.0
3640320,7278.0
3660800,7930.0
3680256,7355.0
3700736,8667.0
3720192,6962.0
3740672,8376.0
3760128,8196.0
3780608,8554.0
3800064,6856.0
3820544,6713.0
3840000,4292.0
3860480,7816.0
3880960,6416.0
3900416,7656.0
3920896,8166.0
3940352,7806.0
3960832,7124.0
3980288,6067.0
4000768,4623.0
4020224,8607.0
4040704,7007.0
4060160,6177.0
4080640,7545.0
4100096,7896.0
4120576,8462.0
4140032,8123.0
4160512,9480.0
4180992,7396.0
4200448,7780.0
4220928,7448.0
4240384,7942.0
4260864,12311.0
4280320,10863.0
4300800,8263.0
4320256,8484.0
4340736,9569.0
4360192,7293.0
4380672,8502.0
4400128,7767.0
4420608,9519.0
4440064,7313.0
4460544,8687.0
4480000,9834.0
4500480,6453.0
4520960,7557.0
4540416,7697.0
4560896,5198.0
4580352,7199.0
4600832,10464.0
4620288,9538.0
4640768,7941.0
4660224,8755.0
4680704,6132.0
4700160,8393.0
4720640,7660.0
4740096,6936.0
4760576,8011.0
4780032,9985.0
4800512,6923.0
4820992,8206.0
4840448,7926.0
4860928,6914.0
4880384,6726.0
4900864,8563.0
4920320,5566.0
4940800,6985.0
4960256,9235.0
4980736,7205.0
5000192,5572.0
