Step,Value
20480,-15.199999809265137
40960,-19.200000762939453
60416,-16.799999237060547
80896,-16.399999618530273
100352,-19.600000381469727
120832,-21.200000762939453
140288,-13.600000381469727
160768,-16.0
180224,-20.399999618530273
200704,-19.600000381469727
220160,-16.799999237060547
240640,-15.600000381469727
260096,-14.800000190734863
280576,-18.399999618530273
300032,-18.0
320512,-19.200000762939453
340992,-18.799999237060547
360448,-18.799999237060547
380928,-19.200000762939453
400384,-15.600000381469727
420864,-18.0
440320,-17.600000381469727
460800,-16.799999237060547
480256,-19.600000381469727
500736,-14.399999618530273
520192,-16.399999618530273
540672,-17.200000762939453
560128,-19.600000381469727
580608,-16.0
600064,-17.200000762939453
620544,-17.200000762939453
640000,-15.199999809265137
660480,-16.0
680960,-16.399999618530273
700416,-18.0
720896,-18.0
740352,-17.200000762939453
760832,-16.0
780288,-19.600000381469727
800768,-14.0
820224,-18.0
840704,-18.0
860160,-17.200000762939453
880640,-19.600000381469727
900096,-18.0
920576,-18.399999618530273
940032,-18.0
960512,-19.600000381469727
980992,-18.0
1000448,-17.600000381469727
1020928,-18.799999237060547
1040384,-18.399999618530273
1060864,-21.200000762939453
1080320,-16.799999237060547
1100800,-17.600000381469727
1120256,-18.0
1140736,-17.600000381469727
1160192,-17.600000381469727
1180672,-17.200000762939453
1200128,-16.399999618530273
1220608,-20.799999237060547
1240064,-19.200000762939453
1260544,-20.799999237060547
1280000,-19.600000381469727
1300480,-18.0
1320960,-19.600000381469727
1340416,-17.600000381469727
1360896,-18.399999618530273
1380352,-18.0
1400832,-18.0
1420288,-17.600000381469727
1440768,-16.799999237060547
1460224,-17.600000381469727
1480704,-20.0
1500160,-19.600000381469727
1520640,-18.0
1540096,-19.200000762939453
1560576,-20.0
1580032,-18.399999618530273
1600512,-16.0
1620992,-18.0
1640448,-19.200000762939453
1660928,-18.399999618530273
1680384,-18.0
1700864,-17.600000381469727
1720320,-20.0
1740800,-16.799999237060547
1760256,-19.600000381469727
1780736,-19.200000762939453
1800192,-15.199999809265137
1820672,-20.0
1840128,-19.600000381469727
1860608,-18.0
1880064,-17.600000381469727
1900544,-18.399999618530273
1920000,-16.399999618530273
1940480,-17.200000762939453
1960960,-20.0
1980416,-16.399999618530273
2000896,-19.200000762939453
2020352,-16.799999237060547
2040832,-14.800000190734863
2060288,-18.799999237060547
2080768,-20.399999618530273
2100224,-15.199999809265137
2120704,-16.799999237060547
2140160,-14.800000190734863
2160640,-18.399999618530273
2180096,-16.0
2200576,-17.600000381469727
2220032,-14.800000190734863
2240512,-16.0
2260992,-17.200000762939453
2280448,-15.199999809265137
2300928,-13.199999809265137
2320384,-16.0
2340864,-18.0
2360320,-14.0
2380800,-13.199999809265137
2400256,-15.199999809265137
2420736,-13.199999809265137
2440192,-17.200000762939453
2460672,-16.399999618530273
2480128,-16.799999237060547
2500608,-16.0
2520064,-15.600000381469727
2540544,-13.600000381469727
2560000,-16.799999237060547
2580480,-19.200000762939453
2600960,-15.199999809265137
2620416,-17.600000381469727
2640896,-15.199999809265137
2660352,-14.800000190734863
2680832,-16.0
2700288,-14.399999618530273
2720768,-14.0
2740224,-13.199999809265137
2760704,-12.0
2780160,-14.800000190734863
2800640,-14.800000190734863
2820096,-14.0
2840576,-13.199999809265137
2860032,-14.399999618530273
2880512,-18.399999618530273
2900992,-18.0
2920448,-16.0
2940928,-18.399999618530273
2960384,-18.399999618530273
2980864,-15.600000381469727
3000320,-18.399999618530273
3020800,-15.199999809265137
3040256,-17.600000381469727
3060736,-16.399999618530273
3080192,-17.200000762939453
3100672,-16.0
3120128,-14.0
3140608,-15.600000381469727
3160064,-12.800000190734863
3180544,-12.399999618530273
3200000,-16.799999237060547
3220480,-16.0
3240960,-16.799999237060547
3260416,-14.800000190734863
3280896,-14.800000190734863
3300352,-13.600000381469727
3320832,-13.199999809265137
3340288,-10.399999618530273
3360768,-15.600000381469727
3380224,-13.199999809265137
3400704,-14.800000190734863
3420160,-14.0
3440640,-14.0
3460096,-11.199999809265137
3480576,-13.600000381469727
3500032,-12.399999618530273
3520512,-12.800000190734863
3540992,-11.600000381469727
3560448,-15.199999809265137
3580928,-17.200000762939453
3600384,-17.600000381469727
3620864,-16.0
3640320,-13.600000381469727
3660800,-11.600000381469727
3680256,-13.199999809265137
3700736,-12.0
3720192,-11.199999809265137
3740672,-12.399999618530273
3760128,-14.0
3780608,-12.399999618530273
3800064,-12.800000190734863
3820544,-14.399999618530273
3840000,-16.0
3860480,-15.600000381469727
3880960,-15.600000381469727
3900416,-13.199999809265137
3920896,-16.0
3940352,-16.399999618530273
3960832,-14.399999618530273
3980288,-17.200000762939453
4000768,-14.0
4020224,-14.0
4040704,-12.399999618530273
4060160,-12.0
4080640,-12.800000190734863
4100096,-14.800000190734863
4120576,-14.800000190734863
4140032,-13.600000381469727
4160512,-16.0
4180992,-10.0
4200448,-14.399999618530273
4220928,-12.800000190734863
4240384,-14.399999618530273
4260864,-16.399999618530273
4280320,-12.399999618530273
4300800,-11.199999809265137
4320256,-10.399999618530273
4340736,-14.399999618530273
4360192,-12.399999618530273
4380672,-13.600000381469727
4400128,-11.600000381469727
4420608,-12.0
4440064,-16.399999618530273
4460544,-10.800000190734863
4480000,-11.199999809265137
4500480,-9.199999809265137
4520960,-10.399999618530273
4540416,-9.199999809265137
4560896,-15.600000381469727
4580352,-13.199999809265137
4600832,-12.0
4620288,-12.0
4640768,-12.800000190734863
4660224,-9.600000381469727
4680704,-14.800000190734863
4700160,-13.199999809265137
4720640,-11.600000381469727
4740096,-15.600000381469727
4760576,-16.0
4780032,-13.600000381469727
4800512,-10.0
4820992,-12.800000190734863
4840448,-8.800000190734863
4860928,-11.600000381469727
4880384,-11.199999809265137
4900864,-12.399999618530273
4920320,-12.800000190734863
4940800,-11.199999809265137
4960256,-8.399999618530273
4980736,-12.800000190734863
5000192,-13.600000381469727
