Step,Value
20480,124.0
40960,178.0
60416,150.0
80896,172.0
100352,172.0
120832,172.0
140288,200.0
160768,192.0
180224,206.0
200704,210.0
220160,198.0
240640,192.0
260096,222.0
280576,202.0
300032,212.0
320512,222.0
340992,234.0
360448,234.0
380928,218.0
400384,230.0
420864,228.0
440320,254.0
460800,240.0
480256,234.0
500736,242.0
520192,256.0
540672,258.0
560128,242.0
580608,254.0
600064,240.0
620544,248.0
640000,260.0
660480,214.0
680960,238.0
700416,242.0
720896,246.0
740352,256.0
760832,254.0
780288,256.0
800768,260.0
820224,256.0
840704,260.0
860160,250.0
880640,256.0
900096,258.0
920576,254.0
940032,258.0
960512,250.0
980992,260.0
1000448,256.0
1020928,254.0
1040384,254.0
1060864,254.0
1080320,262.0
1100800,256.0
1120256,244.0
1140736,260.0
1160192,248.0
1180672,252.0
1200128,262.0
1220608,258.0
1240064,244.0
1260544,260.0
1280000,260.0
1300480,258.0
1320960,260.0
1340416,254.0
1360896,258.0
1380352,258.0
1400832,258.0
1420288,262.0
1440768,254.0
1460224,260.0
1480704,258.0
1500160,260.0
1520640,262.0
1540096,254.0
1560576,260.0
1580032,240.0
1600512,260.0
1620992,258.0
1640448,264.0
1660928,260.0
1680384,256.0
1700864,260.0
1720320,268.0
1740800,262.0
1760256,260.0
1780736,256.0
1800192,260.0
1820672,260.0
1840128,260.0
1860608,258.0
1880064,252.0
1900544,244.0
1920000,262.0
1940480,258.0
1960960,260.0
1980416,258.0
2000896,252.0
2020352,258.0
2040832,260.0
2060288,260.0
2080768,258.0
2100224,254.0
2120704,254.0
2140160,260.0
2160640,254.0
2180096,260.0
2200576,258.0
2220032,260.0
2240512,258.0
2260992,260.0
2280448,258.0
2300928,260.0
2320384,260.0
2340864,264.0
2360320,250.0
2380800,260.0
2400256,262.0
2420736,262.0
2440192,258.0
2460672,260.0
2480128,250.0
2500608,268.0
2520064,262.0
2540544,256.0
2560000,262.0
2580480,260.0
2600960,258.0
2620416,262.0
2640896,256.0
2660352,266.0
2680832,266.0
2700288,258.0
2720768,252.0
2740224,268.0
2760704,268.0
2780160,266.0
2800640,264.0
2820096,264.0
2840576,262.0
2860032,264.0
2880512,258.0
2900992,266.0
2920448,264.0
2940928,268.0
2960384,258.0
2980864,264.0
3000320,268.0
3020800,262.0
3040256,258.0
3060736,262.0
3080192,264.0
3100672,270.0
3120128,270.0
3140608,266.0
3160064,266.0
3180544,256.0
3200000,264.0
3220480,254.0
3240960,266.0
3260416,268.0
3280896,270.0
3300352,268.0
3320832,262.0
3340288,264.0
3360768,264.0
3380224,268.0
3400704,266.0
3420160,270.0
3440640,264.0
3460096,268.0
3480576,266.0
3500032,262.0
3520512,266.0
3540992,270.0
3560448,262.0
3580928,268.0
3600384,264.0
3620864,262.0
3640320,266.0
3660800,270.0
3680256,266.0
3700736,270.0
3720192,264.0
3740672,270.0
3760128,270.0
3780608,268.0
3800064,270.0
3820544,270.0
3840000,268.0
3860480,266.0
3880960,270.0
3900416,268.0
3920896,274.0
3940352,266.0
3960832,270.0
3980288,260.0
4000768,266.0
4020224,262.0
4040704,270.0
4060160,270.0
4080640,262.0
4100096,266.0
4120576,258.0
4140032,266.0
4160512,272.0
4180992,270.0
4200448,270.0
4220928,262.0
4240384,262.0
4260864,260.0
4280320,262.0
4300800,264.0
4320256,260.0
4340736,264.0
4360192,264.0
4380672,270.0
4400128,270.0
4420608,266.0
4440064,268.0
4460544,270.0
4480000,262.0
4500480,262.0
4520960,264.0
4540416,272.0
4560896,268.0
4580352,272.0
4600832,270.0
4620288,266.0
4640768,268.0
4660224,262.0
4680704,266.0
4700160,260.0
4720640,272.0
4740096,268.0
4760576,270.0
4780032,266.0
4800512,268.0
4820992,264.0
4840448,268.0
4860928,258.0
4880384,262.0
4900864,268.0
4920320,268.0
4940800,266.0
4960256,270.0
4980736,264.0
5000192,264.0
