Step,Value
20480,136.0
40960,122.0
60416,178.0
80896,168.0
100352,176.0
120832,186.0
140288,212.0
160768,194.0
180224,218.0
200704,212.0
220160,220.0
240640,232.0
260096,206.0
280576,206.0
300032,216.0
320512,228.0
340992,214.0
360448,234.0
380928,234.0
400384,218.0
420864,224.0
440320,210.0
460800,238.0
480256,232.0
500736,246.0
520192,224.0
540672,240.0
560128,250.0
580608,224.0
600064,254.0
620544,452.0
640000,254.0
660480,172.0
680960,88.0
700416,438.0
720896,494.0
740352,660.0
760832,108.0
780288,194.0
800768,60.0
820224,42.0
840704,106.0
860160,80.0
880640,92.0
900096,42.0
920576,100.0
940032,374.0
960512,212.0
980992,386.0
1000448,360.0
1020928,238.0
1040384,262.0
1060864,240.0
1080320,246.0
1100800,252.0
1120256,254.0
1140736,246.0
1160192,262.0
1180672,252.0
1200128,256.0
1220608,254.0
1240064,260.0
1260544,264.0
1280000,258.0
1300480,266.0
1320960,254.0
1340416,246.0
1360896,250.0
1380352,260.0
1400832,248.0
1420288,270.0
1440768,270.0
1460224,258.0
1480704,268.0
1500160,266.0
1520640,258.0
1540096,270.0
1560576,258.0
1580032,268.0
1600512,260.0
1620992,270.0
1640448,264.0
1660928,270.0
1680384,264.0
1700864,264.0
1720320,270.0
1740800,270.0
1760256,262.0
1780736,262.0
1800192,264.0
1820672,264.0
1840128,262.0
1860608,268.0
1880064,256.0
1900544,268.0
1920000,270.0
1940480,264.0
1960960,266.0
1980416,266.0
2000896,270.0
2020352,266.0
2040832,262.0
2060288,262.0
2080768,266.0
2100224,270.0
2120704,268.0
2140160,270.0
2160640,268.0
2180096,270.0
2200576,270.0
2220032,270.0
2240512,262.0
2260992,270.0
2280448,268.0
2300928,270.0
2320384,268.0
2340864,264.0
2360320,264.0
2380800,270.0
2400256,270.0
2420736,268.0
2440192,270.0
2460672,270.0
2480128,270.0
2500608,270.0
2520064,270.0
2540544,270.0
2560000,270.0
2580480,270.0
2600960,270.0
2620416,270.0
2640896,264.0
2660352,276.0
2680832,264.0
2700288,264.0
2720768,270.0
2740224,270.0
2760704,270.0
2780160,260.0
2800640,262.0
2820096,270.0
2840576,268.0
2860032,266.0
2880512,268.0
2900992,270.0
2920448,262.0
2940928,266.0
2960384,270.0
2980864,270.0
3000320,270.0
3020800,266.0
3040256,264.0
3060736,270.0
3080192,270.0
3100672,268.0
3120128,270.0
3140608,270.0
3160064,270.0
3180544,270.0
3200000,270.0
3220480,270.0
3240960,268.0
3260416,270.0
3280896,270.0
3300352,270.0
3320832,270.0
3340288,270.0
3360768,270.0
3380224,270.0
3400704,270.0
3420160,270.0
3440640,264.0
3460096,270.0
3480576,272.0
3500032,272.0
3520512,262.0
3540992,258.0
3560448,264.0
3580928,264.0
3600384,272.0
3620864,266.0
3640320,270.0
3660800,274.0
3680256,278.0
3700736,280.0
3720192,272.0
3740672,272.0
3760128,272.0
3780608,276.0
3800064,262.0
3820544,270.0
3840000,272.0
3860480,276.0
3880960,272.0
3900416,278.0
3920896,276.0
3940352,276.0
3960832,274.0
3980288,274.0
4000768,276.0
4020224,276.0
4040704,276.0
4060160,268.0
4080640,268.0
4100096,268.0
4120576,276.0
4140032,282.0
4160512,272.0
4180992,272.0
4200448,278.0
4220928,272.0
4240384,274.0
4260864,274.0
4280320,278.0
4300800,278.0
4320256,274.0
4340736,280.0
4360192,272.0
4380672,278.0
4400128,276.0
4420608,288.0
4440064,280.0
4460544,270.0
4480000,280.0
4500480,280.0
4520960,272.0
4540416,278.0
4560896,276.0
4580352,280.0
4600832,274.0
4620288,272.0
4640768,282.0
4660224,278.0
4680704,276.0
4700160,280.0
4720640,276.0
4740096,286.0
4760576,284.0
4780032,274.0
4800512,278.0
4820992,276.0
4840448,286.0
4860928,278.0
4880384,276.0
4900864,276.0
4920320,278.0
4940800,278.0
4960256,276.0
4980736,280.0
5000192,280.0
