Step,Value
20480,244.0
40960,392.0
60416,520.0
80896,460.0
100352,400.0
120832,368.0
140288,356.0
160768,404.0
180224,668.0
200704,284.0
220160,380.0
240640,420.0
260096,484.0
280576,512.0
300032,364.0
320512,496.0
340992,516.0
360448,356.0
380928,640.0
400384,348.0
420864,520.0
440320,604.0
460800,544.0
480256,540.0
500736,404.0
520192,408.0
540672,844.0
560128,676.0
580608,636.0
600064,900.0
620544,772.0
640000,624.0
660480,572.0
680960,736.0
700416,396.0
720896,476.0
740352,796.0
760832,600.0
780288,704.0
800768,1064.0
820224,640.0
840704,944.0
860160,540.0
880640,512.0
900096,452.0
920576,524.0
940032,500.0
960512,764.0
980992,736.0
1000448,380.0
1020928,992.0
1040384,840.0
1060864,648.0
1080320,456.0
1100800,968.0
1120256,584.0
1140736,512.0
1160192,528.0
1180672,884.0
1200128,876.0
1220608,800.0
1240064,888.0
1260544,768.0
1280000,596.0
1300480,1072.0
1320960,704.0
1340416,392.0
1360896,692.0
1380352,588.0
1400832,720.0
1420288,1080.0
1440768,600.0
1460224,404.0
1480704,680.0
1500160,1244.0
1520640,872.0
1540096,868.0
1560576,836.0
1580032,872.0
1600512,664.0
1620992,1104.0
1640448,700.0
1660928,1108.0
1680384,360.0
1700864,744.0
1720320,856.0
1740800,656.0
1760256,720.0
1780736,1424.0
1800192,468.0
1820672,488.0
1840128,444.0
1860608,860.0
1880064,716.0
1900544,800.0
1920000,736.0
1940480,748.0
1960960,596.0
1980416,700.0
2000896,764.0
2020352,948.0
2040832,748.0
2060288,856.0
2080768,924.0
2100224,664.0
2120704,1076.0
2140160,460.0
2160640,732.0
2180096,568.0
2200576,948.0
2220032,488.0
2240512,720.0
2260992,732.0
2280448,1068.0
2300928,1496.0
2320384,740.0
2340864,1048.0
2360320,548.0
2380800,984.0
2400256,940.0
2420736,832.0
2440192,776.0
2460672,592.0
2480128,1044.0
2500608,556.0
2520064,1068.0
2540544,704.0
2560000,892.0
2580480,876.0
2600960,744.0
2620416,676.0
2640896,688.0
2660352,564.0
2680832,600.0
2700288,508.0
2720768,388.0
2740224,620.0
2760704,1108.0
2780160,768.0
2800640,596.0
2820096,808.0
2840576,1372.0
2860032,788.0
2880512,692.0
2900992,608.0
2920448,788.0
2940928,632.0
2960384,656.0
2980864,784.0
3000320,604.0
3020800,756.0
3040256,896.0
3060736,892.0
3080192,740.0
3100672,804.0
3120128,788.0
3140608,896.0
3160064,1196.0
3180544,568.0
3200000,980.0
3220480,592.0
3240960,1008.0
3260416,636.0
3280896,1040.0
3300352,528.0
3320832,1076.0
3340288,732.0
3360768,1144.0
3380224,744.0
3400704,688.0
3420160,352.0
3440640,544.0
3460096,616.0
3480576,1016.0
3500032,1340.0
3520512,788.0
3540992,692.0
3560448,1020.0
3580928,644.0
3600384,444.0
3620864,916.0
3640320,932.0
3660800,920.0
3680256,1004.0
3700736,984.0
3720192,980.0
3740672,724.0
3760128,640.0
3780608,980.0
3800064,828.0
3820544,484.0
3840000,580.0
3860480,1396.0
3880960,1156.0
3900416,1336.0
3920896,1096.0
3940352,844.0
3960832,876.0
3980288,544.0
4000768,1116.0
4020224,988.0
4040704,980.0
4060160,724.0
4080640,988.0
4100096,804.0
4120576,1156.0
4140032,1040.0
4160512,840.0
4180992,604.0
4200448,736.0
4220928,916.0
4240384,864.0
4260864,1044.0
4280320,728.0
4300800,892.0
4320256,712.0
4340736,572.0
4360192,780.0
4380672,812.0
4400128,820.0
4420608,764.0
4440064,736.0
4460544,864.0
4480000,720.0
4500480,464.0
4520960,880.0
4540416,1552.0
4560896,780.0
4580352,1232.0
4600832,732.0
4620288,716.0
4640768,1124.0
4660224,872.0
4680704,984.0
4700160,592.0
4720640,712.0
4740096,688.0
4760576,796.0
4780032,1332.0
4800512,312.0
4820992,956.0
4840448,1012.0
4860928,856.0
4880384,788.0
4900864,628.0
4920320,748.0
4940800,632.0
4960256,688.0
4980736,976.0
5000192,1188.0
