Step,Value
20480,3218.800048828125
40960,2704.39990234375
60416,2638.800048828125
80896,2745.0
100352,2905.60009765625
120832,2579.800048828125
140288,3171.0
160768,2877.39990234375
180224,2580.800048828125
200704,2004.5999755859375
220160,2922.60009765625
240640,3163.39990234375
260096,2879.199951171875
280576,3255.199951171875
300032,3148.0
320512,2908.60009765625
340992,3387.39990234375
360448,3193.60009765625
380928,3448.199951171875
400384,3210.199951171875
420864,3160.60009765625
440320,3669.199951171875
460800,3110.199951171875
480256,3556.199951171875
500736,3062.800048828125
520192,2916.60009765625
540672,3071.199951171875
560128,2830.39990234375
580608,2225.800048828125
600064,2905.199951171875
620544,3233.39990234375
640000,2765.60009765625
660480,3148.199951171875
680960,3609.800048828125
700416,3351.0
720896,3313.800048828125
740352,3219.800048828125
760832,2944.199951171875
780288,2797.800048828125
800768,3089.60009765625
820224,2954.800048828125
840704,3210.39990234375
860160,3637.199951171875
880640,3373.60009765625
900096,2501.60009765625
920576,3505.800048828125
940032,3485.199951171875
960512,3013.0
980992,3654.39990234375
1000448,3600.39990234375
1020928,3550.0
1040384,3202.800048828125
1060864,2877.0
1080320,3109.800048828125
1100800,3329.0
1120256,3209.800048828125
1140736,3026.60009765625
1160192,3260.199951171875
1180672,3246.800048828125
1200128,3377.60009765625
1220608,3691.800048828125
1240064,3470.60009765625
1260544,3426.199951171875
1280000,3474.0
1300480,3719.199951171875
1320960,3301.60009765625
1340416,3766.0
1360896,3410.60009765625
1380352,3709.800048828125
1400832,3565.800048828125
1420288,3800.199951171875
1440768,3621.60009765625
1460224,3783.199951171875
1480704,3821.800048828125
1500160,3370.800048828125
1520640,3571.60009765625
1540096,3580.800048828125
1560576,3537.199951171875
1580032,3812.800048828125
1600512,3855.39990234375
1620992,3380.39990234375
1640448,3722.39990234375
1660928,3836.199951171875
1680384,3552.800048828125
1700864,3469.800048828125
1720320,3157.39990234375
1740800,3861.60009765625
1760256,3869.199951171875
1780736,3652.60009765625
1800192,3652.800048828125
1820672,3258.39990234375
1840128,3933.0
1860608,4006.199951171875
1880064,3930.0
1900544,3978.39990234375
1920000,4163.2001953125
1940480,4127.7998046875
1960960,3091.800048828125
1980416,3922.0
2000896,3931.60009765625
2020352,3636.39990234375
2040832,3715.800048828125
2060288,3834.800048828125
2080768,4007.60009765625
2100224,4203.39990234375
2120704,4069.800048828125
2140160,4214.7998046875
2160640,4209.0
2180096,4025.800048828125
2200576,4106.60009765625
2220032,3973.0
2240512,4037.199951171875
2260992,3929.800048828125
2280448,4273.2001953125
2300928,3799.800048828125
2320384,3894.39990234375
2340864,3976.800048828125
2360320,3894.60009765625
2380800,4157.0
2400256,3777.60009765625
2420736,3908.0
2440192,4213.0
2460672,3548.60009765625
2480128,4035.39990234375
2500608,3304.60009765625
2520064,4335.7998046875
2540544,4031.199951171875
2560000,3796.0
2580480,3750.199951171875
2600960,3888.800048828125
2620416,3990.60009765625
2640896,3694.60009765625
2660352,3627.39990234375
2680832,3428.0
2700288,4282.39990234375
2720768,4360.0
2740224,4378.39990234375
2760704,3638.60009765625
2780160,4442.7998046875
2800640,3352.0
2820096,3658.39990234375
2840576,4170.7998046875
2860032,4509.0
2880512,3740.60009765625
2900992,3650.800048828125
2920448,3945.0
2940928,4338.0
2960384,3580.39990234375
2980864,4188.2001953125
3000320,3424.199951171875
3020800,3744.199951171875
3040256,2815.800048828125
3060736,4362.7998046875
3080192,3698.800048828125
3100672,3415.800048828125
3120128,3630.39990234375
3140608,3723.39990234375
3160064,4937.7998046875
3180544,4699.7998046875
3200000,4539.39990234375
3220480,4199.39990234375
3240960,4523.60009765625
3260416,4397.7998046875
3280896,4693.0
3300352,4415.0
3320832,4639.60009765625
3340288,4489.7998046875
3360768,4707.39990234375
3380224,4225.60009765625
3400704,4402.39990234375
3420160,4820.7998046875
3440640,5014.39990234375
3460096,3737.39990234375
3480576,4874.39990234375
3500032,5205.39990234375
3520512,4702.0
3540992,4691.0
3560448,4845.60009765625
3580928,4791.39990234375
3600384,4596.0
3620864,4792.39990234375
3640320,4004.0
3660800,5035.2001953125
3680256,4406.39990234375
3700736,4961.39990234375
3720192,5053.2001953125
3740672,5223.0
3760128,4789.7998046875
3780608,4654.0
3800064,4451.39990234375
3820544,4743.7998046875
3840000,4551.39990234375
3860480,4846.7998046875
3880960,4616.0
3900416,4497.0
3920896,4723.2001953125
3940352,5065.2001953125
3960832,4430.39990234375
3980288,4762.0
4000768,4677.7998046875
4020224,4654.60009765625
4040704,4980.2001953125
4060160,4710.0
4080640,4678.60009765625
