Step,Value
20480,720.0
40960,1900.0
60416,2160.0
80896,3100.0
100352,2720.0
120832,3680.0
140288,5880.0
160768,5080.0
180224,5700.0
200704,5260.0
220160,5460.0
240640,5380.0
260096,4960.0
280576,5420.0
300032,6440.0
320512,4300.0
340992,3920.0
360448,4740.0
380928,3920.0
400384,4180.0
420864,4340.0
440320,4760.0
460800,4460.0
480256,5060.0
500736,5360.0
520192,4160.0
540672,3760.0
560128,3840.0
580608,4280.0
600064,3680.0
620544,4280.0
640000,4720.0
660480,3820.0
680960,4000.0
700416,3120.0
720896,4940.0
740352,5460.0
760832,4900.0
780288,3560.0
800768,5400.0
820224,4520.0
840704,4480.0
860160,5840.0
880640,4900.0
900096,5900.0
920576,4840.0
940032,5200.0
960512,5540.0
980992,5020.0
1000448,4360.0
1020928,8780.0
1040384,6520.0
1060864,6580.0
1080320,5440.0
1100800,6340.0
1120256,6900.0
1140736,6920.0
1160192,6320.0
1180672,8240.0
1200128,8260.0
1220608,10740.0
1240064,6700.0
1260544,9720.0
1280000,8520.0
1300480,7060.0
1320960,7880.0
1340416,7500.0
1360896,6080.0
1380352,6720.0
1400832,9480.0
1420288,9240.0
1440768,7740.0
1460224,7480.0
1480704,8320.0
1500160,7500.0
1520640,7760.0
1540096,6480.0
1560576,6220.0
1580032,5660.0
1600512,7600.0
1620992,7600.0
1640448,9760.0
1660928,8580.0
1680384,9360.0
1700864,10440.0
1720320,11620.0
1740800,11060.0
1760256,11920.0
1780736,11040.0
1800192,9780.0
1820672,10660.0
1840128,8700.0
1860608,9900.0
1880064,8820.0
1900544,6620.0
1920000,6820.0
1940480,6000.0
1960960,6360.0
1980416,7400.0
2000896,5840.0
2020352,7260.0
2040832,7100.0
2060288,7360.0
2080768,8900.0
2100224,7400.0
2120704,8020.0
2140160,8020.0
2160640,8880.0
2180096,9100.0
2200576,9060.0
2220032,9700.0
2240512,9320.0
2260992,6960.0
2280448,10140.0
2300928,9220.0
2320384,8420.0
2340864,8300.0
2360320,11640.0
2380800,9180.0
2400256,7500.0
2420736,9960.0
2440192,10460.0
2460672,8260.0
2480128,13340.0
2500608,8420.0
2520064,12320.0
2540544,10000.0
2560000,8500.0
2580480,8220.0
2600960,11200.0
2620416,7040.0
2640896,4760.0
2660352,8720.0
2680832,6400.0
2700288,8160.0
2720768,8320.0
2740224,6200.0
2760704,10200.0
2780160,7280.0
2800640,12340.0
2820096,10740.0
2840576,7600.0
2860032,9500.0
2880512,10940.0
2900992,9920.0
2920448,8640.0
2940928,10780.0
2960384,8540.0
2980864,8500.0
3000320,9840.0
3020800,10300.0
3040256,11680.0
3060736,9540.0
3080192,11980.0
3100672,9220.0
3120128,7780.0
3140608,8680.0
3160064,8980.0
3180544,8480.0
3200000,9700.0
3220480,9400.0
3240960,8640.0
3260416,8580.0
3280896,6740.0
3300352,11240.0
3320832,10600.0
3340288,9820.0
3360768,9120.0
3380224,7460.0
3400704,11140.0
3420160,8260.0
3440640,10300.0
3460096,10300.0
3480576,10300.0
3500032,9760.0
3520512,9240.0
3540992,8640.0
3560448,9460.0
3580928,8080.0
3600384,9680.0
3620864,13400.0
3640320,10200.0
3660800,12540.0
3680256,8140.0
3700736,9420.0
3720192,10300.0
3740672,6480.0
3760128,7600.0
3780608,7480.0
3800064,14260.0
3820544,15160.0
3840000,12340.0
3860480,11620.0
3880960,10100.0
3900416,13180.0
3920896,14420.0
3940352,12140.0
3960832,10700.0
3980288,12580.0
4000768,10020.0
4020224,9820.0
4040704,12200.0
4060160,10900.0
4080640,9640.0
4100096,11320.0
4120576,10140.0
4140032,12560.0
4160512,9360.0
4180992,12040.0
4200448,10900.0
4220928,10840.0
4240384,10340.0
4260864,13900.0
4280320,10600.0
4300800,9060.0
4320256,14280.0
4340736,11640.0
4360192,11300.0
4380672,12860.0
4400128,11720.0
4420608,10820.0
4440064,9900.0
4460544,10720.0
4480000,10500.0
4500480,10560.0
4520960,10280.0
4540416,12020.0
4560896,10800.0
4580352,9600.0
4600832,9840.0
4620288,15120.0
4640768,12140.0
4660224,12360.0
4680704,10100.0
4700160,14760.0
4720640,11000.0
4740096,15700.0
4760576,10000.0
4780032,10540.0
4800512,12480.0
4820992,11520.0
4840448,8780.0
4860928,8600.0
4880384,13020.0
4900864,14100.0
4920320,12440.0
4940800,12460.0
4960256,11160.0
4980736,15060.0
5000192,13280.0
