Step,Value
20480,2162.0
40960,2036.0
60416,2242.0
80896,2214.0
100352,2288.0
120832,2330.0
140288,2660.0
160768,2128.0
180224,3474.0
200704,2764.0
220160,2254.0
240640,2304.0
260096,2586.0
280576,2388.0
300032,2002.0
320512,1684.0
340992,2080.0
360448,2060.0
380928,2396.0
400384,2612.0
420864,2940.0
440320,2496.0
460800,2322.0
480256,2500.0
500736,2092.0
520192,2416.0
540672,2492.0
560128,1732.0
580608,2556.0
600064,1532.0
620544,2300.0
640000,2684.0
660480,2322.0
680960,2484.0
700416,2206.0
720896,2578.0
740352,2332.0
760832,2340.0
780288,1592.0
800768,3208.0
820224,1814.0
840704,2924.0
860160,2886.0
880640,2554.0
900096,1938.0
920576,2070.0
940032,3116.0
960512,1796.0
980992,2550.0
1000448,2490.0
1020928,2608.0
1040384,2570.0
1060864,1994.0
1080320,2444.0
1100800,2132.0
1120256,2584.0
1140736,1994.0
1160192,2702.0
1180672,2262.0
1200128,2610.0
1220608,2104.0
1240064,1792.0
1260544,2902.0
1280000,2726.0
1300480,3022.0
1320960,2496.0
1340416,2440.0
1360896,1572.0
1380352,2538.0
1400832,2628.0
1420288,2052.0
1440768,1608.0
1460224,1806.0
1480704,2924.0
1500160,2334.0
1520640,2156.0
1540096,3016.0
1560576,2474.0
1580032,1736.0
1600512,2798.0
1620992,1922.0
1640448,2004.0
1660928,2878.0
1680384,2364.0
1700864,3566.0
1720320,2264.0
1740800,2484.0
1760256,2656.0
1780736,2790.0
1800192,2672.0
1820672,2964.0
1840128,2162.0
1860608,3058.0
1880064,2774.0
1900544,2062.0
1920000,3164.0
1940480,2416.0
1960960,3022.0
1980416,3084.0
2000896,2822.0
2020352,1708.0
2040832,2368.0
2060288,1762.0
2080768,2626.0
2100224,2628.0
2120704,2284.0
2140160,3628.0
2160640,3242.0
2180096,3008.0
2200576,2058.0
2220032,2438.0
2240512,2492.0
2260992,2336.0
2280448,3468.0
2300928,2510.0
2320384,3128.0
2340864,2164.0
2360320,1966.0
2380800,2848.0
2400256,3350.0
2420736,3078.0
2440192,2850.0
2460672,2822.0
2480128,3264.0
2500608,2770.0
2520064,2770.0
2540544,3242.0
2560000,2292.0
2580480,3874.0
2600960,3252.0
2620416,3486.0
2640896,3274.0
2660352,3614.0
2680832,3414.0
2700288,3838.0
2720768,3536.0
2740224,2138.0
2760704,3704.0
2780160,3310.0
2800640,2644.0
2820096,2200.0
2840576,2544.0
2860032,3900.0
2880512,2672.0
2900992,2722.0
2920448,3912.0
2940928,2726.0
2960384,2618.0
2980864,3534.0
3000320,3192.0
3020800,3200.0
3040256,3894.0
3060736,3404.0
3080192,2034.0
3100672,3194.0
3120128,2746.0
3140608,3990.0
3160064,4254.0
3180544,4184.0
3200000,3408.0
3220480,4504.0
3240960,4054.0
3260416,4548.0
3280896,3028.0
3300352,2828.0
3320832,3612.0
3340288,2354.0
3360768,2046.0
3380224,3982.0
3400704,2904.0
3420160,2916.0
3440640,2764.0
3460096,3168.0
3480576,2428.0
3500032,1752.0
3520512,2952.0
3540992,2582.0
3560448,3728.0
3580928,2756.0
3600384,3096.0
3620864,3474.0
3640320,3300.0
3660800,3258.0
3680256,4122.0
3700736,4326.0
3720192,3576.0
3740672,2898.0
3760128,3630.0
3780608,2438.0
3800064,3040.0
3820544,3634.0
3840000,3508.0
3860480,2968.0
3880960,4744.0
3900416,3110.0
3920896,3842.0
3940352,3192.0
3960832,3546.0
3980288,3160.0
4000768,3926.0
4020224,3954.0
4040704,3680.0
4060160,3918.0
4080640,4794.0
4100096,3792.0
4120576,4448.0
4140032,3958.0
4160512,4074.0
4180992,3646.0
4200448,4794.0
4220928,3406.0
4240384,5172.0
4260864,4274.0
4280320,4210.0
4300800,3856.0
4320256,4318.0
4340736,3066.0
4360192,3998.0
4380672,3776.0
4400128,3694.0
4420608,3796.0
4440064,3924.0
4460544,4618.0
4480000,4136.0
4500480,3530.0
4520960,3282.0
4540416,4598.0
4560896,3594.0
4580352,5092.0
4600832,4036.0
4620288,3898.0
4640768,4678.0
4660224,3410.0
4680704,3828.0
4700160,3284.0
4720640,4160.0
4740096,3886.0
4760576,4428.0
4780032,3590.0
4800512,2646.0
4820992,2384.0
4840448,4130.0
4860928,3970.0
4880384,3788.0
4900864,2534.0
4920320,4312.0
4940800,3340.0
4960256,3588.0
4980736,3632.0
5000192,3898.0
