Step,Value
20480,2418.0
40960,2486.0
60416,1854.0
80896,2988.0
100352,1796.0
120832,1884.0
140288,2116.0
160768,2350.0
180224,2194.0
200704,2682.0
220160,3188.0
240640,2278.0
260096,2182.0
280576,1750.0
300032,1808.0
320512,2062.0
340992,2950.0
360448,2296.0
380928,1912.0
400384,2798.0
420864,1542.0
440320,2258.0
460800,2658.0
480256,2336.0
500736,2312.0
520192,2590.0
540672,3012.0
560128,2002.0
580608,1584.0
600064,2908.0
620544,2406.0
640000,2400.0
660480,2764.0
680960,2768.0
700416,2482.0
720896,2052.0
740352,2878.0
760832,1838.0
780288,2728.0
800768,2656.0
820224,1924.0
840704,2456.0
860160,2208.0
880640,1762.0
900096,2838.0
920576,2018.0
940032,2388.0
960512,1914.0
980992,3304.0
1000448,2362.0
1020928,2610.0
1040384,2828.0
1060864,2792.0
1080320,2356.0
1100800,2852.0
1120256,2622.0
1140736,2200.0
1160192,3130.0
1180672,2538.0
1200128,2232.0
1220608,2692.0
1240064,2172.0
1260544,2318.0
1280000,2284.0
1300480,2624.0
1320960,3004.0
1340416,1892.0
1360896,2892.0
1380352,3180.0
1400832,2756.0
1420288,2228.0
1440768,2058.0
1460224,2606.0
1480704,2816.0
1500160,3002.0
1520640,2706.0
1540096,1828.0
1560576,2466.0
1580032,1854.0
1600512,2532.0
1620992,2882.0
1640448,2918.0
1660928,3382.0
1680384,2910.0
1700864,2666.0
1720320,3396.0
1740800,2278.0
1760256,3090.0
1780736,2982.0
1800192,2772.0
1820672,3046.0
1840128,3466.0
1860608,2450.0
1880064,2792.0
1900544,3136.0
1920000,3406.0
1940480,2950.0
1960960,3138.0
1980416,3884.0
2000896,3496.0
2020352,3308.0
2040832,3634.0
2060288,4042.0
2080768,3666.0
2100224,3688.0
2120704,3962.0
2140160,3174.0
2160640,4324.0
2180096,5040.0
2200576,5008.0
2220032,4314.0
2240512,4402.0
2260992,4648.0
2280448,3870.0
2300928,3646.0
2320384,4408.0
2340864,4470.0
2360320,4438.0
2380800,4582.0
2400256,5168.0
2420736,4108.0
2440192,4108.0
2460672,4980.0
2480128,4344.0
2500608,3878.0
2520064,4322.0
2540544,4208.0
2560000,5206.0
2580480,4556.0
2600960,4206.0
2620416,4188.0
2640896,3872.0
2660352,3476.0
2680832,4828.0
2700288,5096.0
2720768,4578.0
2740224,4704.0
2760704,5162.0
2780160,4772.0
2800640,4992.0
2820096,4764.0
2840576,4206.0
2860032,4966.0
2880512,5610.0
2900992,5236.0
2920448,5286.0
2940928,4734.0
2960384,4690.0
2980864,5162.0
3000320,5842.0
3020800,4672.0
3040256,5386.0
3060736,5242.0
3080192,5296.0
3100672,5098.0
3120128,4402.0
3140608,5258.0
3160064,4878.0
3180544,4814.0
3200000,5018.0
3220480,4926.0
3240960,5152.0
3260416,5222.0
3280896,5198.0
3300352,5778.0
3320832,4994.0
3340288,4892.0
3360768,4832.0
3380224,5080.0
3400704,5722.0
3420160,4588.0
3440640,5560.0
3460096,5002.0
3480576,5038.0
3500032,5502.0
3520512,5154.0
3540992,5216.0
3560448,4798.0
3580928,5716.0
3600384,5206.0
3620864,5590.0
3640320,5252.0
3660800,4752.0
3680256,5000.0
3700736,5024.0
3720192,5264.0
3740672,5162.0
3760128,5652.0
3780608,4870.0
3800064,5776.0
3820544,5044.0
3840000,5716.0
3860480,5244.0
3880960,5364.0
3900416,5308.0
3920896,5244.0
3940352,5430.0
3960832,5354.0
3980288,5316.0
4000768,5744.0
4020224,5400.0
4040704,4936.0
4060160,5412.0
4080640,5418.0
4100096,5250.0
4120576,5548.0
4140032,4616.0
4160512,5704.0
4180992,5870.0
4200448,5506.0
4220928,5048.0
4240384,5128.0
4260864,5352.0
4280320,5710.0
4300800,5610.0
4320256,5378.0
4340736,5830.0
4360192,6236.0
4380672,5350.0
4400128,5968.0
4420608,6128.0
4440064,5532.0
4460544,4802.0
4480000,5234.0
4500480,5382.0
4520960,5832.0
4540416,5386.0
4560896,5726.0
4580352,5622.0
4600832,5766.0
4620288,5706.0
4640768,5084.0
4660224,5102.0
4680704,6030.0
4700160,5372.0
4720640,5310.0
4740096,5004.0
4760576,5158.0
4780032,5434.0
4800512,5844.0
4820992,5528.0
4840448,6064.0
4860928,6276.0
4880384,5746.0
4900864,5878.0
4920320,6048.0
4940800,5572.0
4960256,5856.0
4980736,5450.0
5000192,5194.0
