Step,Value
20480,-29.200000762939453
40960,-138.39999389648438
60416,-299.79998779296875
80896,-140.0
100352,-237.0
120832,-263.6000061035156
140288,-4.800000190734863
160768,-22.200000762939453
180224,-40.0
200704,-63.599998474121094
220160,-31.0
240640,-8.800000190734863
260096,-31.399999618530273
280576,-24.799999237060547
300032,-61.0
320512,-361.0
340992,-60.0
360448,0.0
380928,-35.79999923706055
400384,-14.600000381469727
420864,-12.399999618530273
440320,-10.600000381469727
460800,-7.800000190734863
480256,-9.600000381469727
500736,-55.79999923706055
520192,-1.0
540672,-1.399999976158142
560128,-44.400001525878906
580608,-2.0
600064,-7.800000190734863
620544,-13.600000381469727
640000,-9.600000381469727
660480,-46.20000076293945
680960,-3.799999952316284
700416,-2.0
720896,-1.600000023841858
740352,-7.599999904632568
760832,-7.400000095367432
780288,-19.399999618530273
800768,-1.600000023841858
820224,-31.600000381469727
840704,-6.599999904632568
860160,-13.399999618530273
880640,-30.0
900096,-5.199999809265137
920576,-21.0
940032,-9.600000381469727
960512,-2.4000000953674316
980992,-5.199999809265137
1000448,-13.600000381469727
1020928,-860.0
1040384,-224.8000030517578
1060864,-180.39999389648438
1080320,-92.0
1100800,0.0
1120256,-80.4000015258789
1140736,-259.6000061035156
1160192,-72.19999694824219
1180672,-30.399999618530273
1200128,-39.0
1220608,0.0
1240064,0.0
1260544,-189.1999969482422
1280000,-33.599998474121094
1300480,0.0
1320960,-38.20000076293945
1340416,-143.1999969482422
1360896,-288.79998779296875
1380352,-367.20001220703125
1400832,-65.4000015258789
1420288,-43.79999923706055
1440768,-65.0
1460224,-80.0
1480704,-196.8000030517578
1500160,-383.6000061035156
1520640,-17.200000762939453
1540096,-166.0
1560576,-123.4000015258789
1580032,-18.399999618530273
1600512,-142.1999969482422
1620992,-9.600000381469727
1640448,-26.399999618530273
1660928,-19.799999237060547
1680384,-29.200000762939453
1700864,-51.20000076293945
1720320,-60.0
1740800,-40.0
1760256,-80.0
1780736,-40.0
1800192,0.0
1820672,-46.0
1840128,-58.400001525878906
1860608,-80.5999984741211
1880064,-29.600000381469727
1900544,-161.60000610351562
1920000,-20.0
1940480,-71.4000015258789
1960960,0.0
1980416,-20.0
2000896,-20.0
2020352,-81.4000015258789
2040832,-213.1999969482422
2060288,-113.19999694824219
2080768,-49.400001525878906
2100224,0.0
2120704,-20.0
2140160,-40.0
2160640,-40.0
2180096,-46.599998474121094
2200576,-196.0
2220032,-157.60000610351562
2240512,-197.8000030517578
2260992,-60.0
2280448,-321.79998779296875
2300928,-183.39999389648438
2320384,-211.60000610351562
2340864,-232.8000030517578
2360320,-517.0
2380800,-337.6000061035156
2400256,-102.0
2420736,-600.7999877929688
2440192,-106.80000305175781
2460672,-245.0
2480128,-35.0
2500608,-4.0
2520064,-368.79998779296875
2540544,-49.20000076293945
2560000,-75.0
2580480,-48.0
2600960,-148.8000030517578
2620416,-13.600000381469727
2640896,-29.0
2660352,-88.4000015258789
2680832,-38.79999923706055
2700288,-1.7999999523162842
2720768,-1.2000000476837158
2740224,-4.800000190734863
2760704,-61.0
2780160,-3.4000000953674316
2800640,-83.80000305175781
2820096,-99.0
2840576,-9.399999618530273
2860032,-21.600000381469727
2880512,-73.80000305175781
2900992,-493.3999938964844
2920448,-60.0
2940928,-7.400000095367432
2960384,-29.600000381469727
2980864,-11.399999618530273
3000320,0.0
3020800,-10.0
3040256,-51.0
3060736,-65.80000305175781
3080192,-3.4000000953674316
3100672,0.0
3120128,-7.400000095367432
3140608,-2.799999952316284
3160064,-10.600000381469727
3180544,-3.4000000953674316
3200000,-21.399999618530273
3220480,-6.0
3240960,-5.199999809265137
3260416,-20.200000762939453
3280896,-4.800000190734863
3300352,-9.0
3320832,-16.200000762939453
3340288,-9.600000381469727
3360768,-6.400000095367432
3380224,-4.800000190734863
3400704,-7.400000095367432
3420160,-4.800000190734863
3440640,-13.800000190734863
3460096,-5.199999809265137
3480576,-9.800000190734863
3500032,-3.4000000953674316
3520512,-8.199999809265137
3540992,-16.0
3560448,-21.799999237060547
3580928,-15.800000190734863
3600384,-6.599999904632568
3620864,-31.799999237060547
3640320,-14.399999618530273
3660800,-8.199999809265137
3680256,-7.0
3700736,-9.600000381469727
3720192,-4.800000190734863
3740672,-9.199999809265137
3760128,-7.400000095367432
3780608,-8.800000190734863
3800064,-7.0
3820544,-10.0
3840000,-28.200000762939453
3860480,-1.7999999523162842
3880960,-7.0
3900416,-6.599999904632568
3920896,-1.7999999523162842
3940352,-14.800000190734863
3960832,-8.199999809265137
3980288,0.0
4000768,-7.0
4020224,-19.600000381469727
4040704,-14.600000381469727
4060160,-4.800000190734863
4080640,-13.0
4100096,-9.600000381469727
4120576,-30.0
4140032,-14.0
4160512,0.0
4180992,-18.200000762939453
4200448,-7.400000095367432
4220928,-10.800000190734863
4240384,-13.0
4260864,-7.599999904632568
4280320,-5.800000190734863
4300800,-5.599999904632568
4320256,-5.199999809265137
4340736,-3.799999952316284
4360192,-13.600000381469727
4380672,-9.399999618530273
4400128,-130.0
4420608,-6.599999904632568
4440064,-14.600000381469727
4460544,-15.199999809265137
4480000,-14.800000190734863
4500480,-4.400000095367432
4520960,-10.0
4540416,-4.800000190734863
4560896,-13.0
4580352,-9.0
4600832,0.0
4620288,-7.800000190734863
4640768,-9.800000190734863
4660224,-10.0
4680704,-12.600000381469727
4700160,-4.800000190734863
4720640,-2.5999999046325684
4740096,-13.800000190734863
4760576,-10.0
4780032,-2.799999952316284
4800512,-5.199999809265137
4820992,-5.199999809265137
4840448,0.0
4860928,-9.600000381469727
4880384,-51.79999923706055
4900864,-9.0
4920320,-69.5999984741211
4940800,-3.5999999046325684
4960256,-13.399999618530273
4980736,-6.199999809265137
5000192,-4.199999809265137
