Step,Value
20480,155.0
40960,310.0
60416,440.0
80896,305.0
100352,270.0
120832,260.0
140288,320.0
160768,330.0
180224,290.0
200704,275.0
220160,315.0
240640,295.0
260096,285.0
280576,280.0
300032,295.0
320512,245.0
340992,320.0
360448,305.0
380928,280.0
400384,285.0
420864,300.0
440320,335.0
460800,325.0
480256,270.0
500736,375.0
520192,275.0
540672,285.0
560128,280.0
580608,280.0
600064,315.0
620544,275.0
640000,295.0
660480,255.0
680960,385.0
700416,370.0
720896,280.0
740352,290.0
760832,370.0
780288,380.0
800768,330.0
820224,280.0
840704,305.0
860160,480.0
880640,615.0
900096,500.0
920576,355.0
940032,275.0
960512,375.0
980992,415.0
1000448,695.0
1020928,435.0
1040384,420.0
1060864,540.0
1080320,445.0
1100800,375.0
1120256,460.0
1140736,490.0
1160192,485.0
1180672,500.0
1200128,420.0
1220608,495.0
1240064,430.0
1260544,425.0
1280000,575.0
1300480,450.0
1320960,405.0
1340416,515.0
1360896,595.0
1380352,630.0
1400832,505.0
1420288,495.0
1440768,420.0
1460224,455.0
1480704,485.0
1500160,560.0
1520640,505.0
1540096,555.0
1560576,580.0
1580032,585.0
1600512,545.0
1620992,505.0
1640448,485.0
1660928,460.0
1680384,490.0
1700864,555.0
1720320,810.0
1740800,385.0
1760256,505.0
1780736,655.0
1800192,635.0
1820672,475.0
1840128,635.0
1860608,620.0
1880064,595.0
1900544,475.0
1920000,620.0
1940480,565.0
1960960,505.0
1980416,595.0
2000896,620.0
2020352,635.0
2040832,465.0
2060288,715.0
2080768,535.0
2100224,550.0
2120704,665.0
2140160,650.0
2160640,830.0
2180096,675.0
2200576,745.0
2220032,725.0
2240512,640.0
2260992,700.0
2280448,780.0
2300928,775.0
2320384,805.0
2340864,730.0
2360320,830.0
2380800,935.0
2400256,825.0
2420736,855.0
2440192,685.0
2460672,780.0
2480128,780.0
2500608,755.0
2520064,870.0
2540544,700.0
2560000,755.0
2580480,685.0
2600960,760.0
2620416,840.0
2640896,850.0
2660352,775.0
2680832,780.0
2700288,855.0
2720768,865.0
2740224,905.0
2760704,1565.0
2780160,885.0
2800640,835.0
2820096,885.0
2840576,775.0
2860032,970.0
2880512,1590.0
2900992,2180.0
2920448,810.0
2940928,1500.0
2960384,900.0
2980864,1005.0
3000320,935.0
3020800,865.0
3040256,745.0
3060736,865.0
3080192,750.0
3100672,945.0
3120128,870.0
3140608,965.0
3160064,955.0
3180544,875.0
3200000,970.0
3220480,855.0
3240960,900.0
3260416,870.0
3280896,935.0
3300352,775.0
3320832,750.0
3340288,1090.0
3360768,795.0
3380224,1530.0
3400704,705.0
3420160,730.0
3440640,1030.0
3460096,880.0
3480576,735.0
3500032,770.0
3520512,815.0
3540992,1085.0
3560448,770.0
3580928,895.0
3600384,785.0
3620864,835.0
3640320,1460.0
3660800,1515.0
3680256,2295.0
3700736,1340.0
3720192,665.0
3740672,675.0
3760128,710.0
3780608,875.0
3800064,755.0
3820544,560.0
3840000,675.0
3860480,680.0
3880960,695.0
3900416,745.0
3920896,1015.0
3940352,845.0
3960832,800.0
3980288,890.0
4000768,760.0
4020224,760.0
4040704,775.0
4060160,875.0
4080640,710.0
4100096,790.0
4120576,785.0
4140032,740.0
4160512,1470.0
4180992,830.0
4200448,780.0
4220928,775.0
4240384,775.0
4260864,775.0
4280320,1430.0
4300800,765.0
4320256,1460.0
4340736,680.0
4360192,1660.0
4380672,760.0
4400128,805.0
4420608,915.0
4440064,1510.0
4460544,890.0
4480000,1525.0
4500480,1010.0
4520960,760.0
4540416,975.0
4560896,935.0
4580352,880.0
4600832,830.0
4620288,1015.0
4640768,790.0
4660224,710.0
4680704,2270.0
4700160,875.0
4720640,870.0
4740096,845.0
4760576,1465.0
4780032,1520.0
4800512,820.0
4820992,800.0
4840448,715.0
4860928,905.0
4880384,1460.0
4900864,1635.0
4920320,1535.0
4940800,1560.0
4960256,1565.0
4980736,1665.0
5000192,905.0
