Step,Value
20480,1486.0
40960,1450.0
60416,1338.0
80896,1248.0
100352,1580.0
120832,1944.0
140288,1916.0
160768,1470.0
180224,1972.0
200704,1554.0
220160,1704.0
240640,1570.0
260096,1750.0
280576,1900.0
300032,2098.0
320512,1784.0
340992,1794.0
360448,2046.0
380928,1882.0
400384,2012.0
420864,1760.0
440320,1706.0
460800,1830.0
480256,2004.0
500736,2322.0
520192,2176.0
540672,2096.0
560128,2368.0
580608,2322.0
600064,2120.0
620544,2194.0
640000,2452.0
660480,2358.0
680960,2132.0
700416,1800.0
720896,2716.0
740352,2296.0
760832,2256.0
780288,2394.0
800768,2668.0
820224,2026.0
840704,2446.0
860160,2414.0
880640,2378.0
900096,2448.0
920576,2564.0
940032,2316.0
960512,2468.0
980992,2420.0
1000448,2664.0
1020928,2288.0
1040384,2442.0
1060864,2508.0
1080320,2388.0
1100800,2488.0
1120256,2554.0
1140736,2404.0
1160192,2292.0
1180672,2428.0
1200128,2446.0
1220608,2512.0
1240064,2320.0
1260544,2416.0
1280000,2542.0
1300480,2378.0
1320960,2596.0
1340416,2316.0
1360896,2466.0
1380352,2470.0
1400832,2506.0
1420288,2478.0
1440768,2508.0
1460224,2504.0
1480704,2512.0
1500160,2598.0
1520640,2484.0
1540096,2410.0
1560576,2386.0
1580032,2684.0
1600512,2472.0
1620992,2798.0
1640448,2636.0
1660928,2370.0
1680384,2742.0
1700864,2510.0
1720320,2678.0
1740800,2548.0
1760256,2318.0
1780736,2358.0
1800192,2520.0
1820672,2584.0
1840128,2674.0
1860608,2668.0
1880064,2686.0
1900544,2542.0
1920000,2732.0
1940480,2614.0
1960960,2676.0
1980416,2554.0
2000896,2552.0
2020352,2654.0
2040832,2580.0
2060288,2602.0
2080768,2714.0
2100224,2774.0
2120704,2554.0
2140160,2628.0
2160640,2608.0
2180096,2768.0
2200576,2700.0
2220032,2462.0
2240512,2640.0
2260992,2756.0
2280448,2888.0
2300928,2800.0
2320384,2892.0
2340864,2652.0
2360320,2748.0
2380800,2742.0
2400256,2674.0
2420736,2674.0
2440192,2642.0
2460672,2558.0
2480128,2910.0
2500608,2574.0
2520064,2566.0
2540544,2808.0
2560000,2888.0
2580480,2642.0
2600960,2960.0
2620416,2772.0
2640896,2530.0
2660352,2676.0
2680832,2774.0
2700288,2816.0
2720768,2692.0
2740224,2592.0
2760704,2748.0
2780160,2770.0
2800640,2942.0
2820096,2774.0
2840576,2874.0
2860032,2712.0
2880512,2850.0
2900992,2792.0
2920448,2814.0
2940928,2676.0
2960384,2800.0
2980864,2734.0
3000320,2796.0
3020800,2818.0
3040256,2918.0
3060736,2850.0
3080192,2804.0
3100672,2764.0
3120128,2882.0
3140608,2898.0
3160064,2924.0
3180544,2818.0
3200000,2756.0
3220480,2802.0
3240960,2834.0
3260416,2826.0
3280896,3016.0
3300352,2864.0
3320832,2846.0
3340288,2720.0
3360768,2894.0
3380224,2900.0
3400704,2926.0
3420160,2670.0
3440640,3062.0
3460096,2982.0
3480576,2826.0
3500032,2696.0
3520512,2964.0
3540992,2916.0
3560448,2878.0
3580928,2794.0
3600384,2938.0
3620864,2786.0
3640320,2950.0
3660800,2860.0
3680256,2774.0
3700736,2900.0
3720192,2640.0
3740672,2824.0
3760128,2884.0
3780608,2752.0
3800064,2966.0
3820544,3000.0
3840000,2712.0
3860480,2966.0
3880960,2934.0
3900416,2970.0
3920896,3234.0
3940352,2910.0
3960832,2972.0
3980288,2956.0
4000768,2900.0
4020224,2886.0
4040704,2900.0
4060160,2946.0
4080640,2958.0
4100096,2884.0
4120576,2988.0
4140032,2968.0
4160512,2678.0
4180992,2992.0
4200448,2674.0
4220928,2960.0
4240384,2914.0
4260864,2868.0
4280320,2864.0
4300800,2862.0
4320256,3070.0
4340736,2748.0
4360192,3134.0
4380672,3026.0
4400128,2790.0
4420608,2990.0
4440064,3072.0
4460544,3012.0
4480000,2958.0
4500480,3056.0
4520960,2972.0
4540416,3056.0
4560896,2896.0
4580352,2980.0
4600832,3022.0
4620288,2854.0
4640768,3010.0
4660224,2918.0
4680704,3016.0
4700160,3004.0
4720640,3078.0
4740096,2992.0
4760576,2974.0
4780032,3266.0
4800512,3018.0
4820992,3236.0
4840448,3072.0
4860928,2874.0
4880384,3000.0
4900864,2944.0
4920320,2950.0
4940800,3026.0
4960256,3014.0
4980736,3134.0
5000192,3056.0
