Step,Value
20480,0.0
40960,0.0
60416,0.0
80896,0.0
100352,0.0
120832,0.0
140288,0.0
160768,0.0
180224,140.0
200704,580.0
220160,980.0
240640,360.0
260096,920.0
280576,2060.0
300032,2200.0
320512,240.0
340992,2420.0
360448,1200.0
380928,1200.0
400384,980.0
420864,2580.0
440320,2460.0
460800,1600.0
480256,2400.0
500736,1460.0
520192,2140.0
540672,1340.0
560128,2080.0
580608,2540.0
600064,2540.0
620544,1560.0
640000,2160.0
660480,2520.0
680960,3100.0
700416,2260.0
720896,2200.0
740352,3040.0
760832,2800.0
780288,3140.0
800768,2840.0
820224,2620.0
840704,2900.0
860160,2960.0
880640,3080.0
900096,2040.0
920576,2720.0
940032,2120.0
960512,2500.0
980992,3360.0
1000448,2820.0
1020928,2540.0
1040384,4800.0
1060864,4000.0
1080320,5440.0
1100800,5040.0
1120256,4900.0
1140736,4980.0
1160192,5500.0
1180672,8880.0
1200128,6620.0
1220608,6460.0
1240064,7440.0
1260544,9100.0
1280000,7340.0
1300480,9900.0
1320960,8700.0
1340416,11160.0
1360896,10400.0
1380352,10460.0
1400832,11660.0
1420288,12800.0
1440768,10800.0
1460224,10740.0
1480704,10220.0
1500160,9080.0
1520640,8460.0
1540096,13180.0
1560576,12660.0
1580032,8240.0
1600512,11140.0
1620992,12400.0
1640448,12340.0
1660928,13680.0
1680384,9060.0
1700864,10340.0
1720320,14440.0
1740800,14120.0
1760256,13220.0
1780736,11340.0
1800192,12680.0
1820672,16200.0
1840128,10480.0
1860608,12640.0
1880064,13200.0
1900544,13560.0
1920000,15660.0
1940480,17520.0
1960960,12980.0
1980416,12020.0
2000896,15580.0
2020352,14940.0
2040832,14840.0
2060288,17460.0
2080768,17420.0
2100224,17480.0
2120704,13640.0
2140160,15720.0
2160640,15960.0
2180096,18180.0
2200576,16480.0
2220032,18800.0
2240512,14340.0
2260992,19640.0
2280448,16700.0
2300928,14480.0
2320384,16880.0
2340864,17500.0
2360320,19620.0
2380800,16680.0
2400256,16260.0
2420736,18700.0
2440192,18280.0
2460672,15420.0
2480128,16700.0
2500608,16680.0
2520064,21140.0
2540544,16380.0
2560000,22480.0
2580480,21820.0
2600960,19180.0
2620416,21060.0
2640896,18680.0
2660352,21280.0
2680832,20040.0
2700288,18200.0
2720768,19520.0
2740224,16700.0
2760704,17140.0
2780160,17080.0
2800640,18760.0
2820096,16340.0
2840576,17960.0
2860032,17800.0
2880512,20440.0
2900992,18540.0
2920448,21340.0
2940928,23120.0
2960384,16660.0
2980864,20800.0
3000320,20200.0
3020800,18160.0
3040256,22060.0
3060736,19000.0
3080192,21380.0
3100672,23440.0
3120128,21680.0
3140608,22000.0
3160064,23960.0
3180544,20600.0
3200000,17820.0
3220480,22600.0
3240960,19200.0
3260416,22920.0
3280896,18480.0
3300352,16480.0
3320832,20560.0
3340288,19260.0
3360768,23200.0
3380224,20120.0
3400704,22500.0
3420160,20540.0
3440640,22020.0
3460096,22100.0
3480576,23460.0
3500032,19100.0
3520512,23220.0
3540992,20280.0
3560448,21220.0
3580928,14900.0
3600384,19880.0
3620864,25520.0
3640320,21100.0
3660800,22580.0
3680256,21820.0
3700736,19400.0
3720192,19520.0
3740672,20720.0
3760128,19240.0
3780608,20180.0
3800064,21480.0
3820544,20040.0
3840000,22120.0
3860480,24080.0
3880960,20980.0
3900416,20640.0
3920896,21340.0
3940352,20660.0
3960832,22880.0
3980288,19820.0
4000768,19640.0
4020224,23900.0
4040704,17040.0
4060160,21740.0
4080640,19220.0
4100096,25100.0
4120576,26120.0
4140032,22380.0
4160512,23340.0
4180992,25060.0
4200448,20440.0
4220928,22120.0
4240384,19480.0
4260864,20340.0
4280320,25620.0
4300800,22700.0
4320256,18840.0
4340736,19840.0
4360192,21160.0
4380672,22960.0
4400128,25680.0
4420608,22260.0
4440064,21080.0
4460544,20080.0
4480000,19960.0
4500480,23780.0
4520960,22260.0
4540416,21840.0
4560896,23920.0
4580352,22460.0
4600832,19320.0
4620288,22520.0
4640768,24160.0
4660224,26960.0
4680704,21560.0
4700160,22940.0
4720640,21680.0
4740096,24040.0
4760576,22080.0
4780032,30020.0
4800512,18120.0
4820992,23860.0
4840448,22920.0
4860928,22720.0
4880384,19940.0
4900864,25860.0
4920320,22060.0
4940800,21220.0
4960256,22660.0
4980736,23020.0
5000192,21600.0
