Step,Value
20480,256.0
40960,244.0
60416,368.0
80896,420.0
100352,492.0
120832,416.0
140288,360.0
160768,428.0
180224,464.0
200704,512.0
220160,448.0
240640,492.0
260096,432.0
280576,416.0
300032,388.0
320512,432.0
340992,484.0
360448,336.0
380928,436.0
400384,508.0
420864,512.0
440320,396.0
460800,536.0
480256,508.0
500736,480.0
520192,484.0
540672,616.0
560128,544.0
580608,564.0
600064,664.0
620544,548.0
640000,664.0
660480,656.0
680960,652.0
700416,732.0
720896,752.0
740352,792.0
760832,672.0
780288,752.0
800768,652.0
820224,540.0
840704,660.0
860160,776.0
880640,688.0
900096,784.0
920576,668.0
940032,740.0
960512,780.0
980992,776.0
1000448,792.0
1020928,780.0
1040384,776.0
1060864,576.0
1080320,692.0
1100800,656.0
1120256,780.0
1140736,748.0
1160192,672.0
1180672,764.0
1200128,768.0
1220608,824.0
1240064,764.0
1260544,760.0
1280000,796.0
1300480,792.0
1320960,664.0
1340416,668.0
1360896,820.0
1380352,804.0
1400832,752.0
1420288,748.0
1440768,828.0
1460224,704.0
1480704,780.0
1500160,824.0
1520640,832.0
1540096,828.0
1560576,804.0
1580032,776.0
1600512,832.0
1620992,780.0
1640448,812.0
1660928,816.0
1680384,840.0
1700864,744.0
1720320,800.0
1740800,792.0
1760256,800.0
1780736,840.0
1800192,772.0
1820672,860.0
1840128,864.0
1860608,756.0
1880064,872.0
1900544,876.0
1920000,868.0
1940480,876.0
1960960,856.0
1980416,856.0
2000896,868.0
2020352,868.0
2040832,884.0
2060288,764.0
2080768,864.0
2100224,860.0
2120704,880.0
2140160,876.0
2160640,876.0
2180096,884.0
2200576,888.0
2220032,880.0
2240512,868.0
2260992,876.0
2280448,824.0
2300928,884.0
2320384,868.0
2340864,888.0
2360320,876.0
2380800,868.0
2400256,884.0
2420736,884.0
2440192,880.0
2460672,856.0
2480128,876.0
2500608,884.0
2520064,888.0
2540544,880.0
2560000,872.0
2580480,880.0
2600960,872.0
2620416,888.0
2640896,856.0
2660352,880.0
2680832,864.0
2700288,880.0
2720768,880.0
2740224,836.0
2760704,876.0
2780160,880.0
2800640,888.0
2820096,868.0
2840576,880.0
2860032,880.0
2880512,864.0
2900992,884.0
2920448,864.0
2940928,880.0
2960384,880.0
2980864,856.0
3000320,892.0
3020800,864.0
3040256,888.0
3060736,892.0
3080192,884.0
3100672,880.0
3120128,904.0
3140608,896.0
3160064,888.0
3180544,896.0
3200000,856.0
3220480,876.0
3240960,896.0
3260416,888.0
3280896,892.0
3300352,888.0
3320832,892.0
3340288,888.0
3360768,892.0
3380224,896.0
3400704,892.0
3420160,896.0
3440640,880.0
3460096,880.0
3480576,884.0
3500032,880.0
3520512,900.0
3540992,896.0
3560448,884.0
3580928,860.0
3600384,888.0
3620864,900.0
3640320,876.0
3660800,872.0
3680256,880.0
3700736,892.0
3720192,900.0
3740672,900.0
3760128,876.0
3780608,884.0
3800064,896.0
3820544,900.0
3840000,908.0
3860480,896.0
3880960,900.0
3900416,884.0
3920896,888.0
3940352,892.0
3960832,896.0
3980288,888.0
4000768,904.0
4020224,888.0
4040704,888.0
4060160,888.0
4080640,892.0
4100096,892.0
4120576,888.0
4140032,892.0
4160512,892.0
4180992,892.0
4200448,896.0
4220928,908.0
4240384,860.0
4260864,896.0
4280320,908.0
4300800,892.0
4320256,904.0
4340736,888.0
4360192,896.0
4380672,912.0
4400128,892.0
4420608,904.0
4440064,904.0
4460544,876.0
4480000,896.0
4500480,912.0
4520960,892.0
4540416,912.0
4560896,908.0
4580352,900.0
4600832,900.0
4620288,904.0
4640768,900.0
4660224,908.0
4680704,892.0
4700160,892.0
4720640,908.0
4740096,876.0
4760576,896.0
4780032,900.0
4800512,920.0
4820992,900.0
4840448,888.0
4860928,912.0
4880384,900.0
4900864,896.0
4920320,904.0
4940800,916.0
4960256,912.0
4980736,900.0
5000192,904.0
