Step,Value
20480,221.0
40960,223.0
60416,235.0
80896,112.0
100352,198.0
120832,220.0
140288,314.0
160768,296.0
180224,220.0
200704,229.0
220160,326.0
240640,192.0
260096,300.0
280576,264.0
300032,210.0
320512,204.0
340992,256.0
360448,217.0
380928,240.0
400384,309.0
420864,253.0
440320,247.0
460800,203.0
480256,280.0
500736,282.0
520192,184.0
540672,213.0
560128,362.0
580608,293.0
600064,257.0
620544,298.0
640000,239.0
660480,275.0
680960,170.0
700416,237.0
720896,370.0
740352,321.0
760832,254.0
780288,390.0
800768,251.0
820224,349.0
840704,313.0
860160,289.0
880640,348.0
900096,370.0
920576,366.0
940032,416.0
960512,415.0
980992,384.0
1000448,353.0
1020928,365.0
1040384,313.0
1060864,371.0
1080320,313.0
1100800,354.0
1120256,385.0
1140736,364.0
1160192,407.0
1180672,458.0
1200128,411.0
1220608,333.0
1240064,581.0
1260544,386.0
1280000,422.0
1300480,350.0
1320960,467.0
1340416,448.0
1360896,362.0
1380352,454.0
1400832,633.0
1420288,550.0
1440768,580.0
1460224,578.0
1480704,602.0
1500160,483.0
1520640,482.0
1540096,711.0
1560576,627.0
1580032,511.0
1600512,616.0
1620992,631.0
1640448,580.0
1660928,522.0
1680384,727.0
1700864,545.0
1720320,524.0
1740800,710.0
1760256,690.0
1780736,603.0
1800192,674.0
1820672,544.0
1840128,545.0
1860608,517.0
1880064,687.0
1900544,534.0
1920000,738.0
1940480,650.0
1960960,456.0
1980416,581.0
2000896,489.0
2020352,711.0
2040832,526.0
2060288,698.0
2080768,581.0
2100224,572.0
2120704,594.0
2140160,637.0
2160640,508.0
2180096,859.0
2200576,594.0
2220032,744.0
2240512,496.0
2260992,546.0
2280448,502.0
2300928,1026.0
2320384,619.0
2340864,566.0
2360320,523.0
2380800,685.0
2400256,561.0
2420736,653.0
2440192,652.0
2460672,553.0
2480128,621.0
2500608,1118.0
2520064,698.0
2540544,578.0
2560000,738.0
2580480,656.0
2600960,507.0
2620416,895.0
2640896,843.0
2660352,642.0
2680832,732.0
2700288,719.0
2720768,944.0
2740224,801.0
2760704,909.0
2780160,993.0
2800640,719.0
2820096,828.0
2840576,690.0
2860032,1186.0
2880512,682.0
2900992,780.0
2920448,962.0
2940928,789.0
2960384,608.0
2980864,1023.0
3000320,1051.0
3020800,706.0
3040256,786.0
3060736,659.0
3080192,1038.0
3100672,826.0
3120128,674.0
3140608,739.0
3160064,949.0
3180544,682.0
3200000,815.0
3220480,696.0
3240960,723.0
3260416,906.0
3280896,831.0
3300352,613.0
3320832,997.0
3340288,821.0
3360768,887.0
3380224,738.0
3400704,1043.0
3420160,851.0
3440640,620.0
3460096,597.0
3480576,832.0
3500032,1019.0
3520512,647.0
3540992,796.0
3560448,1215.0
3580928,823.0
3600384,628.0
3620864,637.0
3640320,621.0
3660800,1187.0
3680256,647.0
3700736,790.0
3720192,613.0
3740672,830.0
3760128,779.0
3780608,717.0
3800064,639.0
3820544,697.0
3840000,1005.0
3860480,781.0
3880960,912.0
3900416,959.0
3920896,625.0
3940352,629.0
3960832,860.0
3980288,987.0
4000768,731.0
4020224,819.0
4040704,890.0
4060160,843.0
4080640,682.0
4100096,597.0
4120576,1001.0
4140032,818.0
4160512,738.0
4180992,834.0
4200448,660.0
4220928,597.0
4240384,785.0
4260864,811.0
4280320,885.0
4300800,929.0
4320256,705.0
4340736,1026.0
4360192,739.0
4380672,621.0
4400128,917.0
4420608,966.0
4440064,807.0
4460544,776.0
4480000,594.0
4500480,735.0
4520960,643.0
4540416,737.0
4560896,953.0
4580352,760.0
4600832,772.0
4620288,693.0
4640768,712.0
4660224,933.0
4680704,1197.0
4700160,726.0
4720640,1483.0
4740096,775.0
4760576,743.0
4780032,1037.0
4800512,1070.0
4820992,1058.0
4840448,830.0
4860928,631.0
4880384,666.0
4900864,843.0
4920320,800.0
4940800,815.0
4960256,660.0
4980736,812.0
5000192,770.0
