Step,Value
20480,720.0
40960,920.0
60416,680.0
80896,1140.0
100352,820.0
120832,760.0
140288,1100.0
160768,940.0
180224,980.0
200704,1020.0
220160,1000.0
240640,1080.0
260096,860.0
280576,1380.0
300032,900.0
320512,1180.0
340992,1220.0
360448,1400.0
380928,1180.0
400384,1220.0
420864,1300.0
440320,2040.0
460800,1720.0
480256,2120.0
500736,1680.0
520192,2560.0
540672,1480.0
560128,1560.0
580608,1920.0
600064,2440.0
620544,1360.0
640000,2000.0
660480,2240.0
680960,1820.0
700416,2460.0
720896,3060.0
740352,1320.0
760832,1900.0
780288,2240.0
800768,2200.0
820224,2320.0
840704,1740.0
860160,1940.0
880640,2340.0
900096,2140.0
920576,3100.0
940032,2760.0
960512,1980.0
980992,2760.0
1000448,2200.0
1020928,1520.0
1040384,3920.0
1060864,2820.0
1080320,2500.0
1100800,2140.0
1120256,1180.0
1140736,2200.0
1160192,1880.0
1180672,3160.0
1200128,2760.0
1220608,2220.0
1240064,2200.0
1260544,3060.0
1280000,1940.0
1300480,2600.0
1320960,3240.0
1340416,2500.0
1360896,2080.0
1380352,2840.0
1400832,2240.0
1420288,3160.0
1440768,2640.0
1460224,2520.0
1480704,2300.0
1500160,2060.0
1520640,2160.0
1540096,2440.0
1560576,3060.0
1580032,3260.0
1600512,3280.0
1620992,2680.0
1640448,3060.0
1660928,3100.0
1680384,3140.0
1700864,3500.0
1720320,3800.0
1740800,4300.0
1760256,2740.0
1780736,3780.0
1800192,3940.0
1820672,3880.0
1840128,3840.0
1860608,3060.0
1880064,3680.0
1900544,4640.0
1920000,3180.0
1940480,3680.0
1960960,3920.0
1980416,4340.0
2000896,3300.0
2020352,3840.0
2040832,4260.0
2060288,5520.0
2080768,3340.0
2100224,2320.0
2120704,4040.0
2140160,6120.0
2160640,3740.0
2180096,3540.0
2200576,4360.0
2220032,9260.0
2240512,4280.0
2260992,5860.0
2280448,5480.0
2300928,4920.0
2320384,6000.0
2340864,4760.0
2360320,6040.0
2380800,4560.0
2400256,6960.0
2420736,3280.0
2440192,7920.0
2460672,6100.0
2480128,4920.0
2500608,6980.0
2520064,4200.0
2540544,7980.0
2560000,9060.0
2580480,8660.0
2600960,5040.0
2620416,9840.0
2640896,7900.0
2660352,8080.0
2680832,5540.0
2700288,12700.0
2720768,9460.0
2740224,7440.0
2760704,9340.0
2780160,10940.0
2800640,6420.0
2820096,7300.0
2840576,8380.0
2860032,9720.0
2880512,12400.0
2900992,10500.0
2920448,11400.0
2940928,10780.0
2960384,8220.0
2980864,5860.0
3000320,11040.0
3020800,13200.0
3040256,12380.0
3060736,9900.0
3080192,5000.0
3100672,8520.0
3120128,9660.0
3140608,10700.0
3160064,11440.0
3180544,5960.0
3200000,9120.0
3220480,11200.0
3240960,4120.0
3260416,10320.0
3280896,8500.0
3300352,7440.0
3320832,13920.0
3340288,10120.0
3360768,13260.0
3380224,9440.0
3400704,12660.0
3420160,9320.0
3440640,10840.0
3460096,8900.0
3480576,8740.0
3500032,12700.0
3520512,10720.0
3540992,10100.0
3560448,15100.0
3580928,9340.0
3600384,9440.0
3620864,13960.0
3640320,7220.0
3660800,9380.0
3680256,12020.0
3700736,14740.0
3720192,12620.0
3740672,8720.0
3760128,16780.0
3780608,12300.0
3800064,9540.0
3820544,14620.0
3840000,10520.0
3860480,15900.0
3880960,12640.0
3900416,17400.0
3920896,9760.0
3940352,12460.0
3960832,20300.0
3980288,15300.0
4000768,9820.0
4020224,14020.0
4040704,13020.0
4060160,13780.0
4080640,12160.0
4100096,15620.0
4120576,12020.0
4140032,12960.0
4160512,15900.0
4180992,12640.0
4200448,12560.0
4220928,11360.0
4240384,14740.0
4260864,14860.0
4280320,16700.0
4300800,13900.0
4320256,11000.0
4340736,17840.0
4360192,17860.0
4380672,13420.0
4400128,12200.0
4420608,18040.0
4440064,12800.0
4460544,13080.0
4480000,11980.0
4500480,9060.0
4520960,12360.0
4540416,13720.0
4560896,14540.0
4580352,12720.0
4600832,14700.0
4620288,17520.0
4640768,12120.0
4660224,14740.0
4680704,13640.0
4700160,13240.0
4720640,11440.0
4740096,15320.0
4760576,7280.0
4780032,17340.0
4800512,10480.0
4820992,13920.0
4840448,14820.0
4860928,16360.0
4880384,13860.0
4900864,13340.0
4920320,11240.0
4940800,12280.0
4960256,17620.0
4980736,15100.0
5000192,11340.0
