Step,Value
20480,-23.799999237060547
40960,-24.0
60416,-24.0
80896,-23.799999237060547
100352,-24.0
120832,-24.0
140288,-19.399999618530273
160768,-23.600000381469727
180224,-24.0
200704,-16.399999618530273
220160,-13.800000190734863
240640,-15.399999618530273
260096,-19.200000762939453
280576,-23.399999618530273
300032,-23.799999237060547
320512,-24.0
340992,-12.800000190734863
360448,-22.600000381469727
380928,-10.199999809265137
400384,-9.199999809265137
420864,-13.600000381469727
440320,-13.800000190734863
460800,-5.800000190734863
480256,-3.5999999046325684
500736,-24.0
520192,-19.600000381469727
540672,-16.600000381469727
560128,-12.600000381469727
580608,-24.0
600064,-23.799999237060547
620544,-18.799999237060547
640000,-15.0
660480,-7.599999904632568
680960,-4.800000190734863
700416,-12.199999809265137
720896,-14.800000190734863
740352,-8.399999618530273
760832,-9.199999809265137
780288,-23.600000381469727
800768,-14.800000190734863
820224,-13.800000190734863
840704,-10.600000381469727
860160,-23.799999237060547
880640,-23.399999618530273
900096,-19.600000381469727
920576,-22.600000381469727
940032,-22.600000381469727
960512,-21.399999618530273
980992,-19.399999618530273
1000448,-21.0
1020928,-23.799999237060547
1040384,-16.200000762939453
1060864,-18.200000762939453
1080320,-16.399999618530273
1100800,-14.199999809265137
1120256,-14.600000381469727
1140736,-12.199999809265137
1160192,-12.0
1180672,-6.800000190734863
1200128,-6.400000095367432
1220608,-13.0
1240064,-6.800000190734863
1260544,-6.800000190734863
1280000,-4.599999904632568
1300480,-7.400000095367432
1320960,-10.199999809265137
1340416,-5.800000190734863
1360896,-9.199999809265137
1380352,-8.600000381469727
1400832,-12.399999618530273
1420288,-9.399999618530273
1440768,-11.0
1460224,-19.399999618530273
1480704,-17.0
1500160,-21.200000762939453
1520640,-23.799999237060547
1540096,-19.0
1560576,-20.799999237060547
1580032,-23.799999237060547
1600512,-24.0
1620992,-21.200000762939453
1640448,-24.0
1660928,-24.0
1680384,-21.200000762939453
1700864,-20.399999618530273
1720320,-6.800000190734863
1740800,-21.0
1760256,-11.399999618530273
1780736,-12.600000381469727
1800192,-18.0
1820672,-9.199999809265137
1840128,-10.800000190734863
1860608,-10.800000190734863
1880064,-12.0
1900544,-21.200000762939453
1920000,-15.199999809265137
1940480,-18.0
1960960,-8.199999809265137
1980416,-13.199999809265137
2000896,-16.600000381469727
2020352,-15.399999618530273
2040832,-9.600000381469727
2060288,-15.199999809265137
2080768,-5.0
2100224,-5.199999809265137
2120704,-2.200000047683716
2140160,-7.800000190734863
2160640,-12.800000190734863
2180096,-18.200000762939453
2200576,-4.800000190734863
2220032,-4.599999904632568
2240512,-5.800000190734863
2260992,-7.0
2280448,-5.400000095367432
2300928,-11.199999809265137
2320384,-5.0
2340864,-11.0
2360320,-2.4000000953674316
2380800,-9.399999618530273
2400256,-13.800000190734863
2420736,-5.400000095367432
2440192,-13.0
2460672,-14.399999618530273
2480128,-5.0
2500608,-9.199999809265137
2520064,-7.599999904632568
2540544,-9.600000381469727
2560000,-10.0
2580480,-8.0
2600960,-3.4000000953674316
2620416,-7.800000190734863
2640896,-5.0
2660352,-3.799999952316284
2680832,-9.0
2700288,-14.0
2720768,-12.800000190734863
2740224,-15.600000381469727
2760704,-12.399999618530273
2780160,-8.199999809265137
2800640,-13.600000381469727
2820096,-21.600000381469727
2840576,-11.0
2860032,-20.600000381469727
2880512,-23.600000381469727
2900992,-23.799999237060547
2920448,-12.199999809265137
2940928,-13.0
2960384,-5.400000095367432
2980864,-7.599999904632568
3000320,-15.600000381469727
3020800,-11.800000190734863
3040256,-13.399999618530273
3060736,-15.0
3080192,-9.600000381469727
3100672,-9.399999618530273
3120128,-17.200000762939453
3140608,-14.399999618530273
3160064,-13.600000381469727
3180544,-9.399999618530273
3200000,-19.200000762939453
3220480,-14.800000190734863
3240960,-10.800000190734863
3260416,-10.800000190734863
3280896,-20.0
3300352,-9.199999809265137
3320832,-24.0
3340288,-23.799999237060547
3360768,-24.0
3380224,-19.600000381469727
3400704,-23.799999237060547
3420160,-23.799999237060547
3440640,-19.600000381469727
3460096,-21.399999618530273
3480576,-22.399999618530273
3500032,-18.399999618530273
3520512,-23.600000381469727
3540992,-16.799999237060547
3560448,-24.0
3580928,-19.600000381469727
3600384,-21.0
3620864,-21.0
3640320,-18.399999618530273
3660800,-24.0
3680256,-24.0
3700736,-19.399999618530273
3720192,-22.799999237060547
3740672,-21.399999618530273
3760128,-23.600000381469727
3780608,-23.600000381469727
3800064,-23.799999237060547
3820544,-23.799999237060547
3840000,-24.0
3860480,-14.800000190734863
3880960,-21.0
3900416,-14.0
3920896,-24.0
3940352,-17.399999618530273
3960832,-23.799999237060547
3980288,-21.399999618530273
4000768,-23.200000762939453
4020224,-23.799999237060547
4040704,-19.399999618530273
4060160,-15.0
4080640,-16.799999237060547
4100096,-22.600000381469727
4120576,-19.600000381469727
4140032,-22.399999618530273
4160512,-18.799999237060547
4180992,-23.799999237060547
4200448,-24.0
4220928,-19.600000381469727
4240384,-22.399999618530273
4260864,-19.399999618530273
4280320,-22.399999618530273
4300800,-21.399999618530273
4320256,-19.799999237060547
4340736,-19.200000762939453
4360192,-20.799999237060547
4380672,-13.399999618530273
4400128,-21.399999618530273
4420608,-12.399999618530273
4440064,-22.600000381469727
4460544,-18.200000762939453
4480000,-21.200000762939453
4500480,-19.399999618530273
4520960,-8.199999809265137
4540416,-22.799999237060547
4560896,-16.600000381469727
4580352,-19.399999618530273
4600832,-15.800000190734863
4620288,-19.799999237060547
4640768,-17.399999618530273
4660224,-16.600000381469727
4680704,-21.200000762939453
4700160,-19.200000762939453
4720640,-16.399999618530273
4740096,-15.800000190734863
4760576,-21.0
4780032,-22.600000381469727
4800512,-21.0
4820992,-15.399999618530273
4840448,-20.600000381469727
4860928,-17.0
4880384,-20.600000381469727
4900864,-10.800000190734863
4920320,-15.399999618530273
4940800,-21.200000762939453
4960256,-16.600000381469727
4980736,-12.800000190734863
5000192,-10.0
