Step,Value
20480,2860.0
40960,3780.0
60416,3680.0
80896,4560.0
100352,4340.0
120832,2840.0
140288,2140.0
160768,4220.0
180224,2820.0
200704,2960.0
220160,4280.0
240640,3660.0
260096,2860.0
280576,3660.0
300032,4040.0
320512,4200.0
340992,5120.0
360448,2160.0
380928,2560.0
400384,3440.0
420864,4240.0
440320,3720.0
460800,1420.0
480256,2320.0
500736,2780.0
520192,2980.0
540672,4260.0
560128,2820.0
580608,2120.0
600064,3440.0
620544,3620.0
640000,3660.0
660480,2100.0
680960,2180.0
700416,1960.0
720896,2240.0
740352,2160.0
760832,2060.0
780288,3580.0
800768,2900.0
820224,4400.0
840704,2960.0
860160,3740.0
880640,2840.0
900096,3600.0
920576,1980.0
940032,2320.0
960512,4180.0
980992,2900.0
1000448,4620.0
1020928,3660.0
1040384,4120.0
1060864,2160.0
1080320,3620.0
1100800,4360.0
1120256,1640.0
1140736,2160.0
1160192,2460.0
1180672,3520.0
1200128,3520.0
1220608,4160.0
1240064,4240.0
1260544,5120.0
1280000,3800.0
1300480,4460.0
1320960,3700.0
1340416,2280.0
1360896,2980.0
1380352,1700.0
1400832,3140.0
1420288,3520.0
1440768,4880.0
1460224,3040.0
1480704,2840.0
1500160,4480.0
1520640,2780.0
1540096,3560.0
1560576,3400.0
1580032,3600.0
1600512,2820.0
1620992,3020.0
1640448,3700.0
1660928,2820.0
1680384,3060.0
1700864,3540.0
1720320,3880.0
1740800,4960.0
1760256,5140.0
1780736,3480.0
1800192,3380.0
1820672,4420.0
1840128,4300.0
1860608,2180.0
1880064,4360.0
1900544,4220.0
1920000,2280.0
1940480,3300.0
1960960,2220.0
1980416,2960.0
2000896,2340.0
2020352,3460.0
2040832,2740.0
2060288,4300.0
2080768,2860.0
2100224,5260.0
2120704,3780.0
2140160,4480.0
2160640,2900.0
2180096,3640.0
2200576,4160.0
2220032,4400.0
2240512,3620.0
2260992,3080.0
2280448,3520.0
2300928,2300.0
2320384,2260.0
2340864,2240.0
2360320,5140.0
2380800,3340.0
2400256,2780.0
2420736,3520.0
2440192,2260.0
2460672,3460.0
2480128,2840.0
2500608,2880.0
2520064,2420.0
2540544,2020.0
2560000,2760.0
2580480,2200.0
2600960,1960.0
2620416,1580.0
2640896,3520.0
2660352,2160.0
2680832,2840.0
2700288,4240.0
2720768,2920.0
2740224,3500.0
2760704,2940.0
2780160,2920.0
2800640,3380.0
2820096,3000.0
2840576,2280.0
2860032,2220.0
2880512,3400.0
2900992,3120.0
2920448,3040.0
2940928,1500.0
2960384,2700.0
2980864,2880.0
3000320,2160.0
3020800,2920.0
3040256,4280.0
3060736,3520.0
3080192,2860.0
3100672,4380.0
3120128,2720.0
3140608,2960.0
3160064,3440.0
3180544,3680.0
3200000,2120.0
3220480,4180.0
3240960,2940.0
3260416,2920.0
3280896,2860.0
3300352,2820.0
3320832,3360.0
3340288,1440.0
3360768,4320.0
3380224,2900.0
3400704,4060.0
3420160,2720.0
3440640,3680.0
3460096,2880.0
3480576,3360.0
3500032,4240.0
3520512,3800.0
3540992,4140.0
3560448,4300.0
3580928,2260.0
3600384,2660.0
3620864,820.0
3640320,6760.0
3660800,3540.0
3680256,2940.0
3700736,4980.0
3720192,3620.0
3740672,2940.0
3760128,2220.0
3780608,3740.0
3800064,3540.0
3820544,2160.0
3840000,2780.0
3860480,2180.0
3880960,3620.0
3900416,2860.0
3920896,2720.0
3940352,2280.0
3960832,3600.0
3980288,2100.0
4000768,4140.0
4020224,3440.0
4040704,3800.0
4060160,4540.0
4080640,3520.0
4100096,4360.0
4120576,4220.0
4140032,4460.0
4160512,2960.0
4180992,3480.0
4200448,4280.0
4220928,3020.0
4240384,3620.0
4260864,4520.0
4280320,2780.0
4300800,4340.0
4320256,2860.0
4340736,4080.0
4360192,3500.0
4380672,4300.0
4400128,4240.0
4420608,3480.0
4440064,4300.0
4460544,3680.0
4480000,1460.0
4500480,4220.0
4520960,3480.0
4540416,4480.0
4560896,5620.0
4580352,4540.0
4600832,3020.0
4620288,4500.0
4640768,4900.0
4660224,3520.0
4680704,4340.0
4700160,3720.0
4720640,4060.0
4740096,3600.0
4760576,3500.0
4780032,4160.0
4800512,2900.0
4820992,4380.0
4840448,5780.0
4860928,2140.0
4880384,4180.0
4900864,3560.0
4920320,3580.0
4940800,4160.0
4960256,3680.0
4980736,3400.0
5000192,4320.0
