Step,Value
20480,1646.0
40960,1626.0
60416,1264.0
80896,1362.0
100352,1040.0
120832,1974.0
140288,1352.0
160768,1390.0
180224,886.0
200704,756.0
220160,1512.0
240640,1246.0
260096,2284.0
280576,1554.0
300032,1718.0
320512,1510.0
340992,864.0
360448,1860.0
380928,1618.0
400384,1792.0
420864,2220.0
440320,2188.0
460800,970.0
480256,2132.0
500736,2034.0
520192,1900.0
540672,986.0
560128,1036.0
580608,2060.0
600064,1624.0
620544,1050.0
640000,1934.0
660480,3396.0
680960,1602.0
700416,1912.0
720896,1590.0
740352,1380.0
760832,1914.0
780288,2374.0
800768,1562.0
820224,1998.0
840704,1522.0
860160,1962.0
880640,2682.0
900096,2260.0
920576,4158.0
940032,2706.0
960512,1446.0
980992,1602.0
1000448,3278.0
1020928,2228.0
1040384,3524.0
1060864,2920.0
1080320,2824.0
1100800,3174.0
1120256,2278.0
1140736,3052.0
1160192,3634.0
1180672,3682.0
1200128,2032.0
1220608,3042.0
1240064,4188.0
1260544,7394.0
1280000,3152.0
1300480,3398.0
1320960,6054.0
1340416,4272.0
1360896,4338.0
1380352,2808.0
1400832,4394.0
1420288,4874.0
1440768,6610.0
1460224,4878.0
1480704,5632.0
1500160,5262.0
1520640,3048.0
1540096,3874.0
1560576,7016.0
1580032,4948.0
1600512,4910.0
1620992,6294.0
1640448,5678.0
1660928,6166.0
1680384,4040.0
1700864,4790.0
1720320,4552.0
1740800,5522.0
1760256,5586.0
1780736,4470.0
1800192,5904.0
1820672,5488.0
1840128,5172.0
1860608,6208.0
1880064,6892.0
1900544,7920.0
1920000,6380.0
1940480,7692.0
1960960,9762.0
1980416,7544.0
2000896,5776.0
2020352,7828.0
2040832,9306.0
2060288,9658.0
2080768,7116.0
2100224,7316.0
2120704,12662.0
2140160,5252.0
2160640,9710.0
2180096,8526.0
2200576,4260.0
2220032,4280.0
2240512,13798.0
2260992,8860.0
2280448,9874.0
2300928,9110.0
2320384,7262.0
2340864,7766.0
2360320,9198.0
2380800,12312.0
2400256,11164.0
2420736,13266.0
2440192,15614.0
2460672,10436.0
2480128,8316.0
2500608,12052.0
2520064,12154.0
2540544,9812.0
2560000,7750.0
2580480,18890.0
2600960,19514.0
2620416,24926.0
2640896,15686.0
2660352,11720.0
2680832,13400.0
2700288,18514.0
2720768,6922.0
2740224,10658.0
2760704,6632.0
2780160,22502.0
2800640,22362.0
2820096,20820.0
2840576,14004.0
2860032,18592.0
2880512,15538.0
2900992,7850.0
2920448,11390.0
2940928,12422.0
2960384,14874.0
2980864,18450.0
3000320,6188.0
3020800,13866.0
3040256,8654.0
3060736,12716.0
3080192,12042.0
3100672,33116.0
3120128,24902.0
3140608,11192.0
3160064,25310.0
3180544,25296.0
3200000,21064.0
3220480,30578.0
3240960,12596.0
3260416,15794.0
3280896,16268.0
3300352,25020.0
3320832,19000.0
3340288,21278.0
3360768,11062.0
3380224,13286.0
3400704,24498.0
3420160,15562.0
3440640,24868.0
3460096,18416.0
3480576,15128.0
3500032,13458.0
3520512,19466.0
3540992,11168.0
3560448,14098.0
3580928,17636.0
3600384,18398.0
3620864,19130.0
3640320,15464.0
3660800,15240.0
3680256,21638.0
3700736,18368.0
3720192,21050.0
3740672,16162.0
3760128,24884.0
3780608,12732.0
3800064,19950.0
3820544,16834.0
3840000,19944.0
3860480,18698.0
3880960,10080.0
3900416,16070.0
3920896,11156.0
3940352,14126.0
3960832,12776.0
3980288,21248.0
4000768,16686.0
4020224,22388.0
4040704,15996.0
4060160,17088.0
4080640,9326.0
4100096,11068.0
4120576,16682.0
4140032,16806.0
4160512,11094.0
4180992,23000.0
4200448,18466.0
4220928,33024.0
4240384,15640.0
4260864,19036.0
4280320,23576.0
4300800,21832.0
4320256,26450.0
4340736,25882.0
4360192,26750.0
4380672,21772.0
4400128,14346.0
4420608,18642.0
4440064,17548.0
4460544,11936.0
4480000,19470.0
4500480,19620.0
4520960,30270.0
4540416,39998.0
4560896,14262.0
4580352,18878.0
4600832,16074.0
4620288,12940.0
4640768,23676.0
4660224,14406.0
4680704,17610.0
4700160,11908.0
4720640,19760.0
4740096,14844.0
4760576,12662.0
4780032,16542.0
4800512,19644.0
4820992,13730.0
4840448,22406.0
4860928,13506.0
4880384,19124.0
4900864,7806.0
4920320,8924.0
4940800,13826.0
4960256,11964.0
4980736,15794.0
5000192,21428.0
