Step,Value
20480,24271.0
40960,16191.0
60416,18311.400390625
80896,22028.400390625
100352,35592.19921875
120832,39856.0
140288,71539.203125
160768,13956.7998046875
180224,40851.0
200704,14860.2001953125
220160,13313.2001953125
240640,22754.19921875
260096,51953.0
280576,27716.0
300032,24893.0
320512,10506.7998046875
340992,37787.6015625
360448,61454.0
380928,27472.80078125
400384,25115.599609375
420864,52205.0
440320,21048.80078125
460800,31139.80078125
480256,17594.80078125
500736,36626.19921875
520192,26502.19921875
540672,23456.80078125
560128,33437.0
580608,24038.80078125
600064,50408.80078125
620544,23793.400390625
640000,21346.0
660480,40879.80078125
680960,14406.599609375
700416,98876.203125
720896,26264.0
740352,57183.6015625
760832,64746.80078125
780288,33264.19921875
800768,42288.80078125
820224,47976.6015625
840704,99153.796875
860160,39940.6015625
880640,15308.0
900096,21547.80078125
920576,13362.7998046875
940032,27419.80078125
960512,52997.80078125
980992,11649.2001953125
1000448,19914.0
1020928,18705.599609375
1040384,20513.599609375
1060864,22575.599609375
1080320,33440.80078125
1100800,27569.19921875
1120256,13814.2001953125
1140736,34701.19921875
1160192,13973.2001953125
1180672,27623.80078125
1200128,61248.6015625
1220608,24632.0
1240064,14000.7998046875
1260544,19626.599609375
1280000,16629.80078125
1300480,16805.0
1320960,17047.80078125
1340416,11984.7998046875
1360896,43520.80078125
1380352,25353.80078125
1400832,24035.0
1420288,18562.80078125
1440768,14768.0
1460224,13047.7998046875
1480704,15370.2001953125
1500160,10765.599609375
1520640,35385.0
1540096,39584.19921875
1560576,22801.80078125
1580032,25686.19921875
1600512,28391.599609375
1620992,30676.19921875
1640448,24313.400390625
1660928,34784.3984375
1680384,28164.19921875
1700864,27599.400390625
1720320,20292.80078125
1740800,68984.203125
1760256,7917.0
1780736,15366.400390625
1800192,36190.3984375
1820672,18507.19921875
1840128,26107.0
1860608,26552.80078125
1880064,32652.400390625
1900544,14218.599609375
1920000,14243.0
1940480,27782.80078125
1960960,22209.599609375
1980416,21392.19921875
2000896,12997.400390625
2020352,15065.0
2040832,14640.599609375
2060288,14887.2001953125
2080768,40382.0
2100224,28240.599609375
2120704,73199.0
2140160,40146.6015625
2160640,12997.7998046875
2180096,20287.400390625
2200576,36986.0
2220032,13966.400390625
2240512,20498.400390625
2260992,32757.599609375
2280448,17012.0
2300928,47866.19921875
2320384,14530.7998046875
2340864,12742.2001953125
2360320,56209.80078125
2380800,37201.6015625
2400256,37566.6015625
2420736,16716.599609375
2440192,64810.19921875
2460672,38026.19921875
2480128,14446.2001953125
2500608,22796.599609375
2520064,49528.3984375
2540544,40665.0
2560000,17813.80078125
2580480,22687.400390625
2600960,54940.6015625
2620416,26956.599609375
2640896,61836.19921875
2660352,58027.19921875
2680832,32207.80078125
2700288,33321.19921875
2720768,45225.6015625
2740224,30215.599609375
2760704,52009.80078125
2780160,54113.3984375
2800640,24235.80078125
2820096,25412.400390625
2840576,31500.599609375
2860032,36258.3984375
2880512,16813.599609375
2900992,32218.400390625
2920448,16896.0
2940928,36982.6015625
2960384,36552.80078125
2980864,21887.80078125
3000320,39845.3984375
3020800,20072.599609375
3040256,18751.80078125
3060736,18836.599609375
3080192,35173.80078125
3100672,26418.0
3120128,29439.400390625
3140608,19369.599609375
3160064,17263.0
3180544,34537.6015625
3200000,14725.2001953125
3220480,24759.400390625
3240960,37057.6015625
3260416,29389.80078125
3280896,19530.400390625
3300352,59719.3984375
3320832,15022.599609375
3340288,8037.60009765625
3360768,20970.599609375
3380224,17837.400390625
3400704,18028.80078125
3420160,54390.3984375
3440640,35545.19921875
3460096,39063.6015625
3480576,21261.599609375
3500032,36497.3984375
3520512,17933.80078125
3540992,45922.6015625
3560448,34342.6015625
3580928,53380.19921875
3600384,29290.599609375
3620864,16811.80078125
3640320,60328.6015625
3660800,21136.80078125
3680256,20472.80078125
3700736,25939.19921875
3720192,21077.80078125
3740672,35495.19921875
3760128,51616.3984375
3780608,20875.0
3800064,34938.19921875
3820544,23909.400390625
3840000,31366.400390625
3860480,51174.80078125
3880960,26636.19921875
3900416,28303.0
3920896,46643.6015625
3940352,25480.19921875
3960832,38240.80078125
3980288,12424.2001953125
4000768,22713.19921875
4020224,26348.80078125
4040704,20832.19921875
4060160,19513.400390625
4080640,45744.0
4100096,20125.0
4120576,27188.599609375
4140032,37735.0
4160512,27554.400390625
4180992,32451.19921875
4200448,38260.19921875
4220928,37499.6015625
4240384,34126.19921875
4260864,13522.7998046875
4280320,26479.80078125
4300800,35338.0
4320256,29274.80078125
4340736,23430.400390625
4360192,31227.19921875
4380672,15132.400390625
4400128,25730.599609375
4420608,46957.80078125
4440064,28710.400390625
4460544,29692.19921875
4480000,33765.0
4500480,16621.0
4520960,71685.3984375
4540416,18971.80078125
4560896,19569.19921875
4580352,25911.0
4600832,25660.80078125
4620288,20514.599609375
4640768,39061.19921875
4660224,20366.0
4680704,26319.599609375
4700160,33643.0
4720640,32686.599609375
4740096,29745.0
4760576,26944.400390625
4780032,26875.80078125
4800512,26759.19921875
4820992,14693.0
4840448,47020.0
4860928,21314.400390625
4880384,23537.599609375
4900864,47842.19921875
4920320,26476.19921875
4940800,18761.19921875
4960256,21075.0
4980736,46176.0
5000192,30484.599609375
