Step,Value
20480,940.0
40960,940.0
60416,980.0
80896,1840.0
100352,640.0
120832,720.0
140288,640.0
160768,660.0
180224,1420.0
200704,460.0
220160,740.0
240640,880.0
260096,540.0
280576,860.0
300032,1060.0
320512,920.0
340992,1380.0
360448,1300.0
380928,880.0
400384,600.0
420864,680.0
440320,200.0
460800,380.0
480256,780.0
500736,540.0
520192,940.0
540672,720.0
560128,640.0
580608,1880.0
600064,980.0
620544,1400.0
640000,480.0
660480,740.0
680960,820.0
700416,860.0
720896,1160.0
740352,1340.0
760832,860.0
780288,320.0
800768,360.0
820224,940.0
840704,820.0
860160,1240.0
880640,920.0
900096,640.0
920576,780.0
940032,840.0
960512,1140.0
980992,860.0
1000448,1040.0
1020928,900.0
1040384,1020.0
1060864,1000.0
1080320,1560.0
1100800,1300.0
1120256,1360.0
1140736,940.0
1160192,320.0
1180672,700.0
1200128,1780.0
1220608,360.0
1240064,900.0
1260544,1200.0
1280000,1180.0
1300480,500.0
1320960,1180.0
1340416,460.0
1360896,960.0
1380352,800.0
1400832,540.0
1420288,1540.0
1440768,520.0
1460224,860.0
1480704,680.0
1500160,540.0
1520640,740.0
1540096,800.0
1560576,600.0
1580032,600.0
1600512,780.0
1620992,1100.0
1640448,1360.0
1660928,740.0
1680384,620.0
1700864,520.0
1720320,1100.0
1740800,980.0
1760256,1120.0
1780736,1600.0
1800192,880.0
1820672,880.0
1840128,1560.0
1860608,1060.0
1880064,1500.0
1900544,1420.0
1920000,1200.0
1940480,1620.0
1960960,1280.0
1980416,1140.0
2000896,1180.0
2020352,1020.0
2040832,640.0
2060288,1260.0
2080768,1200.0
2100224,1000.0
2120704,1480.0
2140160,1540.0
2160640,1580.0
2180096,1520.0
2200576,1420.0
2220032,1880.0
2240512,1800.0
2260992,1460.0
2280448,1600.0
2300928,1620.0
2320384,2220.0
2340864,1420.0
2360320,3360.0
2380800,1480.0
2400256,1100.0
2420736,2080.0
2440192,1300.0
2460672,1940.0
2480128,1480.0
2500608,1300.0
2520064,2160.0
2540544,2200.0
2560000,1380.0
2580480,1560.0
2600960,1800.0
2620416,1120.0
2640896,2520.0
2660352,2440.0
2680832,1480.0
2700288,1980.0
2720768,2640.0
2740224,1580.0
2760704,1860.0
2780160,1600.0
2800640,2220.0
2820096,2380.0
2840576,1780.0
2860032,1760.0
2880512,1320.0
2900992,1920.0
2920448,1660.0
2940928,1540.0
2960384,4340.0
2980864,1920.0
3000320,1760.0
3020800,2820.0
3040256,1260.0
3060736,2160.0
3080192,1660.0
3100672,2340.0
3120128,2380.0
3140608,1700.0
3160064,1880.0
3180544,2480.0
3200000,1920.0
3220480,2600.0
3240960,1700.0
3260416,1660.0
3280896,1860.0
3300352,1380.0
3320832,2520.0
3340288,2240.0
3360768,1740.0
3380224,2220.0
3400704,1560.0
3420160,1100.0
3440640,2720.0
3460096,1560.0
3480576,3420.0
3500032,1660.0
3520512,2300.0
3540992,2460.0
3560448,3500.0
3580928,2040.0
3600384,1580.0
3620864,1900.0
3640320,1620.0
3660800,2260.0
3680256,3560.0
3700736,3920.0
3720192,3120.0
3740672,2580.0
3760128,2080.0
3780608,1280.0
3800064,1760.0
3820544,1420.0
3840000,1200.0
3860480,1400.0
3880960,1880.0
3900416,2060.0
3920896,2120.0
3940352,2160.0
3960832,1140.0
3980288,3120.0
4000768,2340.0
4020224,1960.0
4040704,2420.0
4060160,1760.0
4080640,2380.0
4100096,3640.0
4120576,1840.0
4140032,2760.0
4160512,1940.0
4180992,1500.0
4200448,1560.0
4220928,3260.0
4240384,1800.0
4260864,3920.0
4280320,1900.0
4300800,1940.0
4320256,1820.0
4340736,1460.0
4360192,1280.0
4380672,1340.0
4400128,1980.0
4420608,1760.0
4440064,2000.0
4460544,2340.0
4480000,2040.0
4500480,2320.0
4520960,2100.0
4540416,1380.0
4560896,1780.0
4580352,2200.0
4600832,1720.0
4620288,1760.0
4640768,1980.0
4660224,1240.0
4680704,2620.0
4700160,2400.0
4720640,3120.0
4740096,4260.0
4760576,1280.0
4780032,1820.0
4800512,1900.0
4820992,3020.0
4840448,3240.0
4860928,1480.0
4880384,2360.0
4900864,1600.0
4920320,2240.0
4940800,4100.0
4960256,1460.0
4980736,2420.0
5000192,4920.0
