Step,Value
20480,240.0
40960,324.0
60416,312.0
80896,278.0
100352,288.0
120832,278.0
140288,256.0
160768,218.0
180224,272.0
200704,316.0
220160,330.0
240640,268.0
260096,320.0
280576,304.0
300032,318.0
320512,334.0
340992,524.0
360448,456.0
380928,654.0
400384,290.0
420864,290.0
440320,310.0
460800,324.0
480256,324.0
500736,328.0
520192,326.0
540672,282.0
560128,314.0
580608,336.0
600064,322.0
620544,340.0
640000,346.0
660480,372.0
680960,368.0
700416,338.0
720896,382.0
740352,340.0
760832,302.0
780288,366.0
800768,482.0
820224,352.0
840704,332.0
860160,434.0
880640,336.0
900096,352.0
920576,382.0
940032,384.0
960512,486.0
980992,344.0
1000448,330.0
1020928,398.0
1040384,394.0
1060864,350.0
1080320,450.0
1100800,388.0
1120256,436.0
1140736,362.0
1160192,506.0
1180672,430.0
1200128,416.0
1220608,362.0
1240064,538.0
1260544,400.0
1280000,430.0
1300480,384.0
1320960,576.0
1340416,436.0
1360896,424.0
1380352,700.0
1400832,844.0
1420288,468.0
1440768,490.0
1460224,508.0
1480704,470.0
1500160,528.0
1520640,594.0
1540096,478.0
1560576,780.0
1580032,436.0
1600512,450.0
1620992,486.0
1640448,602.0
1660928,784.0
1680384,586.0
1700864,744.0
1720320,634.0
1740800,766.0
1760256,606.0
1780736,614.0
1800192,708.0
1820672,452.0
1840128,538.0
1860608,406.0
1880064,452.0
1900544,392.0
1920000,314.0
1940480,420.0
1960960,326.0
1980416,362.0
2000896,344.0
2020352,356.0
2040832,396.0
2060288,356.0
2080768,340.0
2100224,370.0
2120704,328.0
2140160,422.0
2160640,430.0
2180096,530.0
2200576,412.0
2220032,366.0
2240512,432.0
2260992,636.0
2280448,430.0
2300928,472.0
2320384,442.0
2340864,440.0
2360320,462.0
2380800,468.0
2400256,494.0
2420736,472.0
2440192,452.0
2460672,474.0
2480128,492.0
2500608,512.0
2520064,524.0
2540544,490.0
2560000,506.0
2580480,546.0
2600960,512.0
2620416,494.0
2640896,516.0
2660352,532.0
2680832,478.0
2700288,520.0
2720768,528.0
2740224,494.0
2760704,490.0
2780160,504.0
2800640,562.0
2820096,652.0
2840576,526.0
2860032,648.0
2880512,564.0
2900992,526.0
2920448,556.0
2940928,560.0
2960384,540.0
2980864,530.0
3000320,580.0
3020800,862.0
3040256,598.0
3060736,560.0
3080192,560.0
3100672,554.0
3120128,538.0
3140608,580.0
3160064,656.0
3180544,580.0
3200000,570.0
3220480,570.0
3240960,556.0
3260416,590.0
3280896,556.0
3300352,522.0
3320832,544.0
3340288,588.0
3360768,574.0
3380224,530.0
3400704,532.0
3420160,572.0
3440640,558.0
3460096,560.0
3480576,574.0
3500032,580.0
3520512,572.0
3540992,582.0
3560448,612.0
3580928,564.0
3600384,530.0
3620864,572.0
3640320,576.0
3660800,612.0
3680256,606.0
3700736,604.0
3720192,612.0
3740672,612.0
3760128,614.0
3780608,608.0
3800064,602.0
3820544,594.0
3840000,618.0
3860480,850.0
3880960,832.0
3900416,682.0
3920896,612.0
3940352,586.0
3960832,774.0
3980288,656.0
4000768,666.0
4020224,662.0
4040704,622.0
4060160,614.0
4080640,658.0
4100096,764.0
4120576,604.0
4140032,678.0
4160512,836.0
4180992,702.0
4200448,716.0
4220928,656.0
4240384,782.0
4260864,680.0
4280320,780.0
4300800,680.0
4320256,640.0
4340736,892.0
4360192,946.0
4380672,738.0
4400128,684.0
4420608,774.0
4440064,896.0
4460544,846.0
4480000,638.0
4500480,706.0
4520960,1062.0
4540416,826.0
4560896,780.0
4580352,726.0
4600832,792.0
4620288,664.0
4640768,916.0
4660224,736.0
4680704,742.0
4700160,794.0
4720640,732.0
4740096,672.0
4760576,700.0
4780032,832.0
4800512,764.0
4820992,754.0
4840448,880.0
4860928,720.0
4880384,654.0
4900864,806.0
4920320,652.0
4940800,1200.0
4960256,1010.0
4980736,742.0
5000192,922.0
