Step,Value
20480,220.0
40960,340.0
60416,280.0
80896,290.0
100352,240.0
120832,280.0
140288,220.0
160768,150.0
180224,170.0
200704,190.0
220160,270.0
240640,170.0
260096,280.0
280576,230.0
300032,290.0
320512,250.0
340992,320.0
360448,290.0
380928,240.0
400384,280.0
420864,290.0
440320,370.0
460800,420.0
480256,360.0
500736,370.0
520192,300.0
540672,440.0
560128,440.0
580608,570.0
600064,520.0
620544,560.0
640000,580.0
660480,750.0
680960,460.0
700416,520.0
720896,550.0
740352,510.0
760832,570.0
780288,600.0
800768,600.0
820224,640.0
840704,510.0
860160,860.0
880640,960.0
900096,800.0
920576,860.0
940032,750.0
960512,870.0
980992,1080.0
1000448,950.0
1020928,850.0
1040384,930.0
1060864,900.0
1080320,810.0
1100800,1130.0
1120256,1130.0
1140736,770.0
1160192,1290.0
1180672,1010.0
1200128,1140.0
1220608,1140.0
1240064,1140.0
1260544,1120.0
1280000,1390.0
1300480,920.0
1320960,1080.0
1340416,1450.0
1360896,1360.0
1380352,1390.0
1400832,1550.0
1420288,1540.0
1440768,1260.0
1460224,1250.0
1480704,1320.0
1500160,1140.0
1520640,1910.0
1540096,1310.0
1560576,1230.0
1580032,1280.0
1600512,1270.0
1620992,1540.0
1640448,1620.0
1660928,1360.0
1680384,1860.0
1700864,1360.0
1720320,1510.0
1740800,1650.0
1760256,1690.0
1780736,1530.0
1800192,1950.0
1820672,1400.0
1840128,1920.0
1860608,1650.0
1880064,1640.0
1900544,1860.0
1920000,1470.0
1940480,1940.0
1960960,1910.0
1980416,1560.0
2000896,2410.0
2020352,2310.0
2040832,2100.0
2060288,2320.0
2080768,1680.0
2100224,1760.0
2120704,2260.0
2140160,2500.0
2160640,2660.0
2180096,2120.0
2200576,2140.0
2220032,1890.0
2240512,2680.0
2260992,2130.0
2280448,1650.0
2300928,1950.0
2320384,2140.0
2340864,2390.0
2360320,2160.0
2380800,1620.0
2400256,1950.0
2420736,1640.0
2440192,1870.0
2460672,2000.0
2480128,2200.0
2500608,2170.0
2520064,1900.0
2540544,1310.0
2560000,1570.0
2580480,1900.0
2600960,1960.0
2620416,2110.0
2640896,2030.0
2660352,2120.0
2680832,2050.0
2700288,2060.0
2720768,2380.0
2740224,2010.0
2760704,1820.0
2780160,2220.0
2800640,1820.0
2820096,1440.0
2840576,2560.0
2860032,2040.0
2880512,2240.0
2900992,2580.0
2920448,2170.0
2940928,2340.0
2960384,2220.0
2980864,2610.0
3000320,2120.0
3020800,2170.0
3040256,1780.0
3060736,2000.0
3080192,2240.0
3100672,2100.0
3120128,2260.0
3140608,2320.0
3160064,2460.0
3180544,2390.0
3200000,2540.0
3220480,1980.0
3240960,2490.0
3260416,2800.0
3280896,2410.0
3300352,2580.0
3320832,2620.0
3340288,2490.0
3360768,2050.0
3380224,2470.0
3400704,1860.0
3420160,2740.0
3440640,2860.0
3460096,2230.0
3480576,2070.0
3500032,2800.0
3520512,2730.0
3540992,2170.0
3560448,2500.0
3580928,2310.0
3600384,2190.0
3620864,2470.0
3640320,2150.0
3660800,2250.0
3680256,2190.0
3700736,1880.0
3720192,2210.0
3740672,2700.0
3760128,1780.0
3780608,2310.0
3800064,1620.0
3820544,1740.0
3840000,2640.0
3860480,2220.0
3880960,2860.0
3900416,2480.0
3920896,2590.0
3940352,2290.0
3960832,2820.0
3980288,2270.0
4000768,2610.0
4020224,2520.0
4040704,2310.0
4060160,2920.0
4080640,2690.0
4100096,2570.0
4120576,2720.0
4140032,2660.0
4160512,1980.0
4180992,2440.0
4200448,2280.0
4220928,2620.0
4240384,2680.0
4260864,2090.0
4280320,2330.0
4300800,2630.0
4320256,2790.0
4340736,2800.0
4360192,2410.0
4380672,2570.0
4400128,2890.0
4420608,2650.0
4440064,2520.0
4460544,2320.0
4480000,1760.0
4500480,2430.0
4520960,2780.0
4540416,2530.0
4560896,2470.0
4580352,2840.0
4600832,1650.0
4620288,2680.0
4640768,2320.0
4660224,2550.0
4680704,2580.0
4700160,2390.0
4720640,2720.0
4740096,2720.0
4760576,2650.0
4780032,2700.0
4800512,2300.0
4820992,2800.0
4840448,2680.0
4860928,2980.0
4880384,2680.0
4900864,2490.0
4920320,2620.0
4940800,2310.0
4960256,3040.0
4980736,2640.0
5000192,2780.0
