Step,Value
20480,1404.0
40960,1460.0
60416,1142.0
80896,1382.0
100352,1572.0
120832,1160.0
140288,1162.0
160768,880.0
180224,1068.0
200704,676.0
220160,1452.0
240640,1382.0
260096,1150.0
280576,1764.0
300032,1312.0
320512,942.0
340992,1660.0
360448,1004.0
380928,1600.0
400384,1378.0
420864,1212.0
440320,1268.0
460800,1026.0
480256,1200.0
500736,1734.0
520192,1316.0
540672,1576.0
560128,1560.0
580608,1002.0
600064,1578.0
620544,1112.0
640000,1200.0
660480,1184.0
680960,1382.0
700416,1420.0
720896,1268.0
740352,1502.0
760832,2236.0
780288,1736.0
800768,1734.0
820224,1200.0
840704,1366.0
860160,1196.0
880640,1328.0
900096,1228.0
920576,1714.0
940032,1708.0
960512,1674.0
980992,1658.0
1000448,1658.0
1020928,1334.0
1040384,1252.0
1060864,1064.0
1080320,1580.0
1100800,1436.0
1120256,1222.0
1140736,1200.0
1160192,2210.0
1180672,1576.0
1200128,1514.0
1220608,1234.0
1240064,1718.0
1260544,1220.0
1280000,1136.0
1300480,1386.0
1320960,1752.0
1340416,1714.0
1360896,986.0
1380352,1516.0
1400832,1220.0
1420288,1414.0
1440768,1304.0
1460224,1586.0
1480704,1384.0
1500160,1470.0
1520640,1420.0
1540096,1424.0
1560576,1328.0
1580032,1348.0
1600512,1054.0
1620992,1626.0
1640448,1512.0
1660928,1114.0
1680384,1450.0
1700864,1404.0
1720320,1680.0
1740800,1504.0
1760256,1530.0
1780736,1294.0
1800192,1302.0
1820672,1682.0
1840128,1232.0
1860608,1122.0
1880064,1304.0
1900544,1694.0
1920000,1314.0
1940480,1198.0
1960960,1556.0
1980416,1298.0
2000896,1250.0
2020352,1256.0
2040832,1546.0
2060288,1556.0
2080768,1178.0
2100224,1122.0
2120704,1222.0
2140160,1454.0
2160640,1252.0
2180096,1408.0
2200576,1180.0
2220032,1658.0
2240512,950.0
2260992,1170.0
2280448,1118.0
2300928,1346.0
2320384,1262.0
2340864,1008.0
2360320,1416.0
2380800,1452.0
2400256,1280.0
2420736,1432.0
2440192,1242.0
2460672,1244.0
2480128,1372.0
2500608,1380.0
2520064,1484.0
2540544,940.0
2560000,1418.0
2580480,1310.0
2600960,1274.0
2620416,1536.0
2640896,1470.0
2660352,1188.0
2680832,1366.0
2700288,1274.0
2720768,1252.0
2740224,1524.0
2760704,1622.0
2780160,1382.0
2800640,1252.0
2820096,1268.0
2840576,1418.0
2860032,1550.0
2880512,1374.0
2900992,1112.0
2920448,1172.0
2940928,1206.0
2960384,1272.0
2980864,1440.0
3000320,1574.0
3020800,1720.0
3040256,1644.0
3060736,1136.0
3080192,1622.0
3100672,1752.0
3120128,1586.0
3140608,1262.0
3160064,1440.0
3180544,1480.0
3200000,1792.0
3220480,1300.0
3240960,1476.0
3260416,1336.0
3280896,1060.0
3300352,1620.0
3320832,1664.0
3340288,1512.0
3360768,1428.0
3380224,1214.0
3400704,1572.0
3420160,2214.0
3440640,1582.0
3460096,1648.0
3480576,1728.0
3500032,1454.0
3520512,1176.0
3540992,1346.0
3560448,1960.0
3580928,1164.0
3600384,1300.0
3620864,1780.0
3640320,1374.0
3660800,1466.0
3680256,1218.0
3700736,1438.0
3720192,1526.0
3740672,1554.0
3760128,1384.0
3780608,1662.0
3800064,1510.0
3820544,1616.0
3840000,1634.0
3860480,1060.0
3880960,1352.0
3900416,1820.0
3920896,1422.0
3940352,1496.0
3960832,1210.0
3980288,1440.0
4000768,1338.0
4020224,1502.0
4040704,1312.0
4060160,1206.0
4080640,1150.0
4100096,1356.0
4120576,1874.0
4140032,1626.0
4160512,1650.0
4180992,1366.0
4200448,2082.0
4220928,1394.0
4240384,1222.0
4260864,1736.0
4280320,1416.0
4300800,1532.0
4320256,1622.0
4340736,1774.0
4360192,1784.0
4380672,1490.0
4400128,1604.0
4420608,1802.0
4440064,1474.0
4460544,1210.0
4480000,1720.0
4500480,1554.0
4520960,1162.0
4540416,1694.0
4560896,1740.0
4580352,1740.0
4600832,1476.0
4620288,1606.0
4640768,1050.0
4660224,1578.0
4680704,1710.0
4700160,1716.0
4720640,1618.0
4740096,1568.0
4760576,1956.0
4780032,1730.0
4800512,1592.0
4820992,1584.0
4840448,1820.0
4860928,1410.0
4880384,1340.0
4900864,1608.0
4920320,1472.0
4940800,1452.0
4960256,1472.0
4980736,1682.0
5000192,1658.0
