Step,Value
24576,22400.0
40960,21920.0
65536,18600.0
81920,26140.0
106496,27220.0
122880,23840.0
147456,16060.0
163840,24240.0
180224,25160.0
204800,23980.0
221184,27060.0
245760,24760.0
262144,31260.0
286720,38980.0
303104,37440.0
319488,39420.0
344064,31400.0
360448,34460.0
385024,31560.0
401408,41180.0
425984,38600.0
442368,45140.0
466944,47080.0
483328,33100.0
499712,35700.0
524288,41580.0
540672,34800.0
565248,30920.0
581632,36980.0
606208,45020.0
622592,35820.0
638976,45820.0
663552,38540.0
679936,50380.0
704512,41840.0
720896,49120.0
745472,50980.0
761856,50160.0
786432,49600.0
802816,60000.0
819200,50200.0
843776,50520.0
860160,49920.0
884736,59700.0
901120,65800.0
925696,48700.0
942080,45260.0
958464,54240.0
983040,67220.0
999424,55880.0
1024000,57420.0
1040384,58300.0
1064960,55060.0
1081344,53100.0
1105920,57160.0
1122304,72520.0
1138688,53200.0
1163264,73780.0
1179648,72500.0
1204224,74380.0
1220608,82780.0
1245184,78680.0
1261568,68440.0
1277952,75980.0
1302528,103260.0
1318912,82540.0
1343488,80820.0
1359872,70800.0
1384448,83200.0
1400832,112340.0
1425408,95800.0
1441792,91040.0
1458176,111080.0
1482752,96320.0
1499136,122320.0
1523712,120360.0
1540096,107700.0
1564672,117740.0
1581056,118920.0
1597440,105340.0
1622016,125680.0
1638400,130780.0
1662976,133640.0
1679360,127240.0
1703936,133740.0
1720320,129380.0
1744896,130640.0
1761280,155940.0
1777664,142860.0
1802240,174320.0
1818624,208980.0
1843200,183140.0
1859584,207520.0
1884160,207480.0
1900544,169780.0
1916928,241140.0
1941504,212700.0
1957888,388500.0
1982464,250600.0
1998848,473920.0
2023424,292620.0
2039808,356780.0
2064384,371460.0
2080768,546120.0
2097152,1030080.0
2121728,1389080.0
2138112,798800.0
2162688,870400.0
2179072,348100.0
2203648,2291020.0
2220032,1198840.0
2236416,1632660.0
2260992,3030420.0
2277376,3032920.0
2301952,2977600.0
2318336,3019500.0
2342912,2445220.0
2359296,3057140.0
2383872,3046300.0
2400256,3064480.0
2416640,3097080.0
2441216,3047920.0
2457600,3040280.0
2482176,3093180.0
2498560,3079340.0
2523136,3100520.0
2539520,3056080.0
2555904,3127180.0
2580480,3123340.0
2596864,3141300.0
2621440,3111420.0
2637824,3114980.0
2662400,3131900.0
2678784,3113580.0
2703360,3156620.0
2719744,3170880.0
2736128,3177740.0
2760704,3171860.0
2777088,3186300.0
2801664,3194040.0
2818048,3163920.0
2842624,3165600.0
2859008,3147360.0
2875392,3176120.0
2899968,3209200.0
2916352,3209220.0
2940928,3202840.0
2957312,3161120.0
2981888,3191820.0
2998272,3202680.0
3022848,3193960.0
3039232,3187000.0
3055616,3206620.0
3080192,3219020.0
3096576,3232420.0
3121152,3263280.0
3137536,3225340.0
3162112,3230340.0
3178496,3210600.0
3194880,3238660.0
3219456,3239440.0
3235840,3257160.0
3260416,3242440.0
3276800,3254460.0
3301376,2599460.0
3317760,3252620.0
3342336,3308480.0
3358720,3253060.0
3375104,3278000.0
3399680,3276980.0
3416064,2648880.0
3440640,3290940.0
3457024,3293180.0
3481600,3263960.0
3497984,2650320.0
3514368,3309540.0
3538944,3344140.0
3555328,1962500.0
3579904,3305540.0
3596288,3335500.0
3620864,2010340.0
3637248,3306240.0
3661824,3303100.0
3678208,3307840.0
3694592,3284980.0
3719168,2653080.0
3735552,2638300.0
3760128,2637680.0
3776512,2643600.0
3801088,3310320.0
3817472,3288900.0
3833856,3318780.0
3858432,3322560.0
3874816,3322200.0
3899392,3315560.0
3915776,3326100.0
3940352,3323640.0
3956736,3341220.0
3981312,3288800.0
3997696,1999520.0
4014080,3284480.0
4038656,3311140.0
4055040,2632480.0
4079616,3306720.0
4096000,3320780.0
4120576,3299340.0
4136960,2648540.0
4153344,3316760.0
4177920,3298040.0
4194304,1990280.0
4218880,3306340.0
4235264,2651760.0
4259840,3310080.0
4276224,3303480.0
4300800,3297420.0
4317184,3308060.0
4333568,3300100.0
4358144,3300880.0
4374528,2668900.0
4399104,2651860.0
4415488,3287680.0
4440064,3287180.0
4456448,3306320.0
4472832,2652680.0
4497408,3321960.0
4513792,3318180.0
4538368,2632440.0
4554752,3300860.0
4579328,2656480.0
4595712,2654400.0
4620288,2661060.0
4636672,2661420.0
4653056,3314440.0
4677632,3311340.0
4694016,2020060.0
4718592,2678900.0
4734976,2649280.0
4759552,2017240.0
4775936,2658060.0
4792320,2667800.0
4816896,3285640.0
4833280,2657900.0
4857856,2664640.0
4874240,3287540.0
4898816,3318300.0
4915200,3313560.0
4939776,2650100.0
4956160,1340300.0
4972544,1999560.0
4997120,3302660.0
