Step,Value
20480,20.0
40960,12.0
60416,16.0
80896,14.0
100352,20.0
120832,8.0
140288,18.0
160768,10.0
180224,12.0
200704,22.0
220160,16.0
240640,14.0
260096,20.0
280576,20.0
300032,22.0
320512,20.0
340992,20.0
360448,28.0
380928,24.0
400384,18.0
420864,28.0
440320,40.0
460800,28.0
480256,34.0
500736,30.0
520192,30.0
540672,40.0
560128,28.0
580608,34.0
600064,32.0
620544,24.0
640000,30.0
660480,36.0
680960,38.0
700416,52.0
720896,64.0
740352,36.0
760832,72.0
780288,78.0
800768,82.0
820224,74.0
840704,106.0
860160,84.0
880640,96.0
900096,106.0
920576,78.0
940032,104.0
960512,70.0
980992,74.0
1000448,76.0
1020928,92.0
1040384,92.0
1060864,100.0
1080320,96.0
1100800,86.0
1120256,88.0
1140736,80.0
1160192,90.0
1180672,92.0
1200128,88.0
1220608,98.0
1240064,94.0
1260544,96.0
1280000,102.0
1300480,102.0
1320960,90.0
1340416,86.0
1360896,78.0
1380352,88.0
1400832,94.0
1420288,90.0
1440768,94.0
1460224,110.0
1480704,120.0
1500160,122.0
1520640,116.0
1540096,98.0
1560576,116.0
1580032,124.0
1600512,118.0
1620992,108.0
1640448,116.0
1660928,114.0
1680384,110.0
1700864,128.0
1720320,134.0
1740800,130.0
1760256,132.0
1780736,122.0
1800192,134.0
1820672,134.0
1840128,150.0
1860608,162.0
1880064,136.0
1900544,150.0
1920000,120.0
1940480,154.0
1960960,168.0
1980416,140.0
2000896,184.0
2020352,130.0
2040832,164.0
2060288,156.0
2080768,184.0
2100224,152.0
2120704,152.0
2140160,166.0
2160640,184.0
2180096,172.0
2200576,164.0
2220032,172.0
2240512,188.0
2260992,190.0
2280448,176.0
2300928,184.0
2320384,190.0
2340864,172.0
2360320,194.0
2380800,174.0
2400256,180.0
2420736,194.0
2440192,168.0
2460672,190.0
2480128,190.0
2500608,182.0
2520064,174.0
2540544,178.0
2560000,202.0
2580480,160.0
2600960,198.0
2620416,184.0
2640896,186.0
2660352,152.0
2680832,162.0
2700288,178.0
2720768,202.0
2740224,196.0
2760704,178.0
2780160,182.0
2800640,162.0
2820096,190.0
2840576,194.0
2860032,194.0
2880512,198.0
2900992,184.0
2920448,170.0
2940928,186.0
2960384,228.0
2980864,206.0
3000320,166.0
3020800,220.0
3040256,198.0
3060736,208.0
3080192,180.0
3100672,242.0
3120128,206.0
3140608,220.0
3160064,206.0
3180544,232.0
3200000,198.0
3220480,216.0
3240960,202.0
3260416,204.0
3280896,220.0
3300352,216.0
3320832,208.0
3340288,226.0
3360768,230.0
3380224,196.0
3400704,218.0
3420160,214.0
3440640,246.0
3460096,198.0
3480576,234.0
3500032,214.0
3520512,214.0
3540992,202.0
3560448,216.0
3580928,220.0
3600384,216.0
3620864,214.0
3640320,222.0
3660800,230.0
3680256,234.0
3700736,222.0
3720192,198.0
3740672,240.0
3760128,222.0
3780608,232.0
3800064,190.0
3820544,230.0
3840000,242.0
3860480,224.0
3880960,232.0
3900416,210.0
3920896,216.0
3940352,244.0
3960832,200.0
3980288,202.0
4000768,218.0
4020224,198.0
4040704,228.0
4060160,224.0
4080640,228.0
4100096,222.0
4120576,208.0
4140032,210.0
4160512,200.0
4180992,234.0
4200448,200.0
4220928,206.0
4240384,224.0
4260864,202.0
4280320,178.0
4300800,212.0
4320256,212.0
4340736,206.0
4360192,222.0
4380672,222.0
4400128,220.0
4420608,198.0
4440064,226.0
4460544,218.0
4480000,202.0
4500480,204.0
4520960,216.0
4540416,208.0
4560896,208.0
4580352,200.0
4600832,202.0
4620288,198.0
4640768,174.0
4660224,200.0
4680704,168.0
4700160,194.0
4720640,206.0
4740096,208.0
4760576,242.0
4780032,198.0
4800512,198.0
4820992,198.0
4840448,174.0
4860928,198.0
4880384,188.0
4900864,178.0
4920320,200.0
4940800,230.0
4960256,196.0
4980736,188.0
5000192,176.0
