Step,Value
24576,3600.0
40960,3200.0
65536,5400.0
81920,3400.0
106496,4600.0
122880,3400.0
147456,5000.0
163840,9000.0
180224,6800.0
204800,9600.0
221184,5400.0
245760,6000.0
262144,9000.0
286720,10000.0
303104,7800.0
319488,7000.0
344064,11400.0
360448,9800.0
385024,8400.0
401408,7200.0
425984,9400.0
442368,8800.0
466944,10000.0
483328,9800.0
499712,12400.0
524288,10400.0
540672,13000.0
565248,10800.0
581632,15400.0
606208,9600.0
622592,9000.0
638976,15200.0
663552,9800.0
679936,12400.0
704512,9000.0
720896,13800.0
745472,11400.0
761856,17000.0
786432,12600.0
802816,14800.0
819200,12800.0
843776,13800.0
860160,8600.0
884736,17800.0
901120,10600.0
925696,15600.0
942080,12000.0
958464,13000.0
983040,15000.0
999424,19200.0
1024000,12400.0
1040384,15600.0
1064960,14800.0
1081344,8600.0
1105920,14600.0
1122304,14600.0
1138688,12800.0
1163264,21800.0
1179648,12400.0
1204224,15800.0
1220608,14800.0
1245184,10800.0
1261568,13200.0
1277952,19800.0
1302528,10600.0
1318912,15000.0
1343488,12600.0
1359872,19400.0
1384448,13800.0
1400832,10800.0
1425408,15800.0
1441792,17400.0
1458176,20000.0
1482752,16000.0
1499136,12000.0
1523712,15200.0
1540096,16200.0
1564672,22200.0
1581056,16800.0
1597440,21000.0
1622016,17000.0
1638400,14400.0
1662976,17200.0
1679360,14800.0
1703936,20200.0
1720320,14600.0
1744896,14600.0
1761280,17000.0
1777664,18200.0
1802240,20000.0
1818624,19400.0
1843200,18000.0
1859584,21000.0
1884160,17800.0
1900544,18200.0
1916928,21000.0
1941504,23600.0
1957888,21400.0
1982464,18200.0
1998848,22400.0
2023424,20600.0
2039808,17600.0
2064384,18400.0
2080768,19600.0
2097152,20800.0
2121728,17000.0
2138112,17000.0
2162688,17200.0
2179072,17200.0
2203648,17800.0
2220032,18000.0
2236416,21600.0
2260992,18600.0
2277376,20200.0
2301952,17600.0
2318336,22200.0
2342912,16600.0
2359296,14200.0
2383872,22000.0
2400256,18200.0
2416640,21400.0
2441216,19000.0
2457600,20200.0
2482176,17000.0
2498560,20600.0
2523136,17600.0
2539520,21400.0
2555904,21400.0
2580480,21000.0
2596864,19800.0
2621440,23400.0
2637824,22000.0
2662400,22600.0
2678784,20000.0
2703360,23000.0
2719744,21400.0
2736128,22400.0
2760704,18400.0
2777088,18400.0
2801664,16800.0
2818048,18400.0
2842624,17800.0
2859008,16800.0
2875392,25000.0
2899968,19400.0
2916352,18600.0
2940928,16400.0
2957312,18400.0
2981888,20400.0
2998272,22400.0
3022848,19400.0
3039232,16400.0
3055616,17200.0
3080192,15000.0
3096576,14800.0
3121152,18800.0
3137536,17600.0
3162112,22200.0
3178496,19400.0
3194880,19400.0
3219456,16200.0
3235840,19600.0
3260416,20800.0
3276800,19200.0
3301376,20400.0
3317760,19000.0
3342336,17200.0
3358720,20400.0
3375104,21800.0
3399680,17600.0
3416064,20000.0
3440640,23000.0
3457024,19800.0
3481600,16000.0
3497984,24800.0
3514368,19000.0
3538944,19400.0
3555328,17200.0
3579904,20600.0
3596288,18000.0
3620864,20400.0
3637248,21000.0
3661824,17400.0
3678208,18400.0
3694592,22000.0
3719168,21400.0
3735552,22800.0
3760128,22600.0
3776512,24600.0
3801088,29600.0
3817472,24800.0
3833856,17200.0
3858432,21200.0
3874816,20800.0
3899392,22800.0
3915776,18400.0
3940352,20000.0
3956736,23600.0
3981312,25200.0
3997696,23200.0
4014080,26400.0
4038656,23800.0
4055040,22000.0
4079616,20200.0
4096000,21600.0
4120576,23000.0
4136960,19800.0
4153344,25200.0
4177920,26200.0
4194304,22800.0
4218880,17200.0
4235264,24000.0
4259840,19000.0
4276224,19000.0
4300800,22800.0
4317184,18600.0
4333568,24000.0
4358144,24400.0
4374528,24000.0
4399104,22600.0
4415488,24800.0
4440064,24600.0
4456448,18800.0
4472832,20600.0
4497408,25600.0
4513792,24000.0
4538368,28200.0
4554752,23200.0
4579328,20200.0
4595712,23800.0
4620288,25000.0
4636672,25000.0
4653056,24800.0
4677632,19400.0
4694016,27000.0
4718592,21400.0
4734976,22000.0
4759552,22400.0
4775936,18800.0
4792320,29200.0
4816896,23600.0
4833280,14000.0
4857856,20600.0
4874240,23600.0
4898816,17000.0
4915200,26600.0
4939776,26600.0
4956160,25000.0
4972544,23000.0
4997120,21400.0
