Step,Value
20480,369.6000061035156
40960,413.6000061035156
60416,343.20001220703125
80896,520.0
100352,448.79998779296875
120832,652.7999877929688
140288,396.0
160768,519.2000122070312
180224,334.3999938964844
200704,495.20001220703125
220160,484.79998779296875
240640,584.7999877929688
260096,547.2000122070312
280576,598.4000244140625
300032,589.5999755859375
320512,492.79998779296875
340992,457.6000061035156
360448,501.6000061035156
380928,607.2000122070312
400384,528.0
420864,591.2000122070312
440320,608.7999877929688
460800,692.0
480256,666.4000244140625
500736,492.79998779296875
520192,778.4000244140625
540672,724.7999877929688
560128,503.20001220703125
580608,628.0
600064,655.2000122070312
620544,723.2000122070312
640000,524.7999877929688
660480,607.2000122070312
680960,636.0
700416,667.2000122070312
720896,586.4000244140625
740352,698.4000244140625
760832,572.0
780288,617.5999755859375
800768,815.2000122070312
820224,538.4000244140625
840704,600.7999877929688
860160,545.5999755859375
880640,737.5999755859375
900096,556.0
920576,440.0
940032,484.0
960512,698.4000244140625
980992,634.4000244140625
1000448,552.7999877929688
1020928,628.7999877929688
1040384,475.20001220703125
1060864,749.5999755859375
1080320,532.0
1100800,692.7999877929688
1120256,636.7999877929688
1140736,603.2000122070312
1160192,664.0
1180672,636.7999877929688
1200128,806.4000244140625
1220608,682.4000244140625
1240064,757.5999755859375
1260544,816.0
1280000,747.2000122070312
1300480,620.7999877929688
1320960,643.2000122070312
1340416,731.2000122070312
1360896,747.2000122070312
1380352,687.2000122070312
1400832,737.5999755859375
1420288,770.4000244140625
1440768,652.7999877929688
1460224,528.0
1480704,690.4000244140625
1500160,736.7999877929688
1520640,904.7999877929688
1540096,910.4000244140625
1560576,775.2000122070312
1580032,890.4000244140625
1600512,805.5999755859375
1620992,780.0
1640448,988.0
1660928,924.7999877929688
1680384,909.5999755859375
1700864,909.5999755859375
1720320,909.5999755859375
1740800,806.4000244140625
1760256,1060.800048828125
1780736,957.5999755859375
1800192,815.2000122070312
1820672,720.0
1840128,871.2000122070312
1860608,1256.0
1880064,844.0
1900544,1604.0
1920000,1342.4000244140625
1940480,1166.4000244140625
1960960,892.0
1980416,1063.199951171875
2000896,1236.800048828125
2020352,996.0
2040832,1216.800048828125
