Step,Value
20480,1842.199951171875
40960,2285.800048828125
60416,2171.39990234375
80896,1917.5999755859375
100352,2022.0
120832,1422.199951171875
140288,2130.39990234375
160768,3241.60009765625
180224,2097.199951171875
200704,2451.0
220160,1869.199951171875
240640,3002.800048828125
260096,4035.39990234375
280576,2251.199951171875
300032,2097.60009765625
320512,1767.4000244140625
340992,1908.0
360448,2644.199951171875
380928,3086.199951171875
400384,3905.199951171875
420864,1490.4000244140625
440320,2252.800048828125
460800,3604.60009765625
480256,2503.199951171875
500736,3044.39990234375
520192,1760.800048828125
540672,3011.39990234375
560128,2605.0
580608,2749.39990234375
600064,3539.199951171875
620544,1186.4000244140625
640000,1717.5999755859375
660480,2783.800048828125
680960,3064.39990234375
700416,2008.0
720896,2104.39990234375
740352,3403.60009765625
760832,1928.800048828125
780288,2870.0
800768,2641.800048828125
820224,1782.4000244140625
840704,1592.199951171875
860160,3935.800048828125
880640,3990.0
900096,2516.800048828125
920576,2195.800048828125
940032,3649.199951171875
960512,2339.800048828125
980992,3436.60009765625
1000448,2688.199951171875
1020928,3363.39990234375
1040384,2821.0
1060864,3067.800048828125
1080320,2862.199951171875
1100800,3561.199951171875
1120256,2075.60009765625
1140736,4207.0
1160192,3111.60009765625
1180672,1839.800048828125
1200128,3355.60009765625
1220608,2891.60009765625
1240064,2456.39990234375
1260544,5002.0
1280000,3782.39990234375
1300480,3911.0
1320960,2750.0
1340416,2414.39990234375
1360896,4124.2001953125
1380352,1479.4000244140625
1400832,2852.39990234375
1420288,6144.7998046875
1440768,2337.800048828125
1460224,4182.7998046875
1480704,3451.800048828125
1500160,2061.199951171875
1520640,3355.199951171875
1540096,2749.0
1560576,3519.0
1580032,1718.199951171875
1600512,3420.199951171875
1620992,2601.0
1640448,2763.800048828125
1660928,2418.60009765625
1680384,4325.39990234375
1700864,2829.39990234375
1720320,1763.800048828125
1740800,2479.39990234375
1760256,3244.0
1780736,2765.0
1800192,3060.60009765625
1820672,2597.199951171875
1840128,1843.800048828125
1860608,1403.199951171875
1880064,4471.0
1900544,3260.800048828125
1920000,4247.60009765625
1940480,4066.199951171875
1960960,2710.199951171875
1980416,3522.0
2000896,3724.800048828125
2020352,3069.60009765625
2040832,1994.0
2060288,2998.60009765625
2080768,1532.0
2100224,3176.0
2120704,2420.60009765625
2140160,2421.800048828125
2160640,3468.60009765625
2180096,2258.39990234375
2200576,3159.0
2220032,3108.60009765625
2240512,3078.0
2260992,2540.60009765625
2280448,2983.39990234375
2300928,2081.199951171875
2320384,2875.199951171875
2340864,2986.800048828125
2360320,3150.0
2380800,3876.800048828125
2400256,3511.0
2420736,2488.0
2440192,3887.39990234375
2460672,2211.0
2480128,2454.800048828125
2500608,3017.0
2520064,2291.800048828125
2540544,2434.60009765625
2560000,3597.199951171875
2580480,3398.0
2600960,4156.7998046875
2620416,2497.800048828125
2640896,2730.60009765625
2660352,2255.199951171875
2680832,2766.800048828125
2700288,3342.800048828125
2720768,2469.0
2740224,2361.199951171875
2760704,3360.39990234375
2780160,3375.60009765625
2800640,2437.199951171875
2820096,1955.800048828125
2840576,2719.0
2860032,3358.39990234375
2880512,3589.800048828125
2900992,2458.800048828125
2920448,3029.39990234375
2940928,3303.0
2960384,1885.5999755859375
2980864,2262.800048828125
3000320,1924.199951171875
3020800,3771.800048828125
3040256,2556.0
3060736,3419.800048828125
3080192,4914.0
3100672,2454.60009765625
3120128,4937.7998046875
3140608,4322.39990234375
3160064,2698.60009765625
3180544,5532.60009765625
3200000,2051.199951171875
3220480,4177.39990234375
3240960,2579.0
3260416,2238.800048828125
3280896,4001.800048828125
3300352,2752.800048828125
3320832,2632.60009765625
3340288,3844.0
3360768,3185.60009765625
3380224,2680.39990234375
3400704,3031.60009765625
3420160,2714.0
3440640,1956.199951171875
3460096,3545.0
3480576,3536.39990234375
3500032,3094.800048828125
3520512,4299.60009765625
3540992,3058.39990234375
3560448,4680.2001953125
3580928,3806.39990234375
3600384,3038.800048828125
3620864,4473.60009765625
3640320,4561.39990234375
3660800,5534.60009765625
3680256,4035.800048828125
3700736,2438.39990234375
3720192,4316.2001953125
3740672,4567.60009765625
3760128,4055.39990234375
3780608,1938.4000244140625
3800064,2427.39990234375
3820544,4501.39990234375
3840000,2236.39990234375
3860480,3829.39990234375
3880960,4294.60009765625
3900416,2946.0
3920896,2409.60009765625
3940352,2119.199951171875
3960832,2965.0
3980288,3181.0
4000768,3334.39990234375
4020224,2915.800048828125
4040704,3203.0
4060160,2271.0
4080640,3220.60009765625
4100096,3259.60009765625
4120576,3065.39990234375
4140032,2636.0
4160512,4578.7998046875
4180992,2927.39990234375
4200448,3482.60009765625
4220928,2462.60009765625
4240384,3566.0
4260864,2386.0
4280320,2069.199951171875
4300800,3395.800048828125
4320256,4668.7998046875
4340736,2172.39990234375
4360192,3739.60009765625
4380672,3371.60009765625
4400128,3520.0
4420608,3101.0
4440064,2628.800048828125
4460544,2625.199951171875
4480000,1836.5999755859375
4500480,2749.60009765625
4520960,4047.60009765625
4540416,3152.39990234375
4560896,3112.60009765625
4580352,3308.0
4600832,3875.0
4620288,3746.60009765625
4640768,2963.0
4660224,3091.800048828125
4680704,3441.800048828125
4700160,2474.800048828125
4720640,3435.60009765625
4740096,2030.199951171875
4760576,1497.199951171875
4780032,4302.2001953125
4800512,3361.800048828125
4820992,2859.60009765625
4840448,2981.39990234375
4860928,1766.199951171875
4880384,3831.0
4900864,2660.39990234375
4920320,2602.199951171875
