Step,Value
20480,920.0
40960,1060.0
60416,1160.0
80896,1280.0
100352,760.0
120832,880.0
140288,920.0
160768,620.0
180224,740.0
200704,940.0
220160,520.0
240640,820.0
260096,560.0
280576,820.0
300032,620.0
320512,860.0
340992,680.0
360448,540.0
380928,700.0
400384,700.0
420864,700.0
440320,800.0
460800,600.0
480256,940.0
500736,820.0
520192,760.0
540672,1020.0
560128,1020.0
580608,800.0
600064,780.0
620544,600.0
640000,860.0
660480,840.0
680960,720.0
700416,680.0
720896,900.0
740352,940.0
760832,760.0
780288,840.0
800768,640.0
820224,840.0
840704,820.0
860160,740.0
880640,880.0
900096,760.0
920576,1020.0
940032,620.0
960512,840.0
980992,420.0
1000448,480.0
1020928,620.0
1040384,980.0
1060864,980.0
1080320,1180.0
1100800,800.0
1120256,1260.0
1140736,1080.0
1160192,820.0
1180672,840.0
1200128,740.0
1220608,1000.0
1240064,640.0
1260544,720.0
1280000,500.0
1300480,400.0
1320960,580.0
1340416,640.0
1360896,560.0
1380352,520.0
1400832,620.0
1420288,740.0
1440768,740.0
1460224,1040.0
1480704,900.0
1500160,700.0
1520640,620.0
1540096,700.0
1560576,640.0
1580032,660.0
1600512,840.0
1620992,980.0
1640448,620.0
1660928,1040.0
1680384,1000.0
1700864,900.0
1720320,640.0
1740800,760.0
1760256,820.0
1780736,800.0
1800192,840.0
1820672,640.0
1840128,720.0
1860608,720.0
1880064,620.0
1900544,700.0
1920000,820.0
1940480,1060.0
1960960,1020.0
1980416,1020.0
2000896,980.0
2020352,820.0
2040832,1180.0
2060288,680.0
2080768,780.0
2100224,960.0
2120704,640.0
2140160,1020.0
2160640,860.0
2180096,920.0
2200576,900.0
2220032,740.0
2240512,700.0
2260992,1100.0
2280448,740.0
2300928,840.0
2320384,880.0
2340864,900.0
2360320,680.0
2380800,560.0
2400256,900.0
2420736,1260.0
2440192,940.0
2460672,920.0
2480128,580.0
2500608,840.0
2520064,840.0
2540544,1060.0
2560000,880.0
2580480,1140.0
2600960,860.0
2620416,820.0
2640896,1200.0
2660352,700.0
2680832,880.0
2700288,1000.0
2720768,880.0
2740224,860.0
2760704,1160.0
2780160,780.0
2800640,860.0
2820096,620.0
2840576,880.0
2860032,1180.0
2880512,980.0
2900992,1140.0
2920448,780.0
2940928,800.0
2960384,1000.0
2980864,1080.0
3000320,1200.0
3020800,880.0
3040256,980.0
3060736,980.0
3080192,840.0
3100672,840.0
3120128,980.0
3140608,840.0
3160064,800.0
3180544,1120.0
3200000,960.0
3220480,940.0
3240960,1080.0
3260416,900.0
3280896,600.0
3300352,700.0
3320832,840.0
3340288,900.0
3360768,880.0
3380224,660.0
3400704,740.0
3420160,680.0
3440640,700.0
3460096,640.0
3480576,780.0
3500032,1000.0
3520512,1060.0
3540992,720.0
3560448,740.0
3580928,720.0
3600384,800.0
3620864,820.0
3640320,800.0
3660800,700.0
3680256,860.0
3700736,660.0
3720192,940.0
3740672,820.0
3760128,700.0
3780608,660.0
3800064,600.0
3820544,620.0
3840000,820.0
3860480,900.0
3880960,880.0
3900416,880.0
3920896,820.0
3940352,880.0
3960832,680.0
3980288,640.0
4000768,740.0
4020224,840.0
4040704,980.0
4060160,580.0
4080640,600.0
4100096,660.0
4120576,780.0
4140032,840.0
4160512,700.0
4180992,920.0
4200448,740.0
4220928,780.0
4240384,1120.0
4260864,960.0
4280320,1140.0
4300800,720.0
4320256,1020.0
4340736,1360.0
4360192,660.0
4380672,800.0
4400128,700.0
4420608,740.0
4440064,880.0
4460544,900.0
4480000,800.0
4500480,940.0
4520960,800.0
4540416,720.0
4560896,780.0
4580352,860.0
4600832,1040.0
4620288,680.0
4640768,760.0
4660224,740.0
4680704,760.0
4700160,760.0
4720640,800.0
4740096,820.0
4760576,1200.0
4780032,840.0
4800512,660.0
4820992,920.0
4840448,740.0
4860928,740.0
4880384,820.0
4900864,1040.0
4920320,1000.0
4940800,1060.0
4960256,880.0
4980736,840.0
5000192,1540.0
