Step,Value
20480,10040.0
40960,11780.0
60416,11100.0
80896,10740.0
100352,12700.0
120832,11000.0
140288,14920.0
160768,11000.0
180224,26960.0
200704,25020.0
220160,30900.0
240640,27780.0
260096,37440.0
280576,22220.0
300032,32900.0
320512,39340.0
340992,35820.0
360448,31700.0
380928,28580.0
400384,42840.0
420864,54500.0
440320,43580.0
460800,37540.0
480256,49600.0
500736,35480.0
520192,45360.0
540672,38360.0
560128,32020.0
580608,46240.0
600064,36980.0
620544,35540.0
640000,43540.0
660480,45340.0
680960,43200.0
700416,46600.0
720896,38240.0
740352,50320.0
760832,30720.0
780288,54940.0
800768,56600.0
820224,45400.0
840704,36020.0
860160,45120.0
880640,45420.0
900096,66560.0
920576,69700.0
940032,52500.0
960512,80600.0
980992,71420.0
1000448,65080.0
1020928,59220.0
1040384,62340.0
1060864,51580.0
1080320,51440.0
1100800,69240.0
1120256,62160.0
1140736,59940.0
1160192,74420.0
1180672,35080.0
1200128,49660.0
1220608,62480.0
1240064,48780.0
1260544,58000.0
1280000,57420.0
1300480,73840.0
1320960,96700.0
1340416,95620.0
1360896,67360.0
1380352,48540.0
1400832,67180.0
1420288,62820.0
1440768,73980.0
1460224,75400.0
1480704,65920.0
1500160,73220.0
1520640,76160.0
1540096,76740.0
1560576,60560.0
1580032,59100.0
1600512,75280.0
1620992,88100.0
1640448,55300.0
1660928,76140.0
1680384,74520.0
1700864,34820.0
1720320,78560.0
1740800,58160.0
1760256,98000.0
1780736,86720.0
1800192,96800.0
1820672,38400.0
1840128,74820.0
1860608,46480.0
1880064,77440.0
1900544,87520.0
1920000,105700.0
1940480,91440.0
1960960,81320.0
1980416,82280.0
2000896,64800.0
2020352,81100.0
2040832,93500.0
2060288,88060.0
2080768,90760.0
2100224,88040.0
2120704,85200.0
2140160,100180.0
2160640,83660.0
2180096,103660.0
2200576,106500.0
2220032,76300.0
2240512,103260.0
2260992,97800.0
2280448,91620.0
2300928,107520.0
2320384,105480.0
2340864,78980.0
2360320,77540.0
2380800,93380.0
2400256,102720.0
2420736,78920.0
2440192,88580.0
2460672,87420.0
2480128,85900.0
2500608,103300.0
2520064,93120.0
2540544,74840.0
2560000,66620.0
2580480,104080.0
2600960,102200.0
2620416,97560.0
2640896,70160.0
2660352,65960.0
2680832,78300.0
2700288,64380.0
2720768,96080.0
2740224,97440.0
2760704,86720.0
2780160,90760.0
2800640,102920.0
2820096,97140.0
2840576,83740.0
2860032,98320.0
2880512,96060.0
2900992,68700.0
2920448,88260.0
2940928,92540.0
2960384,86640.0
2980864,59400.0
3000320,104100.0
3020800,106700.0
3040256,93520.0
3060736,100620.0
3080192,74400.0
3100672,89700.0
3120128,87320.0
3140608,96360.0
3160064,61980.0
3180544,85060.0
3200000,91540.0
3220480,64920.0
3240960,97140.0
3260416,107020.0
3280896,101600.0
3300352,71020.0
3320832,74740.0
3340288,92440.0
3360768,70860.0
3380224,78920.0
3400704,71500.0
3420160,89460.0
3440640,89460.0
3460096,87000.0
3480576,89980.0
3500032,95580.0
3520512,94440.0
3540992,86900.0
3560448,67060.0
3580928,112220.0
3600384,109100.0
3620864,92160.0
3640320,98900.0
3660800,97280.0
3680256,96700.0
3700736,90160.0
3720192,98200.0
3740672,82920.0
3760128,85900.0
3780608,91940.0
3800064,94900.0
3820544,81360.0
3840000,105720.0
3860480,108620.0
3880960,96660.0
3900416,81340.0
3920896,86340.0
3940352,110400.0
3960832,109140.0
3980288,93420.0
4000768,66460.0
4020224,95660.0
4040704,107920.0
4060160,99700.0
4080640,88660.0
4100096,84800.0
4120576,94180.0
4140032,98720.0
4160512,76340.0
4180992,105620.0
4200448,90960.0
4220928,100380.0
4240384,87680.0
4260864,105120.0
4280320,105080.0
4300800,98240.0
4320256,93360.0
4340736,105960.0
4360192,84700.0
4380672,95700.0
4400128,93540.0
4420608,114580.0
4440064,95100.0
4460544,96160.0
4480000,68260.0
4500480,113160.0
4520960,95940.0
4540416,104220.0
4560896,98580.0
4580352,103880.0
4600832,100820.0
4620288,91180.0
4640768,101520.0
4660224,89380.0
4680704,106640.0
4700160,105240.0
4720640,86400.0
4740096,72220.0
4760576,90260.0
4780032,102220.0
4800512,89380.0
4820992,79340.0
4840448,101240.0
4860928,113220.0
4880384,103140.0
4900864,110680.0
4920320,90980.0
4940800,103160.0
4960256,94460.0
4980736,100360.0
5000192,95880.0
