Step,Value
32768,220.0
65536,207.0
98304,201.0
131072,221.0
163840,234.0
196608,177.0
229376,160.0
262144,354.0
294912,217.0
327680,463.0
360448,560.0
393216,591.0
425984,380.0
458752,1105.0
491520,713.0
524288,952.0
557056,729.0
589824,915.0
622592,748.0
655360,960.0
688128,893.0
720896,1223.0
753664,885.0
786432,971.0
819200,1730.0
851968,1288.0
884736,1102.0
917504,696.0
950272,546.0
983040,2196.0
1015808,1858.0
1048576,1512.0
1081344,1043.0
1114112,2521.0
1146880,1102.0
1179648,1708.0
1212416,2603.0
1245184,1634.0
1277952,3467.0
1310720,2394.0
1343488,1715.0
1376256,2609.0
1409024,1493.0
1441792,1334.0
1474560,1398.0
1507328,1864.0
1540096,3563.0
1572864,2348.0
1605632,2861.0
1638400,2050.0
1671168,3699.0
1703936,2808.0
1736704,2852.0
1769472,1964.0
1802240,2381.0
1835008,2961.0
1867776,1516.0
1900544,3066.0
1933312,3085.0
1966080,2673.0
1998848,3314.0
2031616,2856.0
2064384,2990.0
2097152,3939.0
2129920,2961.0
2162688,2720.0
2195456,3748.0
2228224,2139.0
2260992,2488.0
2293760,2310.0
2326528,3267.0
2359296,2415.0
2392064,4040.0
2424832,2431.0
2457600,3112.0
2490368,2188.0
2523136,3528.0
2555904,4167.0
2588672,4066.0
2621440,2161.0
2654208,2334.0
2686976,4517.0
2719744,2194.0
2752512,2948.0
2785280,2532.0
2818048,3916.0
2850816,5174.0
2883584,3350.0
2916352,3826.0
2949120,2290.0
2981888,4001.0
3014656,2817.0
3047424,3340.0
3080192,1979.0
3112960,3306.0
3145728,3573.0
3178496,4278.0
3211264,3539.0
3244032,3498.0
3276800,4648.0
3309568,2783.0
3342336,4588.0
3375104,5094.0
3407872,2544.0
3440640,2925.0
3473408,4596.0
3506176,4065.0
3538944,3458.0
3571712,4341.0
3604480,3690.0
3637248,4620.0
3670016,3892.0
3702784,4976.0
3735552,4830.0
3768320,6238.0
3801088,5070.0
3833856,4480.0
3866624,3556.0
3899392,3488.0
3932160,5728.0
3964928,3828.0
3997696,5290.0
4030464,3580.0
4063232,3676.0
4096000,3753.0
4128768,4232.0
4161536,5361.0
4194304,3993.0
4227072,4563.0
4259840,4430.0
4292608,3202.0
4325376,5212.0
4358144,4684.0
4390912,5892.0
4423680,3298.0
4456448,4347.0
4489216,3902.0
4521984,6048.0
4554752,5396.0
4587520,4652.0
4620288,4972.0
4653056,5529.0
4685824,4298.0
4718592,4925.0
4751360,1865.0
4784128,2623.0
4816896,4929.0
4849664,6499.0
4882432,3927.0
4915200,4339.0
4947968,4438.0
4980736,6410.0
5013504,4070.0
5046272,3650.0
5079040,6927.0
5111808,4833.0
5144576,5356.0
5177344,4223.0
5210112,3214.0
5242880,3540.0
5275648,4284.0
5308416,6300.0
5341184,3900.0
5373952,6007.0
5406720,5424.0
5439488,5938.0
5472256,6224.0
5505024,4704.0
5537792,5661.0
5570560,5837.0
5603328,5147.0
5636096,6290.0
5668864,6791.0
5701632,6536.0
5734400,5924.0
5767168,6873.0
5799936,5584.0
5832704,5725.0
5865472,4123.0
5898240,7755.0
5931008,6825.0
5963776,6943.0
5996544,4582.0
6029312,4942.0
6062080,5200.0
6094848,6463.0
6127616,6017.0
6160384,4183.0
6193152,5177.0
6225920,6574.0
6258688,6483.0
6291456,7070.0
6324224,4086.0
6356992,5204.0
6389760,5028.0
6422528,6215.0
6455296,6326.0
6488064,7399.0
6520832,4851.0
6553600,7824.0
6586368,5285.0
6619136,5117.0
6651904,6532.0
6684672,6676.0
6717440,6714.0
6750208,7250.0
6782976,6720.0
6815744,8051.0
6848512,6852.0
6881280,5901.0
6914048,7157.0
6946816,8132.0
6979584,7792.0
7012352,5257.0
7045120,6137.0
7077888,5442.0
7110656,6348.0
7143424,6418.0
7176192,7232.0
