Step,Value
20480,-19.600000381469727
40960,-21.200000762939453
60416,-19.200000762939453
80896,-18.399999618530273
100352,-18.0
120832,-21.200000762939453
140288,-18.0
160768,-20.799999237060547
180224,-14.800000190734863
200704,-18.0
220160,-18.399999618530273
240640,-18.0
260096,-15.199999809265137
280576,-16.799999237060547
300032,-17.600000381469727
320512,-19.200000762939453
340992,-17.200000762939453
360448,-18.399999618530273
380928,-14.800000190734863
400384,-18.399999618530273
420864,-20.399999618530273
440320,-18.799999237060547
460800,-16.0
480256,-19.600000381469727
500736,-19.200000762939453
520192,-14.0
540672,-17.600000381469727
560128,-16.0
580608,-18.799999237060547
600064,-18.0
620544,-16.399999618530273
640000,-13.600000381469727
660480,-17.600000381469727
680960,-18.399999618530273
700416,-16.399999618530273
720896,-17.200000762939453
740352,-16.399999618530273
760832,-16.0
780288,-18.399999618530273
800768,-13.600000381469727
820224,-18.0
840704,-16.399999618530273
860160,-15.600000381469727
880640,-15.600000381469727
900096,-18.799999237060547
920576,-16.399999618530273
940032,-15.600000381469727
960512,-16.799999237060547
980992,-18.0
1000448,-16.799999237060547
1020928,-17.200000762939453
1040384,-17.200000762939453
1060864,-16.799999237060547
1080320,-15.199999809265137
1100800,-14.0
1120256,-15.199999809265137
1140736,-15.600000381469727
1160192,-14.800000190734863
1180672,-15.600000381469727
1200128,-13.600000381469727
1220608,-18.0
1240064,-16.0
1260544,-16.399999618530273
1280000,-17.200000762939453
1300480,-15.600000381469727
1320960,-14.399999618530273
1340416,-14.0
1360896,-13.199999809265137
1380352,-16.399999618530273
1400832,-15.199999809265137
1420288,-12.399999618530273
1440768,-16.0
1460224,-17.200000762939453
1480704,-13.600000381469727
1500160,-14.399999618530273
1520640,-11.199999809265137
1540096,-12.800000190734863
1560576,-17.200000762939453
1580032,-12.399999618530273
1600512,-15.199999809265137
1620992,-18.0
1640448,-12.399999618530273
1660928,-13.199999809265137
1680384,-12.399999618530273
1700864,-14.0
1720320,-14.0
1740800,-14.0
1760256,-11.199999809265137
1780736,-14.0
1800192,-12.399999618530273
1820672,-14.0
1840128,-12.0
1860608,-14.800000190734863
1880064,-14.0
1900544,-15.199999809265137
1920000,-14.0
1940480,-14.800000190734863
1960960,-8.399999618530273
1980416,-14.399999618530273
2000896,-11.600000381469727
2020352,-11.199999809265137
2040832,-13.600000381469727
2060288,-12.0
2080768,-13.600000381469727
2100224,-16.0
2120704,-10.0
2140160,-14.399999618530273
2160640,-13.199999809265137
2180096,-13.600000381469727
2200576,-15.600000381469727
2220032,-10.0
2240512,-15.600000381469727
2260992,-14.800000190734863
2280448,-12.800000190734863
2300928,-10.0
2320384,-12.399999618530273
2340864,-12.0
2360320,-9.600000381469727
2380800,-14.800000190734863
2400256,-12.399999618530273
2420736,-9.600000381469727
2440192,-9.199999809265137
2460672,-9.600000381469727
2480128,-12.399999618530273
2500608,-10.800000190734863
2520064,-4.800000190734863
2540544,-9.600000381469727
2560000,-12.800000190734863
2580480,-9.600000381469727
2600960,-11.600000381469727
2620416,-11.199999809265137
2640896,-8.800000190734863
2660352,-9.199999809265137
2680832,-9.199999809265137
2700288,-8.800000190734863
2720768,-8.399999618530273
2740224,-7.599999904632568
2760704,-12.0
2780160,-10.0
2800640,-8.399999618530273
2820096,-9.199999809265137
2840576,-14.0
2860032,-9.600000381469727
2880512,-13.199999809265137
2900992,-9.199999809265137
2920448,-9.600000381469727
2940928,-13.600000381469727
2960384,-11.600000381469727
2980864,-11.600000381469727
3000320,-11.600000381469727
3020800,-12.800000190734863
3040256,-10.800000190734863
3060736,-14.399999618530273
3080192,-12.0
3100672,-13.600000381469727
3120128,-9.199999809265137
3140608,-11.600000381469727
3160064,-8.0
3180544,-10.399999618530273
3200000,-10.800000190734863
3220480,-12.0
3240960,-12.0
3260416,-10.800000190734863
3280896,-10.800000190734863
3300352,-6.400000095367432
3320832,-4.400000095367432
3340288,-10.399999618530273
3360768,-8.399999618530273
3380224,-12.800000190734863
3400704,-8.800000190734863
3420160,-7.599999904632568
3440640,-12.0
3460096,-4.400000095367432
3480576,-8.0
3500032,-6.800000190734863
3520512,-9.600000381469727
3540992,-7.199999809265137
3560448,-6.0
3580928,-7.599999904632568
3600384,-8.800000190734863
3620864,-12.0
3640320,-6.800000190734863
3660800,-8.800000190734863
3680256,-9.600000381469727
3700736,-12.800000190734863
3720192,-7.199999809265137
3740672,-8.800000190734863
3760128,-11.199999809265137
3780608,-3.5999999046325684
3800064,-10.399999618530273
3820544,-8.0
3840000,-13.199999809265137
3860480,-7.199999809265137
3880960,-9.199999809265137
3900416,-12.399999618530273
3920896,-11.199999809265137
3940352,-11.600000381469727
3960832,-4.400000095367432
3980288,-9.199999809265137
4000768,-8.399999618530273
4020224,-9.600000381469727
4040704,-8.0
4060160,-10.0
4080640,-10.399999618530273
4100096,-7.199999809265137
4120576,-7.599999904632568
4140032,-12.800000190734863
4160512,-10.399999618530273
4180992,-9.600000381469727
4200448,-6.800000190734863
4220928,-8.800000190734863
4240384,-8.800000190734863
4260864,-6.800000190734863
4280320,-12.0
4300800,-7.599999904632568
4320256,-10.0
4340736,-6.800000190734863
4360192,-10.399999618530273
4380672,-5.599999904632568
4400128,-10.800000190734863
4420608,-6.400000095367432
4440064,-7.599999904632568
4460544,-6.800000190734863
4480000,-11.199999809265137
4500480,-5.199999809265137
4520960,-11.199999809265137
4540416,-8.800000190734863
4560896,-9.199999809265137
4580352,-8.800000190734863
4600832,-4.400000095367432
4620288,-10.800000190734863
4640768,-11.600000381469727
4660224,-6.800000190734863
4680704,-11.199999809265137
4700160,-7.599999904632568
4720640,-12.0
4740096,-6.400000095367432
4760576,-12.399999618530273
4780032,-5.599999904632568
4800512,-12.399999618530273
4820992,-7.599999904632568
4840448,-8.0
4860928,-6.400000095367432
4880384,-13.199999809265137
4900864,-6.800000190734863
4920320,-10.0
4940800,-6.0
4960256,-9.199999809265137
4980736,-5.599999904632568
5000192,-5.599999904632568
