Step,Value
20480,-89.0
40960,-93.4000015258789
60416,-93.4000015258789
80896,-91.0
100352,-94.5999984741211
120832,-93.80000305175781
140288,-92.19999694824219
160768,-96.19999694824219
180224,-89.80000305175781
200704,-92.19999694824219
220160,-92.5999984741211
240640,-93.0
260096,-97.0
280576,-95.0
300032,-98.5999984741211
320512,-97.4000015258789
340992,-97.4000015258789
360448,-93.80000305175781
380928,-97.80000305175781
400384,-97.4000015258789
420864,-94.5999984741211
440320,-96.5999984741211
460800,-91.80000305175781
480256,-96.19999694824219
500736,-96.5999984741211
520192,-97.4000015258789
540672,-95.80000305175781
560128,-98.5999984741211
580608,-96.19999694824219
600064,-91.0
620544,-97.80000305175781
640000,-88.5999984741211
660480,-91.0
680960,-91.4000015258789
700416,-97.0
720896,-94.19999694824219
740352,-89.0
760832,-89.0
780288,-90.5999984741211
800768,-91.4000015258789
820224,-90.5999984741211
840704,-83.80000305175781
860160,-91.0
880640,-85.4000015258789
900096,-94.19999694824219
920576,-88.19999694824219
940032,-93.80000305175781
960512,-91.4000015258789
980992,-89.0
1000448,-89.80000305175781
1020928,-91.80000305175781
1040384,-96.5999984741211
1060864,-91.4000015258789
1080320,-91.0
1100800,-90.19999694824219
1120256,-90.19999694824219
1140736,-89.4000015258789
1160192,-89.4000015258789
1180672,-86.19999694824219
1200128,-89.80000305175781
1220608,-91.80000305175781
1240064,-80.5999984741211
1260544,-86.19999694824219
1280000,-93.80000305175781
1300480,-93.80000305175781
1320960,-93.4000015258789
1340416,-96.5999984741211
1360896,-89.4000015258789
1380352,-87.0
1400832,-88.19999694824219
1420288,-85.4000015258789
1440768,-91.4000015258789
1460224,-89.80000305175781
1480704,-82.19999694824219
1500160,-81.4000015258789
1520640,-88.5999984741211
1540096,-85.4000015258789
1560576,-90.19999694824219
1580032,-87.0
1600512,-82.5999984741211
1620992,-86.19999694824219
1640448,-82.19999694824219
1660928,-88.5999984741211
1680384,-85.4000015258789
1700864,-84.19999694824219
1720320,-82.5999984741211
1740800,-84.19999694824219
1760256,-87.80000305175781
1780736,-83.0
1800192,-87.80000305175781
1820672,-84.5999984741211
1840128,-84.5999984741211
1860608,-89.4000015258789
1880064,-83.0
1900544,-86.5999984741211
1920000,-86.5999984741211
1940480,-85.0
1960960,-84.5999984741211
1980416,-73.4000015258789
2000896,-83.4000015258789
2020352,-85.80000305175781
2040832,-81.80000305175781
2060288,-80.19999694824219
2080768,-91.0
2100224,-80.19999694824219
2120704,-83.0
2140160,-90.19999694824219
2160640,-83.4000015258789
2180096,-88.19999694824219
2200576,-87.80000305175781
2220032,-84.5999984741211
2240512,-81.80000305175781
2260992,-77.4000015258789
2280448,-81.0
2300928,-83.4000015258789
2320384,-86.5999984741211
2340864,-83.0
2360320,-79.0
2380800,-84.19999694824219
2400256,-87.80000305175781
2420736,-89.80000305175781
2440192,-85.4000015258789
2460672,-83.4000015258789
2480128,-82.19999694824219
2500608,-79.0
2520064,-85.80000305175781
2540544,-84.5999984741211
2560000,-80.19999694824219
2580480,-79.80000305175781
2600960,-76.5999984741211
2620416,-77.80000305175781
2640896,-80.5999984741211
2660352,-81.0
2680832,-79.80000305175781
2700288,-79.0
2720768,-78.5999984741211
2740224,-83.4000015258789
2760704,-75.80000305175781
2780160,-81.4000015258789
2800640,-81.0
2820096,-81.0
2840576,-85.0
2860032,-71.0
2880512,-82.5999984741211
2900992,-77.0
2920448,-81.80000305175781
2940928,-83.4000015258789
2960384,-72.5999984741211
2980864,-79.80000305175781
3000320,-80.19999694824219
3020800,-79.4000015258789
3040256,-78.19999694824219
3060736,-73.80000305175781
3080192,-83.0
3100672,-83.4000015258789
3120128,-77.4000015258789
3140608,-78.19999694824219
3160064,-75.4000015258789
3180544,-80.5999984741211
3200000,-81.4000015258789
3220480,-75.4000015258789
3240960,-80.19999694824219
3260416,-79.4000015258789
3280896,-78.5999984741211
3300352,-72.5999984741211
3320832,-80.19999694824219
3340288,-83.0
3360768,-76.5999984741211
3380224,-81.4000015258789
3400704,-77.5999984741211
3420160,-77.0
3440640,-85.0
3460096,-76.5999984741211
3480576,-80.19999694824219
3500032,-73.0
3520512,-75.80000305175781
3540992,-86.19999694824219
3560448,-76.19999694824219
3580928,-81.80000305175781
3600384,-75.80000305175781
3620864,-78.5999984741211
3640320,-78.5999984741211
3660800,-75.0
3680256,-81.4000015258789
3700736,-84.19999694824219
3720192,-78.19999694824219
3740672,-77.4000015258789
3760128,-85.4000015258789
3780608,-72.5999984741211
3800064,-77.80000305175781
3820544,-79.4000015258789
3840000,-81.0
3860480,-75.4000015258789
3880960,-81.0
3900416,-76.5999984741211
3920896,-74.5999984741211
3940352,-82.19999694824219
3960832,-74.19999694824219
3980288,-76.5999984741211
4000768,-80.5999984741211
4020224,-82.19999694824219
4040704,-86.19999694824219
4060160,-81.4000015258789
4080640,-80.5999984741211
4100096,-82.5999984741211
4120576,-81.80000305175781
4140032,-70.19999694824219
4160512,-79.0
4180992,-76.19999694824219
4200448,-76.19999694824219
4220928,-72.5999984741211
4240384,-80.19999694824219
4260864,-78.19999694824219
4280320,-77.0
4300800,-83.80000305175781
4320256,-83.80000305175781
4340736,-73.4000015258789
4360192,-76.5999984741211
4380672,-77.80000305175781
4400128,-76.19999694824219
4420608,-78.19999694824219
4440064,-77.4000015258789
4460544,-71.0
4480000,-75.80000305175781
4500480,-76.19999694824219
4520960,-77.0
4540416,-77.0
4560896,-77.80000305175781
4580352,-73.80000305175781
4600832,-78.19999694824219
4620288,-77.4000015258789
4640768,-77.0
4660224,-69.80000305175781
4680704,-80.19999694824219
4700160,-85.80000305175781
4720640,-74.19999694824219
4740096,-80.19999694824219
4760576,-80.5999984741211
4780032,-77.0
4800512,-80.5999984741211
4820992,-59.0
4840448,-79.80000305175781
4860928,-78.19999694824219
4880384,-70.19999694824219
4900864,-69.80000305175781
4920320,-72.5999984741211
4940800,-77.80000305175781
4960256,-78.19999694824219
4980736,-72.19999694824219
5000192,-72.5999984741211
