Step,Value
20480,84.0
40960,132.0
60416,144.0
80896,146.0
100352,182.0
120832,192.0
140288,164.0
160768,240.0
180224,242.0
200704,220.0
220160,214.0
240640,182.0
260096,220.0
280576,236.0
300032,212.0
320512,234.0
340992,238.0
360448,220.0
380928,234.0
400384,228.0
420864,230.0
440320,252.0
460800,248.0
480256,246.0
500736,254.0
520192,254.0
540672,254.0
560128,248.0
580608,254.0
600064,246.0
620544,256.0
640000,266.0
660480,256.0
680960,268.0
700416,264.0
720896,260.0
740352,270.0
760832,270.0
780288,268.0
800768,262.0
820224,262.0
840704,266.0
860160,260.0
880640,254.0
900096,262.0
920576,270.0
940032,270.0
960512,270.0
980992,268.0
1000448,270.0
1020928,260.0
1040384,268.0
1060864,270.0
1080320,268.0
1100800,266.0
1120256,268.0
1140736,268.0
1160192,266.0
1180672,270.0
1200128,266.0
1220608,260.0
1240064,270.0
1260544,268.0
1280000,268.0
1300480,266.0
1320960,270.0
1340416,266.0
1360896,266.0
1380352,272.0
1400832,270.0
1420288,268.0
1440768,270.0
1460224,264.0
1480704,264.0
1500160,270.0
1520640,270.0
1540096,270.0
1560576,270.0
1580032,266.0
1600512,266.0
1620992,260.0
1640448,270.0
1660928,270.0
1680384,270.0
1700864,270.0
1720320,270.0
1740800,270.0
1760256,270.0
1780736,268.0
1800192,270.0
1820672,270.0
1840128,264.0
1860608,266.0
1880064,270.0
1900544,268.0
1920000,270.0
1940480,270.0
1960960,270.0
1980416,270.0
2000896,270.0
2020352,270.0
2040832,270.0
2060288,270.0
2080768,270.0
2100224,264.0
2120704,270.0
2140160,270.0
2160640,268.0
2180096,270.0
2200576,270.0
2220032,270.0
2240512,258.0
2260992,270.0
2280448,270.0
2300928,268.0
2320384,270.0
2340864,264.0
2360320,270.0
2380800,274.0
2400256,262.0
2420736,270.0
2440192,270.0
2460672,270.0
2480128,270.0
2500608,270.0
2520064,268.0
2540544,270.0
2560000,260.0
2580480,270.0
2600960,262.0
2620416,270.0
2640896,264.0
2660352,270.0
2680832,270.0
2700288,270.0
2720768,270.0
2740224,270.0
2760704,270.0
2780160,270.0
2800640,270.0
2820096,268.0
2840576,270.0
2860032,268.0
2880512,268.0
2900992,270.0
2920448,270.0
2940928,270.0
2960384,270.0
2980864,268.0
3000320,264.0
3020800,264.0
3040256,270.0
3060736,262.0
3080192,270.0
3100672,268.0
3120128,264.0
3140608,268.0
3160064,270.0
3180544,270.0
3200000,270.0
3220480,270.0
3240960,270.0
3260416,270.0
3280896,268.0
3300352,264.0
3320832,268.0
3340288,270.0
3360768,270.0
3380224,270.0
3400704,262.0
3420160,264.0
3440640,268.0
3460096,270.0
3480576,270.0
3500032,270.0
3520512,270.0
3540992,270.0
3560448,270.0
3580928,272.0
3600384,270.0
3620864,270.0
3640320,270.0
3660800,270.0
3680256,270.0
3700736,270.0
3720192,270.0
3740672,270.0
3760128,270.0
3780608,270.0
3800064,270.0
3820544,270.0
3840000,270.0
3860480,270.0
3880960,270.0
3900416,270.0
3920896,270.0
3940352,270.0
3960832,270.0
3980288,270.0
4000768,270.0
4020224,270.0
4040704,272.0
4060160,270.0
4080640,270.0
4100096,268.0
4120576,270.0
4140032,270.0
4160512,270.0
4180992,270.0
4200448,270.0
4220928,268.0
4240384,270.0
4260864,270.0
4280320,270.0
4300800,270.0
4320256,270.0
4340736,270.0
4360192,270.0
4380672,270.0
4400128,270.0
4420608,270.0
4440064,270.0
4460544,270.0
4480000,270.0
4500480,268.0
4520960,270.0
4540416,270.0
4560896,268.0
4580352,268.0
4600832,270.0
4620288,270.0
4640768,270.0
4660224,270.0
4680704,270.0
4700160,270.0
4720640,270.0
4740096,270.0
4760576,268.0
4780032,268.0
4800512,270.0
4820992,270.0
4840448,270.0
4860928,270.0
4880384,270.0
4900864,270.0
4920320,270.0
4940800,270.0
4960256,270.0
4980736,270.0
5000192,270.0
