Step,Value
20480,600.0
40960,588.0
60416,336.0
80896,536.0
100352,816.0
120832,572.0
140288,456.0
160768,616.0
180224,716.0
200704,484.0
220160,484.0
240640,684.0
260096,488.0
280576,680.0
300032,884.0
320512,952.0
340992,704.0
360448,560.0
380928,628.0
400384,772.0
420864,584.0
440320,452.0
460800,720.0
480256,564.0
500736,392.0
520192,1212.0
540672,720.0
560128,1068.0
580608,756.0
600064,1244.0
620544,884.0
640000,772.0
660480,856.0
680960,948.0
700416,632.0
720896,636.0
740352,1224.0
760832,1212.0
780288,1000.0
800768,900.0
820224,1204.0
840704,588.0
860160,752.0
880640,528.0
900096,688.0
920576,956.0
940032,920.0
960512,1160.0
980992,688.0
1000448,952.0
1020928,908.0
1040384,900.0
1060864,592.0
1080320,1080.0
1100800,900.0
1120256,812.0
1140736,1256.0
1160192,1124.0
1180672,1020.0
1200128,408.0
1220608,976.0
1240064,1524.0
1260544,724.0
1280000,1208.0
1300480,800.0
1320960,756.0
1340416,540.0
1360896,732.0
1380352,1180.0
1400832,856.0
1420288,992.0
1440768,692.0
1460224,836.0
1480704,572.0
1500160,816.0
1520640,864.0
1540096,836.0
1560576,716.0
1580032,812.0
1600512,1036.0
1620992,764.0
1640448,892.0
1660928,1204.0
1680384,952.0
1700864,1244.0
1720320,828.0
1740800,804.0
1760256,864.0
1780736,976.0
1800192,1068.0
1820672,1160.0
1840128,1044.0
1860608,832.0
1880064,1344.0
1900544,1312.0
1920000,644.0
1940480,1088.0
1960960,720.0
1980416,768.0
2000896,904.0
2020352,820.0
2040832,964.0
2060288,552.0
2080768,1184.0
2100224,1452.0
2120704,1292.0
2140160,596.0
2160640,640.0
2180096,760.0
2200576,940.0
2220032,788.0
2240512,924.0
2260992,812.0
2280448,1644.0
2300928,768.0
2320384,996.0
2340864,1124.0
2360320,768.0
2380800,1144.0
2400256,964.0
2420736,1288.0
2440192,1164.0
2460672,1480.0
2480128,796.0
2500608,1092.0
2520064,716.0
2540544,1392.0
2560000,740.0
2580480,1324.0
2600960,1432.0
2620416,796.0
2640896,728.0
2660352,1452.0
2680832,1076.0
2700288,820.0
2720768,1400.0
2740224,640.0
2760704,1048.0
2780160,984.0
2800640,1304.0
2820096,752.0
2840576,944.0
2860032,1160.0
2880512,980.0
2900992,856.0
2920448,828.0
2940928,872.0
2960384,468.0
2980864,576.0
3000320,1648.0
3020800,996.0
3040256,768.0
3060736,948.0
3080192,1152.0
3100672,912.0
3120128,1624.0
3140608,1004.0
3160064,876.0
3180544,924.0
3200000,700.0
3220480,900.0
3240960,908.0
3260416,912.0
3280896,860.0
3300352,952.0
3320832,604.0
3340288,1356.0
3360768,1216.0
3380224,1028.0
3400704,1168.0
3420160,1176.0
3440640,788.0
3460096,784.0
3480576,1464.0
3500032,856.0
3520512,604.0
3540992,1136.0
3560448,1316.0
3580928,1036.0
3600384,904.0
3620864,528.0
3640320,628.0
3660800,1244.0
3680256,952.0
3700736,1024.0
3720192,1204.0
3740672,860.0
3760128,808.0
3780608,772.0
3800064,1168.0
3820544,756.0
3840000,1044.0
3860480,1228.0
3880960,860.0
3900416,700.0
3920896,728.0
3940352,1232.0
3960832,1268.0
3980288,1028.0
4000768,948.0
4020224,1052.0
4040704,888.0
4060160,712.0
4080640,568.0
4100096,932.0
4120576,432.0
4140032,816.0
4160512,1040.0
4180992,1544.0
4200448,936.0
4220928,1032.0
4240384,1096.0
4260864,1088.0
4280320,944.0
4300800,788.0
4320256,852.0
4340736,1080.0
4360192,1148.0
4380672,1024.0
4400128,752.0
4420608,528.0
4440064,912.0
4460544,836.0
4480000,1132.0
4500480,884.0
4520960,984.0
4540416,688.0
4560896,496.0
4580352,928.0
4600832,872.0
4620288,700.0
4640768,1708.0
4660224,1428.0
4680704,1436.0
4700160,976.0
4720640,860.0
4740096,1228.0
4760576,996.0
4780032,680.0
4800512,740.0
4820992,528.0
4840448,756.0
4860928,1288.0
4880384,764.0
4900864,692.0
4920320,644.0
4940800,664.0
4960256,1024.0
4980736,1084.0
5000192,1116.0
